State,Selected meteorological station ,Height above mean sea level in metres,Year,Minimum Mean temperature in Celcius,Maximum Mean temperature in Celcius,Total Rainfall in millimetres,Number of Days of Rainfall,Mean relative humidity in Percentage
Johor,Senai,(37.8m),2016,24.4,32.9,1926.6,194,85.6
Johor,Kluang,(88.1m),2016,24.3,32.7,1633.8,173,83.4
Johor,Batu Pahat,(6.3 m),2016,24.6,32.7,1848.6,179,84.6
Johor,Mersing,(43.6 m),2016,24.8,33.1,1589,148,82.6
Kedah,Alor Setar,(3.9m),2016,24.8,33.3,1904.4,149,81.1
Kedah,Pulau Langkawi,(6.4m),2016,25.8,32.5,1832.2,150,77.4
Kelantan,Kota Bharu,(4.4m),2016,24.8,31.9,2652.8,151,78.7
Kelantan,Kuala Krai,(34.9 m),2016,23.6,33.5,2288.4,170,85.2
Kelantan,Gong Kedak,(6.0 m),2016,-,-,-,-,-
Melaka,Melaka,(8.5m),2016,25,32.7,2207.2,171,79.4
Pahang,Kuantan,(15.2m),2016,24.2,32.6,2211.8,186,85.6
Pahang,Cameron Highlands,"(1,545.0m)",2016,16.2,23.1,2266.9,224,89.3
Pahang,"Batu Embun, Jerantut",(59.5 m),2016,23.8,34.2,2028.8,169,83.6
Pahang,Muadzam Shah,(33.3 m),2016,24.2,33.2,1787.3,154,85.6
Pahang,Temerloh,(39.1 m),2016,23.7,34.1,1397.8,151,81.5
Perak,Ipoh,(40.1m),2016,24.6,33.9,1954.5,180,75.7
Perak,Sitiawan,(6.8m),2016,24.7,32.9,1569.6,152,81.2
Perak,"Lubok Merbau, Kuala Kangsar",(77.5 m),2016,23.9,33.9,1853.6,173,79.4
Perlis,Chuping  ,(21.7m),2016,24.8,33.7,1563.3,140,79.4
Pulau Pinang,Bayan Lepas,(2.5 m),2016,24.9,32,2172,159,77.4
Pulau Pinang,Butterworth,(3.3m),2016,24.8,32.1,2560,178,79.4
Sabah,Kota Kinabalu,(2.1m),2016,24.8,33.2,2087,157,79.2
Sabah,Kudat,(3.5m),2016,24.8,31.6,2107.4,145,82.2
Sabah,Sandakan,(12.1m),2016,25.1,32.2,2875.1,178,82.5
Sabah,Tawau,(17.5m),2016,23.8,31.8,1868.1,174,82.4
Sabah,Ranau,(501.0 m),2016,-,-,-,-,-
Sarawak,Kuching,(20.9m),2016,24,32.5,5423,265,84.1
Sarawak,Miri ,(17.0m),2016,24.7,31.7,2073,169,83
Sarawak,Bintulu,(24.3 m),2016,24.2,31.9,3214.6,221,85.8
Sarawak,Sibu,(30.9 m),2016,24.1,32.6,5014.8,240,83.7
Sarawak,Sri Aman,(9.6 m),2016,23.6,32.9,3112.8,240,85.5
Sarawak,Mulu,(26.2 m),2016,-,-,-,-,-
Sarawak,Limbang,(3.6 m),2016,-,-,-,-,-
Sarawak,Kapit,(35.0 m),2016,-,-,-,-,-
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2016,24.7,32.5,1731.6,164,77.7
Selangor,Subang,(16.6m),2016,25.1,33.7,2635.8,189,76
Selangor,Petaling Jaya,(58.6 m),2016,25.8,33.6,3420.4,190,73.3
Terengganu,Kuala Terengganu,(5.2m),2016,24.9,31.9,2946.4,171,81.7
Terengganu,Kerteh,(3.7 m),2016,-,-,-,-,-
Wilayah Persekutuan Labuan,Labuan,(27.9m),2016,25.5,31.9,3117.5,174,80.9
