date,rainfall (mm),temperature ©
53:54.7,0,26.8125
53:54.7,0,26.925
53:54.7,0,26.46666667
53:54.7,0,26.45
53:54.7,6.61,26.54583333
53:54.7,19.21,26.075
53:54.7,12.84,25.81666667
53:54.7,1.01,27.21666667
53:54.7,0,27.25833333
53:54.7,0,27.0125
53:54.7,0,25.65833333
53:54.7,0,26.69166667
53:54.7,0,26.95416667
53:54.7,0,26.50416667
53:54.7,0,26.4875
53:54.7,0,26.6125
53:54.7,7.21,26.31666667
53:54.7,0,27.1125
53:54.7,0,27.22916667
53:54.7,0,26.97083333
53:54.7,0,26.59166667
53:54.7,0,26.4625
53:54.7,0,26.59166667
53:54.7,0.02,26.54583333
53:54.7,0,27.49583333
53:54.7,0,27.925
53:54.7,0,27.54166667
53:54.7,15.22,26.24583333
53:54.7,0,27.8625
53:54.7,0,27.4
53:54.7,0,27.4625
53:54.7,0,27.15833333
53:54.7,0,27.775
53:54.7,0,28.10416667
53:54.7,0,27.5625
53:54.7,0,26.89583333
53:54.7,0,28.46666667
53:54.7,0,28.8375
53:54.7,0,28.2875
53:54.7,0,27.83333333
53:54.7,0,28.05
53:54.7,0,28.2375
53:54.7,0,28.25
53:54.7,0,28.3125
53:54.7,0,28.22916667
53:54.7,0,28.0375
53:54.7,0,27.65416667
53:54.7,0,27.45833333
53:54.7,0,27.60416667
53:54.7,0,27.84583333
53:54.7,0,27.6125
53:54.7,0,28.35833333
53:54.7,0,27.77916667
53:54.7,0,28.2875
53:54.7,0,26.99166667
53:54.7,0,27.4375
53:54.7,0,27.35833333
53:54.7,0,27.25833333
53:54.7,0,27.26666667
53:54.7,0,27.44166667
53:54.7,0.01,28.83333333
53:54.7,0,29.28333333
53:54.7,0.04,28.22083333
53:54.7,0,28.72916667
53:54.7,3.03,29.02083333
53:54.7,5.83,26.6375
53:54.7,0,28.11666667
53:54.7,0,27.7625
53:54.7,0,29.22083333
53:54.7,0,28.96666667
53:54.7,0,29.57083333
