date,rainfall (mm),temperature ©
45:08.8,14.4,25.80833333
45:08.8,35.04,24.38333333
45:08.8,32.21,24.65416667
45:08.8,178.4,23.09583333
45:08.8,1.84,24.02916667
45:08.8,13.4,26.0375
45:08.8,88.02,23.91666667
45:08.8,14.4,26.01764706
45:08.8,11.43,24.95652174
45:08.8,9.23,24.50416667
45:08.8,12,24.65833333
45:08.8,0,24.76666667
45:08.8,2.82,24.80416667
45:08.8,2.21,25.92352941
45:08.8,0.4,25.08333333
45:08.8,0,25.52916667
45:08.8,0,26.35
45:08.8,3.21,26.30833333
45:08.8,0.2,24.75
45:08.8,0,24.5
45:08.8,0,25.89583333
45:08.8,0,26.6
45:08.8,47.2,26.39583333
45:08.8,42.21,24.6625
45:08.8,2.2,26.65
45:08.8,0.8,26.24583333
45:08.8,0,25.69583333
45:08.8,1.4,25.12916667
45:08.8,3.2,25.575
45:08.8,0.2,25.47083333
45:08.8,0.6,25.6625
45:08.8,3.2,24.575
45:08.8,4.8,25.3125
45:08.8,0.2,26.375
45:08.8,0,26.4375
45:08.8,0,25.90833333
45:08.8,0,26.09166667
45:08.8,0,26.9875
45:08.8,0,27.39583333
45:08.8,2,27.20416667
45:08.8,0,27.41666667
45:08.8,21,27.62083333
45:08.8,57,27.05416667
45:08.8,92.21,26.02916667
45:08.8,0,27.1
45:08.8,31.2,26.86666667
45:08.8,0,26.93333333
45:08.8,0,26.59166667
45:08.8,0,26.28333333
45:08.8,0,24.87916667
45:08.8,0,25.19166667
45:08.8,0,25.87916667
45:08.8,0,26.625
45:08.8,0,26.34166667
45:08.8,0,25.95416667
45:08.8,0,27.15
45:08.8,0,27.34583333
45:08.8,0,27.74583333
45:08.8,0,28.775
45:08.8,0,28.5375
45:08.8,0,28.17916667
45:08.8,1,27.6375
45:08.8,0,27.77083333
45:08.8,0,27.69583333
45:08.8,0,28.24166667
45:08.8,0,27.9
45:08.8,0,27.73333333
45:08.8,0,27.56666667
45:08.8,0,27.17916667
45:08.8,0,26.51666667
45:08.8,0,26.775
45:08.8,5.21,25.02916667
45:08.8,0.2,26.42083333
45:08.8,0,27.9125
45:08.8,0,28.52916667
45:08.8,0,28.59583333
45:08.8,0,28.42083333
45:08.8,0,28.85416667
45:08.8,0,28.9
45:08.8,0,28.98333333
45:08.8,0,29.83333333
45:08.8,1.2,28.11666667
45:08.8,78.6,24.23333333
45:08.8,32.81,24.25416667
45:08.8,27,24.78333333
45:08.8,5.01,25.9125
45:08.8,7.6,26.025
45:08.8,0,27.275
45:08.8,53.2,27.9125
45:08.8,11.2,27.0125
45:08.8,1,27.0125
45:08.8,0,27.31666667
45:08.8,38,27.7875
45:08.8,0.2,26.83333333
45:08.8,2,28.14166667
45:08.8,9.2,26.59166667
45:08.8,0,26.74166667
45:08.8,0,26.99166667
45:08.8,0,27.35416667
45:08.8,0,28.23333333
45:08.8,0,27.4875
45:08.8,0,27.08333333
45:08.8,0,27.57916667
45:08.8,39.8,27.725
45:08.8,0.2,26.67083333
45:08.8,7.6,27.02916667
45:08.8,45.2,27.88333333
45:08.8,0,27.98333333
45:08.8,0,27.47083333
45:08.8,2.8,27.5
45:08.8,2.2,27.42916667
45:08.8,0,28.15833333
45:08.8,41.41,26.28333333
45:08.8,0.2,26.7
45:08.8,0,26.725
45:08.8,0,27.8375
45:08.8,0,27.3125
45:08.8,38.8,26.3375
45:08.8,4,26.775
45:08.8,4.2,27.09166667
45:08.8,6.4,26.12083333
45:08.8,2.4,26.4375
45:08.8,5.8,26.62083333
45:08.8,0.2,26.64583333
45:08.8,8.82,25.95833333
45:08.8,1.4,26.10416667
45:08.8,0.2,27.01666667
45:08.8,0,26.2375
45:08.8,0,27.12083333
45:08.8,0.6,28.5375
45:08.8,0,29.09166667
45:08.8,0,28.5875
45:08.8,4.41,27.33333333
45:08.8,0,27.86666667
45:08.8,0.6,28.3
45:08.8,56,28.72916667
45:08.8,42.8,27.67083333
45:08.8,1.4,27.25416667
45:08.8,1.2,27.2375
45:08.8,0.6,26.58333333
45:08.8,0.6,27.41666667
45:08.8,43.8,26.7125
45:08.8,0,27.25
45:08.8,0,28.74583333
45:08.8,0,28.92083333
45:08.8,0,28.80833333
45:08.8,32.4,27.7
45:08.8,6.2,26.45
45:08.8,0,27.2625
45:08.8,0,28.37916667
45:08.8,0,28.1875
45:08.8,0,28.53333333
45:08.8,0,29.2125
45:08.8,10.8,28.43333333
45:08.8,0.2,28.32916667
45:08.8,0.2,28.32916667
45:08.8,6.2,27.98333333
45:08.8,11.6,27.025
45:08.8,0,26.5125
45:08.8,0,28.0125
45:08.8,0,26.37083333
45:08.8,5.81,25.35416667
45:08.8,0.2,24.87083333
45:08.8,0,26.55833333
45:08.8,0.4,26.18333333
45:08.8,0,27.2125
45:08.8,0,26.81666667
45:08.8,0,26.84583333
45:08.8,28.4,26.90833333
45:08.8,2.8,26.34583333
45:08.8,1.2,27.20833333
45:08.8,0,26.23333333
45:08.8,0,27.5625
45:08.8,0,27.6125
45:08.8,0,27.9
45:08.8,0.2,28.075
45:08.8,2.8,27.94166667
45:08.8,3.4,26.9375
45:08.8,0,28.12916667
45:08.8,16.6,28.11052632
45:08.8,0.2,27.25555556
45:08.8,0,27.28888889
45:08.8,1,28.58571429
45:08.8,0,27.87083333
45:08.8,15.2,27.16470588
45:08.8,0,27.13333333
45:08.8,1.61,26.625
45:08.8,1.6,25.8875
45:08.8,0,26.8875
45:08.8,0,27.72916667
45:08.8,11.8,27.10833333
45:08.8,32.2,26.42916667
45:08.8,41,25.85833333
45:08.8,77.8,26.975
45:08.8,0.2,25.9875
45:08.8,0,25.70833333
45:08.8,5.8,27.54583333
45:08.8,0.2,28.12083333
45:08.8,0,29.08
45:08.8,0,28.73529412
45:08.8,0,27.9625
45:08.8,0,27.5
45:08.8,0,29.04166667
45:08.8,1.2,28.53333333
45:08.8,0.4,28.02083333
45:08.8,0,28.42083333
45:08.8,0.2,27.97916667
45:08.8,0,28.09166667
45:08.8,0,27.75833333
45:08.8,0,28.3875
45:08.8,0,27.19583333
45:08.8,0,27.63333333
45:08.8,0.4,28.12083333
45:08.8,0,27.35833333
45:08.8,0,27.39166667
45:08.8,0,28.525
45:08.8,0,27.5125
45:08.8,0,28.40416667
45:08.8,0,28.0875
45:08.8,0,28.73333333
45:08.8,0.21,28.21666667
45:08.8,0,27.80833333
45:08.8,3.2,27.92083333
45:08.8,0,27.925
45:08.8,0,28.92916667
45:08.8,0,28.85
45:08.8,1.6,27.4625
45:08.8,0.4,26.61666667
45:08.8,24.82,26.02083333
45:08.8,6.4,25.51666667
45:08.8,0.2,26.075
45:08.8,0,26.63125
45:08.8,0,26.51764706
45:08.8,0.2,27.22
45:08.8,0,27.04166667
45:08.8,0,27.22083333
45:08.8,7,26.325
45:08.8,0,26.47916667
45:08.8,0,27.30833333
45:08.8,0,28.18333333
45:08.8,0,28.55714286
45:08.8,3.01,26.04705882
45:08.8,0.2,26.95833333
45:08.8,1.2,26.75
45:08.8,0,26.97916667
45:08.8,0.03,25.85833333
45:08.8,0.21,27.15
45:08.8,0,27.44166667
45:08.8,0,28.33333333
45:08.8,6.01,27.14166667
45:08.8,0,28.05416667
45:08.8,0,28.0375
45:08.8,22,27.36666667
45:08.8,0,26.89583333
45:08.8,0,28.04166667
45:08.8,15.6,26.925
45:08.8,7.61,25.625
45:08.8,0.8,26.725
45:08.8,2.81,27.24166667
45:08.8,0,27.90833333
45:08.8,0,28.70833333
45:08.8,0,28.20416667
45:08.8,5.6,26.81111111
45:08.8,0,27.7375
45:08.8,0,28.11666667
45:08.8,0,27.325
45:08.8,0,28.49583333
45:08.8,0,28.6
45:08.8,0.2,29.31111111
45:08.8,0,28.32105263
45:08.8,0,28.34705882
45:08.8,0,27.02083333
45:08.8,0.4,27.8
45:08.8,0,27.7
45:08.8,2.42,26.9875
45:08.8,0.2,26.45416667
45:08.8,0,28.14166667
45:08.8,0,27.8
45:08.8,0,26.7875
45:08.8,11.4,26.6625
45:08.8,24.6,25.84583333
45:08.8,1.4,27.55833333
45:08.8,0,28.33333333
45:08.8,0,28.71666667
45:08.8,0,28.34583333
45:08.8,0,28.46666667
45:08.8,0,29.35
45:08.8,0,28.95833333
45:08.8,0,28.89166667
45:08.8,0,27.52916667
45:08.8,0.8,26.52083333
45:08.8,0,27.42916667
45:08.8,10,27.26666667
45:08.8,1,27.05555556
45:08.8,0,28.03529412
45:08.8,3.6,26.69583333
45:08.8,0,27.53333333
45:08.8,0,27.025
45:08.8,0,27.4375
45:08.8,2.8,28.15833333
45:08.8,0,27.92916667
45:08.8,0,28.04782609
45:08.8,0.2,28.14583333
45:08.8,0,28.07083333
45:08.8,0,27.85
45:08.8,3,27.35
45:08.8,1.21,26.29166667
45:08.8,0.8,26.69583333
45:08.8,0,27.6
45:08.8,0,27.38333333
45:08.8,0,27.975
45:08.8,32.4,27.22916667
45:08.8,2.8,26.66666667
45:08.8,2.2,26.6875
45:08.8,1.24,25.29583333
45:08.8,0,26.19166667
45:08.8,0.6,27.21666667
45:08.8,13.4,26.575
45:08.8,0.2,26.225
45:08.8,0,27.92083333
45:08.8,11,27.46666667
45:08.8,0.8,26.09166667
45:08.8,11.81,26.40416667
45:08.8,0,27.15416667
45:08.8,0.2,28.55789474
45:08.8,5.8,28.22941176
45:08.8,1,27.07916667
45:08.8,0,27.43333333
45:08.8,3.42,25.97916667
45:08.8,3.6,26.6826087
45:08.8,0.23,25.1
45:08.8,0,26.52916667
45:08.8,21,26.5875
45:08.8,11.2,25.85833333
45:08.8,0,27.2125
45:08.8,0,28.0375
45:08.8,39.8,24.83333333
45:08.8,1.23,24.70416667
45:08.8,0,26.05416667
45:08.8,0,26.29166667
45:08.8,0,25.99583333
45:08.8,0,26.575
45:08.8,0,26.65416667
45:08.8,0,27.10416667
45:08.8,0.6,25.675
45:08.8,3.2,25.375
45:08.8,26.8,26.15833333
45:08.8,1.2,26.00416667
45:08.8,0,26.49166667
45:08.8,0.8,26.32083333
45:08.8,1.4,25.37916667
45:08.8,69.8,24.34166667
45:08.8,136,24.45833333
45:08.8,69.8,23.9375
45:08.8,0,26.23333333
45:08.8,0,27.0625
45:08.8,2.4,27.19130435
45:08.8,0.2,27.98333333
45:08.8,0,27.92083333
45:08.8,1,28.22083333
45:08.8,2.8,27.87916667
45:08.8,0,27.45
45:08.8,0,26.68333333
45:08.8,0,26.425
45:08.8,34.42,24.84166667
45:08.8,40.44,25.2125
45:08.8,20.83,25.35833333
45:08.8,31.23,24.775
45:08.8,1,25.07916667
45:08.8,3.2,26.0625
45:08.8,0,26.52916667
45:08.8,0,26.775
45:08.8,17.2,26.7875
45:08.8,1.03,25.80416667
45:08.8,1.6,27.09166667
45:08.8,0,26.8
45:08.8,0,26.1
45:08.8,0,26.07916667
45:08.8,0,25.25416667
45:08.8,0,25.25
45:08.8,0,25.3
45:08.8,0,26.67083333
45:08.8,0,26.925
45:08.8,0,26.6875
45:08.8,0,26.64583333
45:08.8,0,27.34166667
45:08.8,0.4,28.125
45:08.8,0,26.70416667
45:08.8,0,27.52083333
45:08.8,1,27.1
45:08.8,0,27.42083333
45:08.8,0,27.40416667
45:08.8,0,27.44166667
45:08.8,0,27.8625
45:08.8,0,28.27916667
45:08.8,0,28.3952381
45:08.8,0,27.9125
45:08.8,0,27.85
45:08.8,0,27.0625
45:08.8,3.2,26.54166667
45:08.8,3.4,25.75416667
45:08.8,7.21,25.70833333
45:08.8,9.6,25.65
45:08.8,3.6,25.2375
45:08.8,6.8,24.5
45:08.8,3.02,25.06666667
45:08.8,5.8,25.05
45:08.8,5.02,23.92916667
45:08.8,0,25.85833333
45:08.8,0,26.425
45:08.8,0.2,26.82083333
45:08.8,1.81,26.99166667
45:08.8,0.2,27.06666667
45:08.8,0.81,24.92083333
45:08.8,0,27.54166667
45:08.8,0,28.8375
45:08.8,0,27.55833333
45:08.8,3,27.65416667
45:08.8,1.2,26.18333333
45:08.8,0,25.81666667
45:08.8,4.22,24.60416667
45:08.8,3.01,24.96666667
45:08.8,19.81,25.59166667
45:08.8,6.63,24.5875
45:08.8,4.81,25.825
45:08.8,1.8,26.27916667
45:08.8,10,26.44583333
45:08.8,0,27.44583333
45:08.8,0,26.45
45:08.8,0,26.52083333
45:08.8,2,26.60833333
45:08.8,12.61,26.3875
45:08.8,0.2,26.9625
45:08.8,0.2,26.84583333
45:08.8,0,28.42083333
45:08.8,4.2,28.61666667
45:08.8,0.2,28.375
45:08.8,1.8,27.45416667
45:08.8,0,28.8
45:08.8,0,28.37083333
45:08.8,14.4,28.85416667
45:08.8,5.8,27.42916667
45:08.8,0,27.90416667
45:08.8,0,28.27916667
45:08.8,2.81,27.2
45:08.8,0,27.7375
45:08.8,0.6,27.57391304
45:08.8,0,27.95263158
45:08.8,0,29.35294118
45:08.8,0,28.65416667
45:08.8,28.2,28.10833333
45:08.8,0.2,26.55416667
45:08.8,0,29.14583333
45:08.8,0,29.4375
45:08.8,20,28.73333333
45:08.8,10.02,26.40833333
45:08.8,0.8,27.8
45:08.8,13.81,27.18333333
45:08.8,3.2,26.34583333
45:08.8,4,27.70416667
45:08.8,35.61,26.34166667
45:08.8,0,26.2
45:08.8,29.01,26.675
45:08.8,8.2,26.21666667
45:08.8,4.8,26.42083333
45:08.8,0,27.38333333
45:08.8,4.4,26.7125
45:08.8,0,27.0875
45:08.8,0,27.05416667
45:08.8,0,27.95416667
45:08.8,0.03,28.29583333
45:08.8,0,28.55833333
45:08.8,35.4,28.84583333
45:08.8,1.61,27.40416667
