date,rainfall (mm),temperature ©
51:47.0,1.81,26.4625
51:47.0,35.81,24.45416667
51:47.0,96.2,23.80833333
51:47.0,3.62,23.2875
51:47.0,0,25.32083333
51:47.0,32.8,27.2625
51:47.0,0.2,26.40416667
51:47.0,4.03,24.8625
51:47.0,5.4,26.5375
51:47.0,8.61,25.80833333
51:47.0,26.01,24.65833333
51:47.0,0.2,25.29166667
51:47.0,46.81,24.79583333
51:47.0,5.63,24.57916667
51:47.0,0,25.75833333
51:47.0,0,26.58333333
51:47.0,0,27.13333333
51:47.0,0,27.29166667
51:47.0,0,26.1
51:47.0,0,25.94166667
51:47.0,0,25.92083333
51:47.0,11.8,26.09166667
51:47.0,0,26.5125
51:47.0,3.6,26.35416667
51:47.0,5.6,26.18333333
51:47.0,0,27.17083333
51:47.0,0,27.2625
51:47.0,3.2,25.92083333
51:47.0,0.42,26.40833333
51:47.0,0,26.63333333
51:47.0,0.01,26.23333333
51:47.0,1.8,26.47916667
51:47.0,2.6,26.57916667
51:47.0,0,27.25833333
51:47.0,0,27.04166667
51:47.0,0,26.36666667
51:47.0,0,26.7125
51:47.0,4.2,27.55416667
51:47.0,0,27.6625
51:47.0,0,27.70833333
51:47.0,0,27.11666667
51:47.0,0,27.74166667
51:47.0,0.2,27.4375
51:47.0,15.4,27.45
51:47.0,0,27.39583333
51:47.0,0,27.39583333
51:47.0,0,27.05
51:47.0,0,27.025
51:47.0,0,26.875
51:47.0,0,26.63333333
51:47.0,0,26.45
51:47.0,0,27.11666667
51:47.0,0,27.075
51:47.0,0,26.92916667
51:47.0,0,27.22916667
51:47.0,0,27.1
51:47.0,0,27.87916667
51:47.0,0,28.19583333
51:47.0,0,28.625
51:47.0,0,28.33333333
51:47.0,0,28.45833333
51:47.0,0,28.47916667
51:47.0,0,28.35416667
51:47.0,0,28.57083333
51:47.0,13.2,28.67916667
51:47.0,0,28.78333333
51:47.0,10.61,25.7375
51:47.0,0,27.40416667
51:47.0,0,27.95
51:47.0,0,27.7
51:47.0,0,27.76666667
51:47.0,36.22,25.99583333
51:47.0,47.8,26.3875
51:47.0,0.2,27.44166667
51:47.0,0,28.37916667
51:47.0,34.6,26.625
51:47.0,4.8,27.6375
51:47.0,10,27.37083333
51:47.0,0,28.575
51:47.0,31,27.68333333
51:47.0,0,28.25
51:47.0,0.6,28.7625
51:47.0,28,26.85416667
51:47.0,8.01,25.95
51:47.0,27.2,26.025
51:47.0,34.8,27.0875
51:47.0,23.41,25.97083333
51:47.0,0.2,27.45833333
51:47.0,0.2,27.1
51:47.0,0,28.9125
51:47.0,26.8,28.32083333
51:47.0,0,28.85
51:47.0,1.4,28.8625
51:47.0,1.01,28.65416667
51:47.0,7.21,28.525
51:47.0,82.6,26.24583333
51:47.0,0,27.89166667
51:47.0,0,28.5625
51:47.0,0,27.44166667
51:47.0,16.2,27.975
51:47.0,0.6,28.4125
51:47.0,1.6,27.62083333
51:47.0,0.4,27.92083333
51:47.0,0,27.675
51:47.0,0,28.09166667
51:47.0,0.8,27.14166667
51:47.0,0.8,27.3125
51:47.0,34.4,25.21666667
51:47.0,0,27.58333333
51:47.0,0,27.6875
51:47.0,0,28.11666667
51:47.0,0.21,27.775
51:47.0,1.01,27.07916667
51:47.0,0.6,27.48333333
