date,rainfall (mm),temperature ©
49:57.0,18.61,27.375
49:57.0,0.8,27.2
49:57.0,0,27.0875
49:57.0,3.25,25.90416667
49:57.0,1.07,26.375
49:57.0,0.48,26.75
49:57.0,3.66,26.09166667
49:57.0,24.85,26.70416667
49:57.0,0.02,27.87083333
49:57.0,0,27.92916667
49:57.0,5.81,27.225
49:57.0,0,27.50416667
49:57.0,0,28.11666667
49:57.0,0,27.02916667
49:57.0,0,27.625
49:57.0,0.41,27.54166667
49:57.0,0.01,27.925
49:57.0,0,28.02916667
49:57.0,0,28.07916667
49:57.0,0,26.94166667
49:57.0,2.41,27.1375
49:57.0,0,27.7625
49:57.0,0,28.19166667
49:57.0,1.46,26.33333333
49:57.0,0,27.725
49:57.0,3.05,27.61666667
49:57.0,1.41,27.86666667
49:57.0,41.21,27.45833333
49:57.0,0.42,27.14166667
49:57.0,0,27.39166667
49:57.0,0,27.78333333
49:57.0,0,28.02916667
49:57.0,0,28.37083333
49:57.0,1.41,28
49:57.0,0.01,28.4375
49:57.0,0,28.6625
49:57.0,0,28.2125
49:57.0,2.2,28.92916667
49:57.0,0,29.12916667
49:57.0,0,28.99166667
49:57.0,41.41,27.9625
49:57.0,0,29.3
49:57.0,0.21,28.24166667
49:57.0,0,28.7875
49:57.0,0,29.40833333
49:57.0,0,29.87083333
49:57.0,0,30.02916667
49:57.0,0,28.67083333
49:57.0,0,28.44583333
49:57.0,0,29.2
49:57.0,0,28.7375
49:57.0,0,28.3875
49:57.0,0,28.675
49:57.0,0,28.85416667
49:57.0,0,29.08333333
49:57.0,0,28.98333333
49:57.0,0,28.6125
49:57.0,0,28.1875
49:57.0,0,27.9625
49:57.0,0,28.01666667
49:57.0,0,29.325
49:57.0,14.02,29.47083333
49:57.0,0.4,27.95416667
49:57.0,0,29.10416667
49:57.0,0,29.625
49:57.0,2.42,27.43333333
49:57.0,0.02,28
49:57.0,0,28.90833333
49:57.0,0,29.09166667
49:57.0,0,30
49:57.0,0,29.42916667
49:57.0,11.01,27.69583333
49:57.0,0.61,28.0125
49:57.0,0.01,28.70833333
49:57.0,0,29.6375
49:57.0,7.41,28.99583333
49:57.0,41.61,28.13333333
49:57.0,0,29.06666667
49:57.0,0,28.9875
49:57.0,0,29.1
49:57.0,0,29.7875
49:57.0,0,30.2
49:57.0,11.83,28.34166667
49:57.0,0.28,27.5875
49:57.0,6.22,27.72916667
49:57.0,9.43,27.11666667
49:57.0,0.02,28.55
49:57.0,10.22,28.71666667
49:57.0,0,28.125
49:57.0,0.02,29.325
49:57.0,0.04,28.525
49:57.0,0,29.39166667
49:57.0,0,29.70833333
49:57.0,0,30.14166667
49:57.0,11.86,28.77083333
49:57.0,0,29.5875
49:57.0,1.03,28.28333333
49:57.0,0.04,27.6375
49:57.0,0,28.79166667
49:57.0,0,29.625
49:57.0,1.22,29.61666667
49:57.0,7.44,28.2625
49:57.0,0,28.675
49:57.0,0,28.39583333
49:57.0,0.02,28.75
49:57.0,0.61,28.925
49:57.0,16.21,28.0625
49:57.0,8.22,28.41666667
49:57.0,0.02,28.79583333
49:57.0,0,28.82916667
49:57.0,5.23,27.97916667
49:57.0,0,29.00833333
49:57.0,12.06,27.27916667
49:57.0,17.24,27.5
49:57.0,2.05,27.78333333
49:57.0,0,28.52916667
49:57.0,0.01,28.625
49:57.0,30.03,27.075
49:57.0,13.26,27.74583333
49:57.0,0,27.95
49:57.0,29.8,28.20416667
