date,rainfall (mm),temperature (C)
58:57.3,5.81,27.475
58:57.3,0.82,26.67083333
58:57.3,0.2,26.79166667
58:57.3,26.22,26.22916667
58:57.3,0.81,26.22916667
58:57.3,14.82,26.40833333
58:57.3,19.03,26.75
58:57.3,16.41,26.36666667
58:57.3,9.01,27.12083333
58:57.3,53.64,25.5
58:57.3,23.42,26.79583333
58:57.3,62.42,25.62083333
58:57.3,24.81,26.59583333
58:57.3,28.61,26.5125
58:57.3,8.42,25.87083333
58:57.3,1.2,25.76666667
58:57.3,7.44,25.84166667
58:57.3,7.83,26.63333333
58:57.3,33.02,25.0125
58:57.3,30.65,25.4875
58:57.3,171.63,24.96666667
58:57.3,29.04,25.52916667
58:57.3,1.22,26.2375
58:57.3,0,26.37916667
58:57.3,0,26.54166667
58:57.3,0,27.04583333
58:57.3,24.03,26.86666667
58:57.3,104.05,26.14166667
58:57.3,43.24,24.94583333
58:57.3,10.65,26.57083333
58:57.3,31.62,26.19166667
58:57.3,11.82,26.99583333
58:57.3,14.68,25.8
58:57.3,7.63,25.69583333
58:57.3,22.25,26.22916667
58:57.3,34.04,26.52916667
58:57.3,14.83,26.07083333
58:57.3,4.6,26.87083333
58:57.3,26.44,26.7125
58:57.3,25.22,26.025
58:57.3,0.01,27.14583333
58:57.3,3.46,27.68333333
58:57.3,3.81,27.26666667
58:57.3,13.81,26.86666667
58:57.3,109.26,24.875
58:57.3,0,25.52083333
58:57.3,0,25.84166667
58:57.3,0,26.275
58:57.3,16.83,26.06666667
58:57.3,7.23,25.54583333
58:57.3,0.21,25.73333333
58:57.3,0,25.5125
58:57.3,1.01,25.5375
58:57.3,0,25.41666667
58:57.3,0.41,25.67916667
58:57.3,0,25.90416667
58:57.3,0,26.34583333
58:57.3,0,26.75416667
58:57.3,0,27.42083333
58:57.3,4.64,26.30416667
58:57.3,0.24,26.575
58:57.3,0,27.475
58:57.3,0,27.55
58:57.3,9.83,26.9
58:57.3,13.84,26.67916667
58:57.3,0,27.10833333
58:57.3,0.4,27.60416667
58:57.3,1.22,27.04166667
58:57.3,30.84,25.1875
58:57.3,24.8,26.61666667
58:57.3,7.24,26.27083333
58:57.3,0,27.27083333
58:57.3,8.63,25.17083333
58:57.3,0,26.6125
58:57.3,0,27.3375
58:57.3,8.41,26.15
58:57.3,19.81,26.87083333
58:57.3,28.84,26.225
58:57.3,0.42,26.44166667
58:57.3,1.42,27.47083333
58:57.3,0.81,27.55
58:57.3,25.24,26.78333333
58:57.3,9.62,26.9625
58:57.3,4.8,27.50833333
58:57.3,61.83,26.42916667
58:57.3,8.81,26.8
58:57.3,2.03,27.225
58:57.3,0,27.90416667
58:57.3,0,27.29166667
58:57.3,0.22,27.75416667
58:57.3,0,27.9
58:57.3,0,28.29583333
58:57.3,0.61,28.125
58:57.3,0,28
58:57.3,19.6,28.03333333
58:57.3,14.03,26.92083333
58:57.3,0.82,27.275
58:57.3,0,26.8875
58:57.3,0.21,27.275
58:57.3,0,27.725
58:57.3,0,27.81666667
58:57.3,33.83,25.73333333
58:57.3,0.02,26.50416667
58:57.3,0,28.07083333
