date,rainfall (mm),temperature © 
52:22.5,0,27.39166667
52:22.5,0.41,26.55
52:22.5,0,26.25833333
52:22.5,1.03,25.68333333
52:22.5,3.02,26.29166667
52:22.5,6.04,26.01666667
52:22.5,7.82,25.68333333
52:22.5,3.43,26.55833333
52:22.5,0,27.60833333
52:22.5,0,27.5
52:22.5,0,27.57916667
52:22.5,0,27.29166667
52:22.5,0,27.50416667
52:22.5,0,26.67083333
52:22.5,0.4,26.99583333
52:22.5,0.03,27.05416667
52:22.5,0,27
52:22.5,0,27.3125
52:22.5,0,27.73333333
52:22.5,0,26.60833333
52:22.5,0.81,27.02083333
52:22.5,0,27.35416667
52:22.5,0,27.46666667
52:22.5,0.62,26.55416667
52:22.5,0.8,27.60416667
52:22.5,2.43,27.4625
52:22.5,0.02,27.57083333
52:22.5,2.03,26.8125
52:22.5,6.81,26.69166667
52:22.5,0,26.87916667
52:22.5,0,27.4875
52:22.5,0,27.4625
52:22.5,0.02,28.225
52:22.5,0,27.72916667
52:22.5,0,27.9
52:22.5,0,28.175
52:22.5,0,27.79583333
52:22.5,0,28.95833333
52:22.5,0,29
52:22.5,0,28.5
52:22.5,0,28.76666667
52:22.5,0,28.84166667
52:22.5,0,28.4
52:22.5,2.61,28.83333333
52:22.5,0,28.8125
52:22.5,0,28.61666667
52:22.5,0,28.53333333
52:22.5,0,27.525
52:22.5,0,28.19583333
52:22.5,0,28.89166667
52:22.5,0,28.3375
52:22.5,0,28.63333333
52:22.5,0,28.29583333
52:22.5,0,28.35833333
52:22.5,0,27.42083333
52:22.5,0,27.49583333
52:22.5,0,27.57916667
52:22.5,0,27.29166667
52:22.5,0,27.275
52:22.5,0,27.32916667
52:22.5,0,28.51666667
52:22.5,0.02,28.65
52:22.5,0,28.0625
52:22.5,1.41,27.85416667
52:22.5,0.02,28.73333333
52:22.5,0.22,27.21666667
52:22.5,33.4,26.8875
52:22.5,0,27.8875
52:22.5,0,28.4125
52:22.5,0,29.025
52:22.5,0,28.99166667
52:22.5,45.22,26.59583333
52:22.5,3.61,27.475
52:22.5,0.01,28.35833333
52:22.5,0,29.125
52:22.5,1.82,28.96666667
52:22.5,0,28.61666667
52:22.5,0,28.75416667
52:22.5,0,28.54583333
52:22.5,0,28.40833333
52:22.5,0,29.19166667
52:22.5,0,29.87916667
52:22.5,6.63,28.09166667
52:22.5,3.24,27.02083333
52:22.5,7.41,26.87916667
52:22.5,24.24,26.5125
52:22.5,4.61,28.2875
52:22.5,0.87,27.76666667
52:22.5,0.01,27.97083333
52:22.5,0.02,28.725
52:22.5,0.21,28.59583333
52:22.5,0,29.4
52:22.5,1.02,28.47916667
52:22.5,0,29.37916667
52:22.5,10.06,28.68333333
52:22.5,0,29.5125
52:22.5,3.67,27.30833333
52:22.5,13.61,26.46666667
52:22.5,0,28.21666667
52:22.5,2.23,28.49166667
52:22.5,37.61,28.86666667
52:22.5,1.22,27.52916667
52:22.5,0.45,27.74166667
52:22.5,0.02,27.37916667
52:22.5,0.82,27.20833333
52:22.5,0.41,28.34166667
52:22.5,0.03,28.50833333
52:22.5,26.23,28.3125
52:22.5,0,28.89166667
52:22.5,3.43,28.79166667
52:22.5,16.23,27.85833333
52:22.5,0,29.10416667
52:22.5,4.65,28.00416667
52:22.5,30.43,27.55833333
52:22.5,7.44,27.55
52:22.5,0.02,28.39166667
52:22.5,0,28.8625
52:22.5,30.23,27.76666667
52:22.5,7.01,28.31666667
52:22.5,4.82,27.15833333
52:22.5,68.41,27.45833333
52:22.5,12.42,27.35416667
52:22.5,11.23,27.8875
52:22.5,22.05,27.84583333
52:22.5,5.21,27.38333333
52:22.5,16.63,26.86666667
52:22.5,0.65,26.65833333
52:22.5,0.01,28.0625
52:22.5,0.61,28.475
52:22.5,0,28.71666667
52:22.5,0,28.62916667
52:22.5,0,28.58333333
52:22.5,0.46,28.11666667
52:22.5,0.41,28.39166667
52:22.5,23.02,28.8125
52:22.5,6.83,28.32916667
52:22.5,0,29.05416667
52:22.5,1.43,28.25833333
52:22.5,0,28.725
52:22.5,7.24,27.98333333
52:22.5,0.42,28.24583333
52:22.5,7.45,27.17083333
52:22.5,0.01,28.15833333
52:22.5,0,29.23333333
52:22.5,0,29.5875
52:22.5,0,29.52083333
52:22.5,0.02,29.22083333
52:22.5,20.23,27.45833333
52:22.5,1,28.41666667
52:22.5,0,29.27083333
52:22.5,0,29.30416667
52:22.5,0,29.33333333
52:22.5,3.6,28.8875
52:22.5,0,28.70416667
52:22.5,0.02,28.2875
52:22.5,0,28.58333333
52:22.5,0.61,27.44583333
52:22.5,0,28.33333333
52:22.5,0,28.37916667
52:22.5,14.01,28.875
52:22.5,0,28.71666667
52:22.5,33.63,25.49166667
52:22.5,0,28.0375
52:22.5,0,29.33333333
52:22.5,0,28.74166667
52:22.5,0.42,27.97916667
52:22.5,15.6,26.78333333
52:22.5,0,28.45416667
52:22.5,12.23,27.2125
52:22.5,0,27.65833333
52:22.5,1.66,28.01666667
52:22.5,0.02,27.1625
52:22.5,1.81,26.69166667
52:22.5,0,28.21666667
52:22.5,18.21,27.525
52:22.5,16.01,27.46666667
52:22.5,6.42,27.47083333
52:22.5,2.01,28.57916667
52:22.5,0.82,27.81666667
52:22.5,1.2,27.37916667
52:22.5,4.86,25.9625
52:22.5,0.21,27.87083333
52:22.5,0,28.74583333
52:22.5,7,28.27916667
52:22.5,0.01,27.67083333
52:22.5,0,28.45833333
52:22.5,27.21,28.02916667
52:22.5,12.03,25.96666667
52:22.5,0.02,28.075
52:22.5,0.01,28.7875
52:22.5,11.23,26.9125
52:22.5,3.86,26.2625
52:22.5,51.64,25.125
52:22.5,0.02,27.61666667
52:22.5,0.05,27.75833333
52:22.5,0.01,27.325
52:22.5,0,28.9
52:22.5,0,29.16666667
52:22.5,0,29.25833333
52:22.5,0,29.27916667
52:22.5,0,28.825
52:22.5,0,28.70416667
52:22.5,0,29.1
52:22.5,0,29.975
52:22.5,0,29.85833333
52:22.5,0,29.35833333
52:22.5,0,29.63333333
52:22.5,0,29.54166667
52:22.5,0.02,29.4875
52:22.5,0,29.95
52:22.5,4.01,28.07916667
52:22.5,22.84,27.19583333
52:22.5,1.01,27.0125
52:22.5,23.06,25.6875
52:22.5,0,27.8875
52:22.5,0,29.1375
52:22.5,3.04,28.62083333
52:22.5,0,28.6
52:22.5,0,28.90833333
52:22.5,0,28.85833333
52:22.5,0,28.525
52:22.5,30.8,28.52916667
52:22.5,3.01,27.58333333
52:22.5,8.01,28.44583333
52:22.5,0.42,28.85
52:22.5,5.01,27.7875
52:22.5,0.03,27.25416667
52:22.5,3.43,26.1375
52:22.5,30.61,25.82083333
52:22.5,7.44,25.55833333
52:22.5,5.24,25.75
52:22.5,10.45,26.35
52:22.5,9.05,26.0875
52:22.5,0.21,27.6
52:22.5,6.03,27.1875
52:22.5,0.22,27.3375
52:22.5,28.68,25.4125
52:22.5,3,26.31666667
52:22.5,1.03,27.3375
52:22.5,0,27.8875
52:22.5,0,27.65
52:22.5,5.02,27.05833333
52:22.5,9.42,26.84583333
52:22.5,1.22,27.62916667
52:22.5,1.43,27.09583333
52:22.5,1.45,26.33333333
52:22.5,0,27.82083333
52:22.5,0,27.52083333
52:22.5,0,27.84166667
52:22.5,0,28.10833333
52:22.5,0,28.6
52:22.5,16.44,26.94583333
52:22.5,40.81,26.55416667
52:22.5,0,28.37083333
52:22.5,1.6,27.08333333
52:22.5,0.62,27.1375
52:22.5,33.41,26.35
52:22.5,0,27.70416667
52:22.5,0,28.26666667
52:22.5,0,28.63333333
52:22.5,4.82,26.92083333
52:22.5,30.01,27.27916667
52:22.5,0.21,27.27916667
52:22.5,9.86,26.45
52:22.5,8.44,27.25416667
52:22.5,0.21,27.7625
52:22.5,0,28.55416667
52:22.5,0,28.61666667
52:22.5,0,28.51666667
52:22.5,37.81,27.0375
52:22.5,7.25,27.375
52:22.5,64.21,27.49166667
52:22.5,42.05,26.75416667
52:22.5,0.43,27.575
52:22.5,0.44,27.6125
52:22.5,0,27.65
