date,rainfall (mm),temperature ©
44:20.7,0,18.30833333
44:20.7,0.04,17.1
44:20.7,1.41,16.9625
44:20.7,123.6,16.80833333
44:20.7,2.41,16.575
44:20.7,21.02,18.0375
44:20.7,22.61,16.57916667
44:20.7,19.01,17.84583333
44:20.7,4,17.13333333
44:20.7,2.24,16.83333333
44:20.7,0.42,16.77083333
44:20.7,0.2,16.7125
44:20.7,0,16.3875
44:20.7,0,16.8
44:20.7,35.4,17.62916667
44:20.7,0,17.57083333
44:20.7,0,17.75416667
44:20.7,8.6,17.67083333
44:20.7,0.2,15.77916667
44:20.7,0,15.55416667
44:20.7,4.2,16.84583333
44:20.7,0,17.55833333
44:20.7,2.21,17.8125
44:20.7,7.81,17.08333333
44:20.7,0,17.9625
44:20.7,0,18.30833333
44:20.7,0,17.52083333
44:20.7,6.4,17.49583333
44:20.7,1.6,17.57916667
44:20.7,0,17.10416667
44:20.7,0,16.86666667
44:20.7,0.6,17.09583333
44:20.7,1.62,17.54166667
44:20.7,0,17.7
44:20.7,0,17.9125
44:20.7,0,17.06666667
44:20.7,0,17.475
44:20.7,0,17.8625
44:20.7,14,18.11666667
44:20.7,9.2,17.59583333
44:20.7,0,18.77083333
44:20.7,3.8,19.0375
44:20.7,4.6,18.25416667
44:20.7,35.4,18.30833333
44:20.7,0.2,18.50833333
44:20.7,0.2,18.95416667
44:20.7,0,18.79166667
44:20.7,0,18.2875
44:20.7,0,17.125
44:20.7,0,16.6625
44:20.7,0,16.49583333
44:20.7,0,16.7125
44:20.7,0,17.15416667
44:20.7,0,17.70833333
44:20.7,0,17.97916667
44:20.7,0,18.47083333
44:20.7,0,17.99166667
44:20.7,0,17.6875
44:20.7,0,18.45833333
44:20.7,0,18.5125
44:20.7,6.4,18.75416667
44:20.7,0,18.89583333
44:20.7,0,18.83333333
44:20.7,0,19.09166667
44:20.7,0,19.00833333
44:20.7,20.21,18.04583333
44:20.7,0,18.3125
44:20.7,0,18.5125
44:20.7,0,18.2375
44:20.7,0,18.49583333
44:20.7,0,18.575
44:20.7,6.43,17.17083333
44:20.7,0,18.16666667
44:20.7,4.61,18.225
44:20.7,5.2,18.61666667
44:20.7,64.02,17.93333333
44:20.7,0,18.3625
44:20.7,0,18.62083333
44:20.7,2.61,17.8125
44:20.7,0,18.73333333
44:20.7,0,19.43333333
44:20.7,0,19.625
44:20.7,11.02,17.54583333
44:20.7,15.85,17.125
44:20.7,3.84,17.74166667
44:20.7,2.22,18.67916667
44:20.7,1.02,18.9875
44:20.7,13.82,18.6125
44:20.7,14.83,18.92083333
44:20.7,29.41,19.09583333
44:20.7,0.44,18.975
44:20.7,0,19.2375
44:20.7,0.81,19.12083333
44:20.7,0,19.3125
44:20.7,1.04,19.24583333
44:20.7,0.61,19.24166667
44:20.7,15.2,18.85416667
44:20.7,2.4,18.4125
44:20.7,0.6,18.51666667
44:20.7,0.01,19.09166667
44:20.7,2.8,19.5375
44:20.7,14.84,18.7875
44:20.7,1.04,18.73333333
44:20.7,31.82,18.05416667
44:20.7,4.62,17.9125
44:20.7,5,17.95416667
44:20.7,9.61,18.5375
44:20.7,9.6,18.08333333
44:20.7,7.41,17.93333333
44:20.7,11.41,18.04583333
44:20.7,0.21,18.47916667
44:20.7,0,18.62083333
44:20.7,29.81,17.90416667
44:20.7,0.2,18.16666667
44:20.7,27.81,18.0375
44:20.7,11.23,18.37916667
44:20.7,30.81,18.30416667
44:20.7,12.83,17.95833333
44:20.7,1.82,18.3375
44:20.7,18.63,17.9625
44:20.7,25,18.60416667
44:20.7,5.63,19.1125
44:20.7,3,19.48333333
44:20.7,7.02,19.22083333
44:20.7,25.02,19.20416667
