date,rainfall (mm),temperature ©
55:06.8,0,27.05
55:06.8,0.2,26.24166667
55:06.8,1.22,25.75833333
55:06.8,3.82,25.74166667
55:06.8,8.26,25.67083333
55:06.8,9.02,26.55
55:06.8,19.68,25.78333333
55:06.8,0,27.0375
55:06.8,0,27.24583333
55:06.8,0,27.0375
55:06.8,2.84,25.27083333
55:06.8,0,25.7875
55:06.8,0,26.3375
55:06.8,0,25.9125
55:06.8,0,26.44583333
55:06.8,0,26.71666667
55:06.8,0,26.28333333
55:06.8,0,27.2
55:06.8,0,26.825
55:06.8,0,26.92916667
55:06.8,0,27.18333333
55:06.8,0,27.35416667
55:06.8,0,27.68333333
55:06.8,0.22,26.97083333
55:06.8,0.2,27.8125
55:06.8,0,27.90833333
55:06.8,0,27.3875
55:06.8,3.42,26.99166667
55:06.8,0,27.825
55:06.8,0,27.46666667
55:06.8,0,27.17083333
55:06.8,0,26.77083333
55:06.8,0,27.17916667
55:06.8,0.8,27.68333333
55:06.8,0,27.37916667
55:06.8,0,27.1875
55:06.8,0,28.0875
55:06.8,0,28.54166667
55:06.8,0,28.21666667
55:06.8,0,27.9875
55:06.8,0,28.80416667
55:06.8,0,28.73333333
55:06.8,0,28.5125
55:06.8,0,29.01666667
55:06.8,0,28.7625
55:06.8,0,28.56666667
55:06.8,0,28.44166667
55:06.8,0,27.97083333
55:06.8,0,27.7875
55:06.8,0,27.45
55:06.8,0,27.2375
55:06.8,0,28.02083333
55:06.8,0,27.73333333
55:06.8,0,28.45833333
55:06.8,0,28.00416667
55:06.8,0,28.3125
55:06.8,0,26.87916667
55:06.8,0,26.79166667
55:06.8,0,27.075
55:06.8,0,27.06666667
55:06.8,0,29.4875
55:06.8,0,29.29166667
55:06.8,2.42,28.6625
55:06.8,0.2,29.025
55:06.8,5.62,28.475
55:06.8,4.63,26.90416667
55:06.8,0.01,28.24583333
55:06.8,0,28.24583333
55:06.8,0,28.39166667
55:06.8,0,28.51666667
55:06.8,0,28.94166667
55:06.8,1.61,28.25
55:06.8,0,28.21666667
55:06.8,0,28.65416667
55:06.8,0,29.0625
55:06.8,0,29.3
55:06.8,0,29.025
55:06.8,0,28.89583333
55:06.8,0,29.2375
55:06.8,0,29.125
55:06.8,0,30.0375
55:06.8,0,29.5
55:06.8,1.41,28.3375
55:06.8,9.63,26.90833333
55:06.8,0,28.5375
55:06.8,4.63,27.2875
55:06.8,0.01,29
55:06.8,87.81,26.32083333
55:06.8,0.21,28.1875
55:06.8,2.02,27.85
55:06.8,0,29.07083333
55:06.8,0,28.65416667
55:06.8,0.21,28.4
55:06.8,0.43,28.05416667
55:06.8,2.42,28.56666667
55:06.8,0.03,28.9625
55:06.8,27.84,27.32083333
55:06.8,2.26,26.69166667
55:06.8,0,28.43333333
55:06.8,0,28.925
55:06.8,0,29.17916667
55:06.8,0,28.2625
55:06.8,2.85,27.08333333
55:06.8,1.85,27.14583333
55:06.8,0.22,27.725
55:06.8,0.01,27.50833333
55:06.8,0,27.47083333
55:06.8,0,28.25833333
55:06.8,0,28.25
55:06.8,2.23,27.25833333
55:06.8,0,27.47083333
55:06.8,0,28.59166667
55:06.8,3.28,26.66666667
55:06.8,2.47,26.79166667
55:06.8,25.22,26.84166667
55:06.8,8.44,28.08333333
55:06.8,19.82,26.8625
55:06.8,0,28.00416667
55:06.8,22.42,26.6375
55:06.8,7.61,26.4125
55:06.8,22.65,26.975
55:06.8,1.05,28.10833333
55:06.8,3.24,28.3625
55:06.8,0,28.7125
55:06.8,3,28.42083333
55:06.8,2.63,27.35
55:06.8,23.02,26.12083333
55:06.8,0.62,27.85416667
55:06.8,0.81,27.89583333
55:06.8,0,28.9625
55:06.8,13.63,28.96666667
55:06.8,50.22,28.325
55:06.8,10.26,27.4375
55:06.8,20.45,27.97083333
55:06.8,11,28.64583333
55:06.8,40.27,28.27916667
55:06.8,0.05,28.24166667
55:06.8,4.42,28.37916667
55:06.8,0.62,28.05
55:06.8,5.62,26.27083333
55:06.8,0,27.93333333
55:06.8,41.44,25.93333333
55:06.8,34.61,26.08333333
55:06.8,0,27.375
55:06.8,0,28.95833333
55:06.8,16.02,27.97083333
55:06.8,0.02,27.74166667
55:06.8,15.44,25.90416667
55:06.8,4.43,26.47083333
55:06.8,0,28.6625
55:06.8,8.8,29.025
55:06.8,0.02,28.6875
55:06.8,0,27.6125
55:06.8,0,28.59166667
55:06.8,0,28.92916667
55:06.8,3.2,28.3
55:06.8,9.45,27.49166667
55:06.8,0.85,26.69583333
55:06.8,0,27.7875
55:06.8,0.21,27.85416667
55:06.8,0,28.4125
55:06.8,5.06,25.52083333
55:06.8,0,27.42916667
55:06.8,0,28.2375
55:06.8,0.83,27.45
55:06.8,0,28.22083333
55:06.8,12.42,26.09166667
55:06.8,0,27.66666667
55:06.8,3.03,27.89583333
55:06.8,0,27.475
55:06.8,2.42,27.3125
55:06.8,0.81,27.51666667
55:06.8,6.03,26.01666667
55:06.8,0,27.34583333
55:06.8,0.41,26.8625
55:06.8,0.45,27.21666667
55:06.8,6.84,26.7875
55:06.8,0.02,28.07083333
55:06.8,0,28.18333333
55:06.8,0,28.19583333
55:06.8,5.65,27.02916667
55:06.8,0,27.70833333
55:06.8,0,28.11666667
55:06.8,1.22,27.9875
55:06.8,0.42,28.28333333
55:06.8,0,28.29166667
55:06.8,0,27.56666667
55:06.8,36.66,25.05416667
55:06.8,0,27.05416667
55:06.8,0,27.45416667
55:06.8,39.42,25.3
55:06.8,13.05,25.8375
55:06.8,3.54,25.575
55:06.8,0,26.775
55:06.8,0.45,27.50833333
55:06.8,0,27.20416667
55:06.8,1.62,27.32083333
55:06.8,0,28.64166667
55:06.8,0,28.53333333
55:06.8,0,28.5625
55:06.8,0,27.75416667
55:06.8,0,28.425
55:06.8,0,28.0375
55:06.8,0,28.94166667
55:06.8,0.42,28.47916667
55:06.8,0,28.73333333
55:06.8,0,28.75416667
55:06.8,0,28.3625
55:06.8,0,28.95
55:06.8,3.84,27.62916667
55:06.8,4.06,27.5375
55:06.8,15.05,25.95416667
55:06.8,47.66,25.43333333
55:06.8,12.27,26.6375
55:06.8,20.47,27.25
55:06.8,0.01,27.625
55:06.8,3.6,28.30833333
55:06.8,1.86,27.96666667
55:06.8,0,28.65833333
55:06.8,0,28.48333333
55:06.8,0,28.80833333
55:06.8,0.02,28.4
55:06.8,11.44,26.73333333
55:06.8,4.22,26.9125
55:06.8,1.42,27.8
55:06.8,9.24,27.0625
55:06.8,0,27.29166667
55:06.8,9.25,26.02916667
55:06.8,0,26.46666667
55:06.8,56.65,25.80416667
55:06.8,7.23,25.27083333
55:06.8,0.02,26.14583333
55:06.8,20.64,25.49583333
55:06.8,0.22,26.82083333
55:06.8,11.22,26.36666667
55:06.8,0.82,26.80833333
55:06.8,34.44,24.91666667
55:06.8,8.83,26.075
55:06.8,10.43,26.4875
55:06.8,0,27.325
55:06.8,0,27.85416667
55:06.8,0.83,26.92083333
55:06.8,1.62,27.59583333
55:06.8,1.61,27.24583333
55:06.8,0,27.62916667
55:06.8,18.02,26.52083333
55:06.8,0,27.24583333
55:06.8,0,27.54583333
55:06.8,0,27.7125
55:06.8,0,27.6375
55:06.8,0,27.92916667
55:06.8,4.01,26.9875
55:06.8,45.65,25.37083333
55:06.8,0.22,26.91666667
55:06.8,0,27.95416667
55:06.8,2.41,27.51666667
55:06.8,39.64,24.34583333
55:06.8,0.62,26.56666667
