state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Johor,Batu Pahat,1.8472584,102.9346697,7.83,27.55,90.33,84.63,9420495.95,2920.6,1250.01,24.88,30.98,5847.1
Johor,Johor Bahru,1.4581986,103.7649059,7.86,28.25,88.09,81.01,10384534.3,2219.4,1316.78,25.98,31.52,5913.82
Johor,Kluang,2.0322421,103.3190922,7.66,27.26,90.27,85.04,9550641.4,2521.9,1230.11,24.49,31.29,5675.46
Johor,Kota Tinggi,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82
Johor,Kulai,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47
Johor,Mersing,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02
Johor,Muar,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26
Johor,Pontian,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69
Johor,Segamat,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73
Johor,Tangkak,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96
Kedah,Baling,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35
Kedah,Bandar Baharu,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44
Kedah,Kota Setar,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57
Kedah,Kuala Muda,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79
Kedah,Kubang Pasu,6.28203965,100.4197421,7.63,28.55,83.88,78.09,11323543.98,2093.3,1518.8,25.13,33.15,6637.69
Kedah,Kulim,5.3663769,100.5525705,7.76,28.22,89.59,80.56,10030575.78,2885.0,1388.99,24.88,32.48,6277.05
Kedah,Langkawi,6.3621284,99.802427,7.8,27.34,86.25,78.22,11404834.29,1981.8,1486.8,25.4,30.36,6770.79
Kedah,Padang Terap,6.297838,100.66323,7.65,28.35,83.9,78.64,11197527.19,1973.8,1526.24,24.69,33.39,6580.8
Kedah,Pendang,5.992427,100.4776159,7.65,28.4,85.11,79.89,11049673.52,2178.2,1481.44,24.81,33.24,6543.13
Kedah,Pokok Sena,6.1685074,100.5185454,7.62,28.23,84.37,79.59,11220782.74,2225.2,1503.7,24.69,33.09,6638.72
Kedah,Sik,5.8188544,100.7442773,7.72,28.05,86.19,79.95,10756953.78,2883.9,1448.76,24.28,33.14,6483.13
Kedah,Yan,5.7953119,100.372302,7.74,28.52,87.09,79.72,10749656.93,2453.6,1456.87,25.42,32.48,6577.07
Kelantan,Bachok,6.0616322,102.4008505,7.64,27.99,84.55,82.67,11573373.26,2604.6,1479.48,24.8,31.93,6861.54
Kelantan,Gua Musang,4.8792724,101.9652332,7.59,27.7,89.34,79.78,10337392.35,3014.3,1411.46,24.05,32.56,6346.94
Kelantan,Jeli,5.6955226,101.8449367,7.45,27.36,88.49,82.06,10659676.25,3450.3,1399.01,23.53,32.39,6315.93
Kelantan,Kota Bharu,6.1247911,102.2378065,7.62,27.91,84.13,82.17,11663684.17,2407.2,1451.24,24.96,31.66,6716.87
Kelantan,Kuala Krai,5.5311582,102.1993666,7.47,27.84,86.33,80.65,10545254.55,1853.3,1391.35,23.84,33.03,6183.69
Kelantan,Machang,5.7641131,102.214217,7.58,27.76,84.41,82.28,11412762.39,2225.3,1432.39,24.44,32.2,6563.82
Kelantan,Pasir Mas,6.0416128,102.1429248,7.57,28.05,85.72,81.72,11322662.68,2597.9,1435.07,24.8,32.8,6455.42
Kelantan,Pasir Puteh,5.8355343,102.4050452,7.67,27.93,84.41,82.28,11412762.39,2225.3,1436.32,24.62,32.38,6563.82
Kelantan,Tanah Merah,5.8097754,102.1484103,7.58,27.76,86.71,81.58,10899646.58,2516.0,1433.99,24.04,32.87,6403.01
Kelantan,Tumpat,6.2002519,102.1706651,7.62,28.19,83.78,81.74,11718820.34,2339.8,1469.53,25.85,31.19,6841.17
Melaka,Alor Gajah,2.3861261,102.2149996,7.74,27.69,91.31,83.14,9572404.08,2653.7,1276.47,24.95,31.48,5845.82
Melaka,Jasin,2.3081946,102.4303382,7.78,27.46,91.32,83.82,9440728.7,2731.0,1260.39,24.74,31.24,5834.88
Melaka,Melaka Tengah,2.23015,102.24531,7.79,28.08,91.45,81.52,9629934.66,3042.4,1315.86,25.57,31.37,5970.71
Negeri Sembilan,Jelebu,2.9738104,102.0604321,7.73,27.17,91.27,81.64,9226700.93,3530.5,1235.74,24.12,31.38,5644.69
Negeri Sembilan,Jempol,2.897376,102.4059228,7.64,27.43,92.34,82.99,9516488.26,2967.5,1282.9,24.36,31.68,5869.72
