NAME_1,NAME_2,elev_mean,elev_min,elev_max,slope_mean,slope_min,slope_max,slope_std
Johor,Batu Pahat,21.366024210364383,-8.0,567.0,2.0688585607940446,0.0,46.3852424621582,3.134854781195411
Johor,Johor Baharu,31.036336410941196,-18.0,176.0,2.4841377597511136,0.0,22.80646514892578,1.747780012183225
Johor,Keluang,62.75687597901481,-19.0,998.0,3.508462272635501,0.0,44.661216735839844,3.9743522710317176
Johor,Kota Tinggi,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kulaijaya,57.65042031758443,-1.0,651.0,3.6688455234476134,0.0,31.987943649291992,3.789714542945858
Johor,Ledang,71.30402826123526,-9.0,1251.0,3.9173816330819085,0.0,47.198516845703125,5.738879303495512
Johor,Mersing,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Muar,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Pontian,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Segamat,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Kedah,Baling,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Bandar Baharu,57.307154718828116,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Kota Setar,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kuala Muda,55.36480483575734,-25.0,1202.0,3.9413546443972893,0.0,52.081398010253906,5.2760829207169015
Kedah,Kubang Pasu,72.89929223567219,-7.0,757.0,4.78229429033826,0.0,40.736820220947266,6.4319841476895725
Kedah,Kulim,131.91668722855314,-6.0,1787.0,6.683287484522906,0.0,40.34757995605469,6.819753755410705
Kedah,Langkawi,111.6674917761144,-57.0,872.0,10.954971318178586,0.0,56.15574264526367,9.056811189636246
Kedah,Padang Terap,136.47467453783253,6.0,770.0,8.252566563563734,0.0,45.777645111083984,7.167120225048615
Kedah,Pendang,61.465698928352325,-6.0,860.0,4.349275651141226,0.0,48.84209060668945,5.814363125524982
Kedah,Pokok Sena,29.246837362658866,-3.0,284.0,3.3066459399150974,0.0,31.835739135742188,4.186126310350273
Kedah,Sik,281.1402337578026,19.0,1109.0,11.542356105500637,0.0,41.91756820678711,7.426269272382733
Kedah,Yan,75.45846489421743,-9.0,1185.0,4.145465975782872,0.0,54.5273323059082,7.7640634174498935
Kelantan,Bachok,8.193207053772717,-25.0,200.0,1.1496984346332422,0.0,30.455467224121094,1.8779891205721442
Kelantan,Gua Musang,452.994118164522,20.0,2183.0,12.063253830097075,0.0,60.07530212402344,7.600862658668211
Kelantan,Jeli,461.77192397133405,23.0,1837.0,12.486809321686199,0.0,49.44751739501953,7.918626532547133
Kelantan,Kota Bharu,13.606842270421664,-16.0,425.0,1.099360176177772,0.0,37.63243103027344,1.285874329707099
Kelantan,Kuala Krai,255.09488443861048,-6.0,1695.0,10.359067173035841,0.0,55.418121337890625,7.201412142032418
Kelantan,Machang,130.01652010433372,8.0,698.0,7.11369051179297,0.0,44.849586486816406,7.173487950453219
Kelantan,Pasir Mas,16.586800363701798,-2.0,275.0,1.3775007967139974,0.0,30.48772621154785,1.7151300949935637
Kelantan,Pasir Putih,35.95755160189045,-23.0,522.0,3.0144767786046995,0.0,40.541866302490234,5.270519231528622
