date,rainfall (mm),temperature ©
38:28.0,25.43,24.78333333
38:28.0,36.46,24.97916667
38:28.0,52.82,23.875
38:28.0,11.08,25.52083333
38:28.0,84.05,24.12083333
38:28.0,16.04,26.15
38:28.0,5.49,26.25833333
38:28.0,10.06,26.19583333
38:28.0,5.21,26.10416667
38:28.0,11.28,25.64583333
38:28.0,4.23,24.85833333
38:28.0,4.42,24.52916667
38:28.0,4.21,25.0875
38:28.0,4.05,24.44583333
38:28.0,0,24.52916667
38:28.0,0,24.75
38:28.0,0,25.52083333
38:28.0,0.2,25.85833333
38:28.0,0,25.36666667
38:28.0,1.41,24.0875
38:28.0,0,25.34583333
38:28.0,0,25.54583333
38:28.0,0.02,25.3125
38:28.0,0.02,25.64166667
38:28.0,1.8,25.4375
38:28.0,0,25.75416667
38:28.0,0,25.35833333
38:28.0,12.44,25.71666667
38:28.0,8.62,26.05416667
38:28.0,0.01,25.625
38:28.0,0,25.64583333
38:28.0,4.03,24.8875
38:28.0,0.84,25.50833333
38:28.0,0.21,25.79166667
38:28.0,0,25.17083333
38:28.0,0,24.78333333
38:28.0,4.42,25.05416667
38:28.0,0,26.15
38:28.0,0,26.00833333
38:28.0,0,26.3375
38:28.0,0,25.88333333
38:28.0,0,26.40833333
38:28.0,0,26.49583333
38:28.0,0,26.45416667
38:28.0,0,26.2125
38:28.0,0,25.9375
38:28.0,0,25.32916667
38:28.0,0,25.38333333
38:28.0,0,25.16666667
38:28.0,0.01,24.725
38:28.0,0.21,25.73333333
38:28.0,0,25.79583333
38:28.0,0.82,25.10833333
38:28.0,0,25.65833333
38:28.0,0,25.09583333
38:28.0,0,25.25833333
38:28.0,0,25.95
38:28.0,0,26.57916667
38:28.0,0,26.5875
38:28.0,0,26.52916667
38:28.0,0,27.29583333
38:28.0,0,27.11666667
38:28.0,0,27.55
38:28.0,18.66,26.775
38:28.0,2.61,26.825
38:28.0,86.22,25.82083333
38:28.0,0,26.7875
38:28.0,0,26.35
38:28.0,0,26.53333333
38:28.0,0,26.50416667
38:28.0,2.61,26.85833333
38:28.0,0.8,26.90833333
38:28.0,1.61,26.81666667
38:28.0,0,27.1
38:28.0,0.41,26.84166667
38:28.0,0,26.4625
38:28.0,0,26.32916667
38:28.0,0,26.66666667
38:28.0,0,27.06666667
38:28.0,0,27.175
38:28.0,0,28.1
38:28.0,0.02,27.94583333
38:28.0,8.44,27.8625
38:28.0,8.63,27.68333333
38:28.0,6.42,27.17083333
38:28.0,2.42,27.0625
38:28.0,0.2,27.2375
38:28.0,17.62,26.12083333
38:28.0,0.02,27.22083333
38:28.0,0,27.7
38:28.0,59.01,27.49166667
38:28.0,4.82,28.0375
38:28.0,0.4,26.75
38:28.0,0,28.05416667
38:28.0,3.21,27.55
38:28.0,11.22,27.55416667
38:28.0,29.63,26.68333333
38:28.0,7.61,26.68333333
38:28.0,0,27.04166667
38:28.0,0,27.35
38:28.0,0,28.16666667
38:28.0,14.44,27.43333333
38:28.0,0,26.875
38:28.0,0,26.68333333
38:28.0,0,27.325
38:28.0,0,28.10416667
38:28.0,0,28.33333333
38:28.0,0,28.40416667
38:28.0,0,28.75833333
38:28.0,2.01,27.425
38:28.0,0.61,28.03333333
38:28.0,0.4,28.475
38:28.0,3.2,27.82916667
38:28.0,6.61,27.3
38:28.0,72.21,26.46666667
38:28.0,4.22,27.32916667
38:28.0,0,28.27916667
38:28.0,0.02,27.92916667
38:28.0,0,27.77916667
38:28.0,0,27.30416667
38:28.0,0,28.00833333
38:28.0,0,28.17083333
38:28.0,0,28.79166667
38:28.0,0,28.7125
38:28.0,4.01,28.27083333
38:28.0,2.61,27.075
38:28.0,8.85,26.36666667
38:28.0,0,27.85833333
38:28.0,0,28.20833333
38:28.0,0.2,28.63333333
38:28.0,0,28.92916667
38:28.0,1.41,28.33333333
38:28.0,0,27.62916667
38:28.0,0,28.62916667
38:28.0,0,29.21666667
38:28.0,0,29.42916667
38:28.0,0,29.475
38:28.0,0,28.67083333
38:28.0,8,28.62916667
38:28.0,22.85,26.59583333
38:28.0,0.24,27.39166667
38:28.0,38.21,27.35416667
38:28.0,16.6,26.9375
38:28.0,0.81,27.81666667
38:28.0,0,28.56666667
38:28.0,10.4,28.97916667
38:28.0,3.82,27.81666667
38:28.0,36.81,26.92916667
38:28.0,0,28.2875
38:28.0,0,28.70833333
38:28.0,0,28.27916667
38:28.0,0,27.93333333
38:28.0,0,28.41666667
38:28.0,0,28.80833333
38:28.0,0,29.20416667
38:28.0,22.03,27.7375
38:28.0,42.42,27.725
38:28.0,0,27.36666667
38:28.0,0,28.3125
38:28.0,0.02,29.01666667
38:28.0,7.6,27.55416667
38:28.0,32.23,26.08333333
38:28.0,0,27.78333333
38:28.0,0,28.375
38:28.0,15.01,27.45833333
38:28.0,0.22,27.61666667
38:28.0,0,28.1875
38:28.0,0,28.25
38:28.0,0,27.87916667
38:28.0,0,28.15
38:28.0,0.03,27.4375
38:28.0,48.6,27.5875
38:28.0,10.01,27.26666667
38:28.0,6.82,27.7625
38:28.0,87.2,26.2875
38:28.0,1.43,27.425
38:28.0,4.82,27.42916667
38:28.0,7.01,27.4875
38:28.0,7.4,27.29583333
38:28.0,10.61,27.30833333
38:28.0,52.41,27.13333333
38:28.0,0,27.95
38:28.0,0,28.1375
38:28.0,0,28.97916667
38:28.0,0.01,28.3125
38:28.0,0.62,28.43333333
38:28.0,0,27.80833333
38:28.0,27.8,27.45416667
38:28.0,0,26.82083333
38:28.0,10.23,27.4875
38:28.0,68.03,26.7
38:28.0,19.21,26.8625
38:28.0,1.02,26.77083333
38:28.0,0,28.1
38:28.0,3.63,27.5125
38:28.0,2.27,25.63333333
38:28.0,0,27.125
38:28.0,0.61,28.225
38:28.0,0,28.75833333
38:28.0,13.61,28.15
38:28.0,1.01,27.69166667
38:28.0,0,29.025
38:28.0,23.41,27.92083333
38:28.0,0.81,28.15416667
38:28.0,14.02,27.12083333
38:28.0,0,28.18333333
38:28.0,0,28.97916667
38:28.0,1,29.275
38:28.0,6.01,27.8
38:28.0,29.2,27.66666667
38:28.0,8.84,27.4125
38:28.0,0.2,28.1
38:28.0,1.63,27.4625
38:28.0,4.81,26.65833333
38:28.0,15.63,26.8625
38:28.0,0.02,27.075
38:28.0,10.6,27.10833333
38:28.0,0,28.16666667
38:28.0,0,28.5125
38:28.0,0,28.81666667
38:28.0,0,29.15833333
38:28.0,0.03,28.50833333
38:28.0,0.01,28.70833333
38:28.0,59.81,27.55
38:28.0,0.02,27.43333333
38:28.0,4.41,27.075
38:28.0,0,27.5875
38:28.0,3.61,27.075
38:28.0,3.61,26.13333333
38:28.0,7.61,25.62083333
38:28.0,0,26.56666667
38:28.0,5.02,25.77916667
38:28.0,0,26.8875
38:28.0,2.8,27.3375
38:28.0,6.6,27.125
38:28.0,6.61,26.3375
38:28.0,1.07,26.4625
38:28.0,1.03,27.2875
38:28.0,0.04,26.92916667
38:28.0,55.81,26.06666667
38:28.0,0,26.6875
38:28.0,6.22,27.17916667
38:28.0,0,27.79583333
38:28.0,1.02,26.73333333
38:28.0,1.02,26.90416667
38:28.0,9.82,25.84583333
38:28.0,0.25,25.57916667
38:28.0,0,27.7125
38:28.0,0,27.9125
38:28.0,0,27.72083333
38:28.0,0,27.9625
38:28.0,26.42,27.8125
38:28.0,0.02,27.38333333
38:28.0,0,27.81666667
38:28.0,0,27.82083333
38:28.0,0,27.09166667
38:28.0,0,27.13333333
38:28.0,0.02,27.0375
38:28.0,1.03,27.52083333
38:28.0,0,28.0125
38:28.0,17.63,26.5125
38:28.0,0,27.67916667
38:28.0,7.62,27.35416667
38:28.0,3.61,26.97083333
38:28.0,2.63,27.1875
38:28.0,1.81,26.64166667
38:28.0,0,27.62916667
38:28.0,0,28.45
38:28.0,0.82,27.91666667
38:28.0,2.21,27.49583333
38:28.0,55.02,26.98333333
38:28.0,0,27.64166667
38:28.0,5.21,27.49583333
38:28.0,1,27.38333333
38:28.0,18.24,27.05416667
38:28.0,0.8,27.2375
38:28.0,0,27.96666667
38:28.0,7.01,27.02916667
38:28.0,1.03,26.52083333
38:28.0,0.62,27.3
38:28.0,0.6,27.6125
38:28.0,0,28.04166667
38:28.0,0,27.85
38:28.0,0,28.39583333
38:28.0,0,28.54166667
38:28.0,0.8,28.22083333
38:28.0,0,28.64166667
38:28.0,14.03,28.02083333
38:28.0,11.21,28.38333333
38:28.0,3.02,26.3625
38:28.0,29,26.15833333
38:28.0,0,27.21666667
38:28.0,0,28.0625
38:28.0,0,27.69583333
38:28.0,3.24,26.06666667
38:28.0,0,27.55
38:28.0,0.01,27.33333333
38:28.0,0.01,27.45416667
38:28.0,2.6,26.975
38:28.0,0,27.7875
38:28.0,9.6,27.14166667
38:28.0,0.63,27.02916667
38:28.0,1.01,27.4125
38:28.0,15.62,26.58333333
38:28.0,0,27.32083333
38:28.0,0.64,28.18333333
38:28.0,6.28,25.38333333
38:28.0,38.87,25.0375
