date,rainfall (mm),temperature ©
43:41.1,3.21,26.80833333
43:41.1,0,26.79166667
43:41.1,0.02,26.15416667
43:41.1,86.8,23.55416667
43:41.1,3.1,24.26666667
43:41.1,4.23,25.39166667
43:41.1,9.69,24.125
43:41.1,14.44,25.725
43:41.1,0.21,26.39583333
43:41.1,0.02,26.35
43:41.1,5.24,26.19583333
43:41.1,6.6,25.74166667
43:41.1,0,26.27083333
43:41.1,0,25.975
43:41.1,43.02,26.52083333
43:41.1,1.45,26.61666667
43:41.1,0,27.92083333
43:41.1,26.02,26.95
43:41.1,0.01,26.8625
43:41.1,0,26.15833333
43:41.1,0,26.6875
43:41.1,0,26.85
43:41.1,1.22,26.10833333
43:41.1,27.81,25.575
43:41.1,2.61,26.97083333
43:41.1,28.83,26.97083333
43:41.1,6.03,26.5875
43:41.1,3.22,25.94166667
43:41.1,20.63,26.07916667
43:41.1,0,26.36666667
43:41.1,0,27.00833333
43:41.1,0,26.71666667
43:41.1,26.22,26.90833333
43:41.1,7.61,26.88333333
43:41.1,0,27.44166667
43:41.1,0,27.6875
43:41.1,0,27.3875
43:41.1,8,28.2875
43:41.1,0.23,28.12083333
43:41.1,0.21,27.64583333
43:41.1,0,28.03333333
43:41.1,0,28.3
43:41.1,0.02,27.51666667
43:41.1,8.8,26.87916667
43:41.1,0,27.86666667
43:41.1,0,28.7875
43:41.1,0,28.77916667
43:41.1,0,28.42916667
43:41.1,0,27.94166667
43:41.1,0,28.30416667
43:41.1,3.4,27.97083333
43:41.1,0.01,27.24583333
43:41.1,0,28.04583333
43:41.1,0,28.39166667
43:41.1,0,28.89583333
43:41.1,0,29.00833333
43:41.1,0,28.875
43:41.1,0,28.47916667
43:41.1,0,28.33333333
43:41.1,0,28.37083333
43:41.1,0.8,28.48333333
43:41.1,0.82,28.05833333
43:41.1,0,27.5
43:41.1,21.61,27.87083333
43:41.1,0.21,27.3
43:41.1,2.21,26.23333333
43:41.1,0,26.64166667
43:41.1,0,27.8
43:41.1,0,28.90416667
43:41.1,0.41,29.01666667
43:41.1,16.21,28.10416667
43:41.1,5.03,26.07916667
43:41.1,0.41,26.41666667
43:41.1,36.41,27.075
43:41.1,5.03,27.75416667
43:41.1,42.23,26.24166667
43:41.1,14.4,26.78333333
43:41.1,5.4,27.22083333
43:41.1,0,27.62916667
43:41.1,0,28.29166667
43:41.1,0,28.94166667
43:41.1,0,29.02083333
43:41.1,3.81,27.425
43:41.1,10.48,25.04166667
43:41.1,0.02,26.59166667
43:41.1,52.42,26.85
43:41.1,0.02,27.07916667
43:41.1,0.02,27.80833333
43:41.1,1.21,27.9375
43:41.1,0,29.3875
43:41.1,15.63,27.575
43:41.1,0,29.1
43:41.1,11.02,28.70416667
43:41.1,0.02,29.125
43:41.1,0,29.14166667
43:41.1,0.02,28.22083333
43:41.1,8.81,26.9625
43:41.1,1.81,26.41666667
