date,rainfall (mm),temperature (C)
57:50.6,3,27.3375
57:50.6,3.8,26.94166667
57:50.6,13.21,26.9
57:50.6,20,26.675
57:50.6,49.2,26.7125
57:50.6,54.2,26.50833333
57:50.6,4.6,27
57:50.6,1,26.22083333
57:50.6,17.8,26.90833333
57:50.6,10.01,26.7
57:50.6,10.2,27.84583333
57:50.6,17.01,25.9125
57:50.6,4,26.8
57:50.6,13.8,27.44583333
57:50.6,13.63,25.35833333
57:50.6,21.01,25.55833333
57:50.6,12.6,26.08333333
57:50.6,22.2,24.725
57:50.6,4.02,25.175
57:50.6,7.01,25.5125
57:50.6,23.42,25.92083333
57:50.6,40.22,25.86666667
57:50.6,0.41,26.0375
57:50.6,0,25.925
57:50.6,0,25.98333333
57:50.6,0,27.52083333
57:50.6,5.02,26.67083333
57:50.6,5.83,25.54166667
57:50.6,70.2,25.55
57:50.6,3.01,26.27916667
57:50.6,19.63,26.82083333
57:50.6,46,26.52916667
57:50.6,64.61,26.11666667
57:50.6,12.02,25.39583333
57:50.6,74.02,25.79583333
57:50.6,0,26.61666667
57:50.6,6.82,26.32916667
57:50.6,8.4,27.2125
57:50.6,16.81,26.73333333
57:50.6,1.2,27.15
57:50.6,2,27.99166667
57:50.6,0,28.2375
57:50.6,0,28.2625
57:50.6,0,27.64166667
57:50.6,17.02,25.38333333
57:50.6,0,26.45833333
57:50.6,0,26.87916667
57:50.6,0,27.2625
57:50.6,0,27.46666667
57:50.6,0,26.95
57:50.6,2.61,25.92916667
57:50.6,0,26.61666667
57:50.6,0,26.975
57:50.6,0,26.70416667
57:50.6,0,26.49166667
57:50.6,0,26.18333333
57:50.6,0,27.45
57:50.6,0,26.725
57:50.6,0,27.5625
57:50.6,23.2,26.8375
57:50.6,6.01,27.19583333
57:50.6,0,27.68333333
57:50.6,25,28.0375
57:50.6,4.6,27.02083333
57:50.6,4.41,27.1
57:50.6,0.2,27.05416667
57:50.6,0.8,27.95416667
57:50.6,101.61,26.52083333
57:50.6,4.41,25.47916667
57:50.6,36.02,26.17083333
57:50.6,65.2,26.32916667
57:50.6,7.2,25.97083333
57:50.6,0,27.12916667
57:50.6,0,26.89583333
57:50.6,0,27.64166667
57:50.6,0,27.84583333
57:50.6,3.6,27.64166667
57:50.6,28.21,25.75416667
57:50.6,0,26.89166667
57:50.6,2.61,27.65416667
57:50.6,33.2,27.92083333
57:50.6,45.4,27
57:50.6,149.6,26.87083333
57:50.6,1.6,27.3125
57:50.6,33.4,26.3125
57:50.6,4.2,27.2875
57:50.6,5.6,26.825
57:50.6,1,26.75833333
57:50.6,0,27.375
57:50.6,23.2,26.62916667
57:50.6,1.4,26.78333333
57:50.6,0,27.37916667
57:50.6,0,28.23333333
57:50.6,0,28.5
57:50.6,1.6,28.1
57:50.6,20.81,26.36666667
57:50.6,1.4,27.4875
57:50.6,0.6,26.35416667
57:50.6,12.2,26.10416667
57:50.6,0,27.525
57:50.6,0.01,27.37083333
57:50.6,9.4,27.1625
57:50.6,17.4,25.92916667
57:50.6,21,27.00416667
57:50.6,0.8,26.42083333
57:50.6,0,27.3875
57:50.6,20.6,27.2375
57:50.6,22.6,26.85833333
57:50.6,4.61,25.55833333
57:50.6,14.6,25.95416667
57:50.6,0,26.65416667
57:50.6,0,27.35416667
57:50.6,0,28.0125
57:50.6,0,28.51666667
57:50.6,0,28.09583333
57:50.6,0.21,27.3625
57:50.6,0,27.825
57:50.6,31,26.52916667
57:50.6,0,27.44166667
57:50.6,0.4,27.95833333
57:50.6,2.4,27.57083333
57:50.6,0.2,28.0125
57:50.6,4.4,28.74285714
57:50.6,0.2,28.38333333
57:50.6,0,28.9875
57:50.6,61.8,27.21666667
57:50.6,15,26.63333333
57:50.6,0.43,26.02916667
57:50.6,0,27.70416667
57:50.6,44.61,25.30833333
57:50.6,0,27.3
57:50.6,0,28.5
57:50.6,36.8,28.4
57:50.6,1,28.42083333
57:50.6,5.6,28.04583333
57:50.6,0.41,27.64166667
57:50.6,6.01,28.175
57:50.6,17.4,27.4125
57:50.6,4.2,27.05416667
57:50.6,82.22,25.52083333
57:50.6,12.81,26.86666667
57:50.6,1.22,26.625
57:50.6,1.21,27.58333333
57:50.6,15.61,26.24166667
57:50.6,0,28
57:50.6,0,28.425
57:50.6,0,28.1375
57:50.6,0.4,28.775
57:50.6,83.41,26.77083333
57:50.6,0.61,26.35416667
57:50.6,0,27.56666667
57:50.6,0.2,27.7125
57:50.6,0.81,27.75416667
57:50.6,0,27.8625
57:50.6,0,29.5125
57:50.6,0,30.2
57:50.6,24.8,28.2375
57:50.6,18.4,26.8125
57:50.6,0,28
57:50.6,34.82,27.32083333
57:50.6,0,28.4375
57:50.6,0,28.1875
57:50.6,18.01,26.07083333
57:50.6,0.41,26.5875
57:50.6,0,28.48333333
57:50.6,0,28.45416667
57:50.6,0.4,26.9125
57:50.6,1,27.89583333
57:50.6,4.8,27.15
57:50.6,6.01,27.13333333
57:50.6,3,26.78333333
57:50.6,11.42,25.70833333
57:50.6,1.21,25.975
57:50.6,0,26.8625
57:50.6,0,27.83333333
57:50.6,2.6,26.4375
57:50.6,3.01,26.82083333
57:50.6,17.6,28.35
57:50.6,30,26.43333333
57:50.6,5.2,27.175
57:50.6,33.02,24.5875
57:50.6,0,27.05416667
57:50.6,35.43,25.2
57:50.6,1.8,26.31666667
57:50.6,0,27.52083333
57:50.6,0,27.775
57:50.6,0,27.37916667
57:50.6,0,27.45833333
57:50.6,12.4,26.0375
57:50.6,0.6,27.1875
57:50.6,5.4,27.57916667
57:50.6,4.2,27.40416667
57:50.6,19.01,27.17916667
57:50.6,11.21,26.37083333
57:50.6,1,27.48333333
57:50.6,19.21,25.45833333
57:50.6,2.8,26.35416667
57:50.6,0,26.7625
57:50.6,0,28.07083333
57:50.6,0,28.025
57:50.6,0,28.34166667
57:50.6,0,28.60833333
57:50.6,0,27.24166667
57:50.6,0.2,27.70833333
57:50.6,0,29.16666667
57:50.6,8.6,27.4875
57:50.6,0,28.22916667
57:50.6,0,28.55416667
57:50.6,0,28.4125
57:50.6,10,28.45
57:50.6,17.8,29.04166667
57:50.6,2.02,26.975
57:50.6,0,27.15416667
57:50.6,23.6,27.55
57:50.6,5.2,26.2625
57:50.6,32.8,26.20416667
57:50.6,0,26.43333333
57:50.6,0,26.22083333
57:50.6,0,28.52916667
57:50.6,0,28.49166667
57:50.6,26.6,26.9125
57:50.6,0,27.35833333
57:50.6,1.8,27.36666667
57:50.6,4.6,28
57:50.6,31.4,26.73333333
57:50.6,2.2,26.24166667
57:50.6,45.2,27.475
57:50.6,15.01,26.98636364
57:50.6,6.8,27.32083333
57:50.6,59.2,27.4875
57:50.6,3.41,26.65
57:50.6,2.4,27.25833333
57:50.6,3.01,26.525
57:50.6,89.01,26.4625
57:50.6,17.62,26.05
57:50.6,0.2,27.1
57:50.6,3.8,26.0125
57:50.6,61.61,26.35416667
57:50.6,23.62,24.64166667
57:50.6,22.4,27.17083333
57:50.6,2.21,26.5625
57:50.6,41.2,26.82083333
57:50.6,15,26.7
57:50.6,3.2,27.1875
57:50.6,34,27
57:50.6,39.61,25.4875
57:50.6,39.83,25.975
57:50.6,0.42,26.39583333
57:50.6,0.4,27.9625
57:50.6,2.8,27.09583333
57:50.6,16,26.5
57:50.6,7.8,25.8375
57:50.6,4.6,26.2125
57:50.6,0.2,26.85416667
57:50.6,0,28.02083333
57:50.6,4,27.27083333
57:50.6,0,27.39166667
57:50.6,74,25.88333333
57:50.6,18.01,24.03333333
57:50.6,0,26.4
57:50.6,0,28.09166667
57:50.6,5.83,26.55
57:50.6,3.21,26.9
57:50.6,3.41,26.83333333
57:50.6,0,27.33333333
57:50.6,0,28.27916667
57:50.6,0,27.3
57:50.6,14.41,26.55
57:50.6,0.8,26.7375
57:50.6,0,27.55833333
57:50.6,4.81,27.22083333
57:50.6,0.2,28.075
57:50.6,9.04,26.5125
57:50.6,2.61,28.42916667
57:50.6,37.83,26.90416667
57:50.6,11.6,26.35416667
57:50.6,0,26.96666667
57:50.6,10.4,26.39583333
57:50.6,14,26.79583333
57:50.6,13.42,26.14166667
57:50.6,0,28.64166667
57:50.6,0,28.2625
57:50.6,0,29.0125
57:50.6,0.6,26.8875
57:50.6,7.6,27.04583333
57:50.6,0.2,27.79166667
57:50.6,0,29.36666667
57:50.6,0,28.50416667
57:50.6,0,28.37916667
57:50.6,20.01,27.5125
57:50.6,17.41,26.85
57:50.6,1,28.0375
57:50.6,51.8,27.54166667
57:50.6,25.02,26.57916667
57:50.6,65.6,27.88333333
57:50.6,10.2,26.4875
57:50.6,33.6,26.5
57:50.6,0.6,27.65416667
57:50.6,23.01,27.325
57:50.6,0,27.19166667
57:50.6,3.4,27.94583333
57:50.6,30.23,25.75
57:50.6,9,27.30416667
57:50.6,4.61,27.79166667
57:50.6,6.8,27.12083333
57:50.6,0,27.8375
57:50.6,11.41,27.725
57:50.6,43.61,27.98333333
57:50.6,35.81,25.45833333
57:50.6,0.2,27.70833333
57:50.6,8.8,28.17083333
57:50.6,57.63,26.525
57:50.6,0.2,27.22083333
57:50.6,81.4,28.46666667
57:50.6,40.6,26.52916667
57:50.6,13.41,27.15833333
57:50.6,0.04,26.62916667
57:50.6,37.62,25.30833333
57:50.6,12.41,26.3375
57:50.6,0.2,27.19583333
57:50.6,3.61,25.99166667
57:50.6,0,26.65416667
57:50.6,38,26.77916667
57:50.6,7.81,25.89166667
57:50.6,0,27.8125
57:50.6,0,27.92916667
57:50.6,55.2,27.67916667
57:50.6,33.82,26.24583333
57:50.6,42.8,27.15833333
57:50.6,1.01,26.60833333
57:50.6,25.6,26.4625
57:50.6,1.8,26.90833333
57:50.6,7.2,26.70416667
57:50.6,0,26
57:50.6,22,25.66666667
57:50.6,12.21,25.75833333
57:50.6,1,26.425
57:50.6,3.4,26.75833333
57:50.6,19.44,25.725
57:50.6,8.4,26.3875
57:50.6,7,25.94583333
57:50.6,1.2,26.00416667
57:50.6,0,27.60833333
57:50.6,32.4,27.81666667
57:50.6,4.8,26.49583333
57:50.6,13.61,26.74583333
57:50.6,4.04,25.99583333
57:50.6,5.61,27.06666667
57:50.6,0,27.36666667
57:50.6,0,28.025
57:50.6,1,28.45
57:50.6,0.8,28.06666667
57:50.6,39.21,26.10833333
57:50.6,4.4,26.35416667
57:50.6,0.8,26.65833333
57:50.6,2.61,27.72083333
57:50.6,13.61,26.59583333
57:50.6,0.21,26.55
57:50.6,4.4,26.7875
57:50.6,0,27.02916667
57:50.6,0,28.32916667
57:50.6,0,27.9375
57:50.6,0,28.30833333
57:50.6,35.2,27.7
57:50.6,23,26.62916667
57:50.6,1.8,27.55833333
57:50.6,28.4,26.87083333
57:50.6,7,26.23333333
57:50.6,3.8,26.575
57:50.6,0.2,27.57916667
57:50.6,28.4,27.35
57:50.6,0,27.225
57:50.6,18.8,26.30416667
57:50.6,0,27.35
57:50.6,11.2,28.18333333
57:50.6,0,27.89583333
57:50.6,13.04,26.76666667
57:50.6,12.22,26.65416667
57:50.6,22,26.80416667
57:50.6,3.03,25.65416667
57:50.6,0.2,26.8375
57:50.6,7.6,26.96666667
57:50.6,46.61,26.2625
57:50.6,18.21,25.87083333
57:50.6,25.61,25.7375
57:50.6,15.02,25.90416667
57:50.6,3.8,25.625
57:50.6,0,26.77916667
57:50.6,4.41,27.2875
57:50.6,60.62,24.62916667
57:50.6,6.21,25.87083333
57:50.6,0,26.5125
57:50.6,0.2,25.67916667
57:50.6,0.2,26.6375
57:50.6,0,27.99166667
57:50.6,0,28.22083333
57:50.6,0,27.7375
57:50.6,6.41,26.33333333
57:50.6,0,27.70833333
57:50.6,0.2,27.6375
57:50.6,0,26.925
57:50.6,4.2,27.49583333
57:50.6,4.4,27.48333333
57:50.6,10.4,26.79583333
57:50.6,8.8,27.37083333
57:50.6,46.8,27.55416667
57:50.6,56.8,27.75416667
57:50.6,51.81,26.07916667
57:50.6,32.42,26.34583333
57:50.6,6.4,26.57083333
57:50.6,31.4,27.25833333
57:50.6,20.03,25.22083333
57:50.6,4.6,26.92916667
57:50.6,0.21,26.39166667
57:50.6,0.4,27.62916667
57:50.6,5.2,26.7826087
57:50.6,4,25.375
57:50.6,0,26.6875
57:50.6,0,27.53333333
57:50.6,5.8,26.95416667
57:50.6,1.42,26.26666667
57:50.6,2.6,26.025
57:50.6,0,27.38333333
57:50.6,1.8,26.99583333
57:50.6,1.41,27.35833333
57:50.6,13.4,28.2125
57:50.6,1.6,27.15416667
57:50.6,0,27.925
57:50.6,43.01,27.09166667
57:50.6,11.63,25.57916667
57:50.6,17.2,26.84583333
57:50.6,17.03,25.36666667
57:50.6,9.42,26.675
57:50.6,0.02,26.27916667
57:50.6,2.4,26.85416667
57:50.6,1.4,27.675
57:50.6,2.2,26.5875
57:50.6,0.2,28.02916667
57:50.6,45.4,28.825
57:50.6,27.22,25.09583333
57:50.6,0.8,27.21666667
57:50.6,9.4,28.24583333
57:50.6,55.42,26.54166667
57:50.6,8.21,26.20833333
57:50.6,2.81,26.40416667
57:50.6,21.61,26.25833333
57:50.6,1.62,26.24166667
57:50.6,0,27.7375
57:50.6,8.41,26.725
57:50.6,34,27.56666667
57:50.6,3.8,26.60416667
57:50.6,6.8,25.90416667
57:50.6,0,26.75833333
57:50.6,0,27.45
57:50.6,0,28.01666667
57:50.6,0.22,27.63333333
57:50.6,11.82,26.24166667
57:50.6,81.2,26.72083333
57:50.6,0,26.44583333
57:50.6,9.6,26.5875
57:50.6,19.81,25.83333333
57:50.6,12.41,24.85833333
57:50.6,33.4,25.325
57:50.6,5,26.475
57:50.6,23.8,25.95833333
57:50.6,7.8,26.93333333
57:50.6,0,27.46666667
57:50.6,0,27.91666667
57:50.6,2.41,26.72916667
57:50.6,5.2,27.44166667
57:50.6,0,27.54166667
57:50.6,9.2,27.7375
57:50.6,0,27.59583333
57:50.6,0,28.01666667
57:50.6,15.82,25.16666667
57:50.6,0,27.175
57:50.6,6,27.875
57:50.6,2.2,26.52083333
57:50.6,1.8,27.63333333
57:50.6,9.41,26.72083333
57:50.6,1.4,26.75
57:50.6,0.2,27.55833333
57:50.6,0,26.375
57:50.6,0,28.62083333
57:50.6,1.8,27.96666667
57:50.6,12.21,27.09166667
57:50.6,3.4,28.4875
57:50.6,17.4,27.925
57:50.6,41,26.99583333
57:50.6,0.2,26.79166667
57:50.6,0,27.55
57:50.6,3,28.575
57:50.6,18.2,26.69583333
57:50.6,19.6,27.22916667
57:50.6,10.82,26.1125
57:50.6,0,27.17916667
57:50.6,30.8,28.17083333
57:50.6,5.8,27.34583333
57:50.6,23.8,26.3625
57:50.6,8.8,27.34166667
57:50.6,0,28.63333333
57:50.6,34.8,27.5875
57:50.6,6.01,26.56666667
57:50.6,6.01,26.40833333
57:50.6,20.8,28.12916667
57:50.6,0,27.16666667
57:50.6,0,27.9375
57:50.6,0,27.68333333
57:50.6,0,27.98333333
57:50.6,0,29.375
57:50.6,0,28.55
57:50.6,2.81,26.62916667
57:50.6,0.81,26.70833333
57:50.6,0,27.4375
57:50.6,0,28.55416667
57:50.6,0,28.3375
57:50.6,0,28.9625
57:50.6,0,28.14583333
57:50.6,7.41,26.62916667
57:50.6,21.21,25.975
57:50.6,0,27.2625
57:50.6,36.4,27.925
57:50.6,7.02,25.71666667
57:50.6,12.4,26.975
57:50.6,0,26.85833333
57:50.6,72.83,26.11666667
57:50.6,1.8,27.74583333
57:50.6,81.21,26.45
57:50.6,0,27.9625
57:50.6,30.41,25.56666667
57:50.6,0,26.98695652
57:50.6,17.6,27.725
57:50.6,83.2,27.7625
57:50.6,2.8,27.75416667
57:50.6,31.6,26.55416667
57:50.6,1,27.46666667
57:50.6,59.8,25.31666667
57:50.6,0,27.0875
57:50.6,24.41,26.475
57:50.6,0.6,27.29583333
57:50.6,22.61,26.54166667
57:50.6,0,27.25
57:50.6,0,27.59583333
57:50.6,6,27.35833333
57:50.6,0.2,26.925
57:50.6,0,26.85
57:50.6,0,27.38333333
57:50.6,0.61,28.02083333
57:50.6,0,29.12916667
57:50.6,0,29.19583333
57:50.6,0,27.775
57:50.6,26,26.48333333
57:50.6,0.2,26.65
57:50.6,26.2,26.40833333
57:50.6,0,26.04583333
57:50.6,0.8,26.84583333
57:50.6,0,26.90416667
57:50.6,0.2,26.64166667
57:50.6,4,25.9625
57:50.6,5.81,24.96666667
57:50.6,23.8,25.67083333
57:50.6,0,26.52083333
57:50.6,1,27.30416667
57:50.6,8,25.50833333
57:50.6,0,27.37916667
57:50.6,0,27.95
57:50.6,0,27.87916667
57:50.6,0,28.40833333
57:50.6,29.8,26.5625
57:50.6,0,27.09583333
57:50.6,7.62,27.375
57:50.6,10.22,26.55833333
57:50.6,47.21,27.33333333
57:50.6,60.81,25.78333333
57:50.6,0,27.74166667
57:50.6,0,28.02083333
57:50.6,10.8,26.72916667
57:50.6,0.4,26.3125
57:50.6,0.41,27.62083333
57:50.6,6.2,28.075
57:50.6,24,27.85
57:50.6,27.4,26.5875
57:50.6,29.81,25.04583333
57:50.6,0.63,25.825
57:50.6,34.21,25.47916667
57:50.6,0,26.6125
57:50.6,0.2,27.99583333
57:50.6,2,27.25833333
57:50.6,0,27.94166667
57:50.6,0.83,27.28333333
57:50.6,22,26.93333333
57:50.6,7.62,25.70833333
57:50.6,23.03,26.1375
57:50.6,0,26.29166667
57:50.6,0,27.3625
57:50.6,0.4,27.47916667
57:50.6,0,27.99166667
57:50.6,0,28.3125
57:50.6,17.21,26.25833333
57:50.6,6.82,25.77916667
57:50.6,24,26.60833333
57:50.6,4.41,27.02916667
57:50.6,51.62,26.78333333
57:50.6,22.4,27.7625
57:50.6,0.6,27.78333333
57:50.6,5.01,26.3375
57:50.6,11.6,27.67916667
57:50.6,16,27.3625
57:50.6,9.8,25.55416667
57:50.6,0.2,27.16666667
57:50.6,25.41,27.20833333
57:50.6,0.82,25.80416667
57:50.6,3,26.87916667
57:50.6,0.21,25.9625
57:50.6,0,26.82083333
57:50.6,33.4,26.92916667
57:50.6,9.43,25.25
57:50.6,32.23,24.10833333
57:50.6,0.2,26.0375
57:50.6,0.4,27.39583333
57:50.6,24.2,26.07916667
57:50.6,6.4,26.1375
57:50.6,22.41,25.72083333
57:50.6,0,27.42083333
57:50.6,0.2,27.25833333
57:50.6,0,26.86666667
57:50.6,0.8,27.20833333
57:50.6,36.03,26.3875
57:50.6,0.2,26.46666667
57:50.6,3.6,26
57:50.6,0,27.80416667
57:50.6,1.83,25.60416667
57:50.6,6.8,25.60416667
57:50.6,1.8,26.1125
57:50.6,39.4,24.7625
57:50.6,0,25.94166667
57:50.6,0,27.89583333
57:50.6,4.4,26.69166667
57:50.6,0,27.82083333
57:50.6,0,28.4
57:50.6,28.41,26.6
57:50.6,37.22,25.975
57:50.6,32.6,27.05416667
57:50.6,19.81,25.77916667
57:50.6,1.8,27.2625
57:50.6,51.61,26.55833333
57:50.6,23.2,26.99166667
57:50.6,15.24,25.52916667
57:50.6,0.6,25.84583333
57:50.6,13.03,25.36666667
57:50.6,12.6,25.3875
57:50.6,7.42,24.90833333
57:50.6,1.6,25.94583333
57:50.6,3.6,27.35833333
57:50.6,1.4,27.08333333
57:50.6,8.8,26.65
57:50.6,15.81,26.02083333
57:50.6,27.02,25.06666667
57:50.6,4.41,26.13333333
57:50.6,1.2,26.39166667
57:50.6,5.02,26.40416667
57:50.6,2.61,27.32916667
57:50.6,22.21,26.35416667
57:50.6,25.01,27.00833333
57:50.6,6,27.30416667
57:50.6,5.01,26.47916667
57:50.6,2.2,26.35416667
57:50.6,0,27.45416667
57:50.6,9.2,27.0625
