date,rainfall (mm),temperature (C)
01:00.3,3.21,25.04166667
01:00.3,15.22,25.12083333
01:00.3,0,25.93333333
01:00.3,11.81,25.54583333
01:00.3,11.61,24.62083333
01:00.3,6.21,24.45
01:00.3,2.81,24.775
01:00.3,0,25.375
01:00.3,0.01,26.00416667
01:00.3,0.82,26.42916667
01:00.3,7.2,25.9625
01:00.3,0,24.77083333
01:00.3,0,25.30833333
01:00.3,0,25.225
01:00.3,1.41,24.72083333
01:00.3,0.63,25.325
01:00.3,5.82,24.33333333
01:00.3,9.83,21.82916667
01:00.3,20.82,22.99583333
01:00.3,0,24.975
01:00.3,0,26.0125
01:00.3,0.81,24.10833333
01:00.3,0,25.6
01:00.3,0.42,25.39166667
01:00.3,0,25.88333333
01:00.3,0,25.32083333
01:00.3,1.4,25.725
01:00.3,0,26.31666667
01:00.3,0,26.39166667
01:00.3,7.42,25.5875
01:00.3,2.02,24.975
01:00.3,0.42,24.18333333
01:00.3,2.42,24.8875
01:00.3,0.6,24.89583333
01:00.3,21.62,24.74166667
01:00.3,19.01,24.8125
01:00.3,12,24.2
01:00.3,0,26.36666667
01:00.3,6.2,26.22083333
01:00.3,33.6,25.1625
01:00.3,0.2,25.80833333
01:00.3,0.01,25.80833333
01:00.3,0,25.3125
01:00.3,0,26.05
01:00.3,0.2,25.60833333
01:00.3,4.4,23.69166667
01:00.3,0,25.10416667
01:00.3,0,26.23333333
01:00.3,4.6,25.50416667
01:00.3,0.2,24.76666667
01:00.3,0,24.45416667
01:00.3,0,24.06818182
01:00.3,0,24.6375
01:00.3,0,24.05416667
01:00.3,0,24.35833333
01:00.3,0,24.2875
01:00.3,0,25.48333333
01:00.3,41.6,24.9375
01:00.3,10,26.06666667
01:00.3,24.2,25.7875
01:00.3,3.2,24.65
01:00.3,11.4,23.875
01:00.3,0,25.05416667
01:00.3,0,25.675
01:00.3,0,25.69583333
01:00.3,0,26.10416667
01:00.3,0,25.33333333
01:00.3,0,25.7
01:00.3,0,26.22916667
01:00.3,0,25.74583333
01:00.3,0,25.95416667
01:00.3,0,26.39583333
01:00.3,0.21,25.11666667
01:00.3,1.4,25.40833333
01:00.3,0,25.67083333
01:00.3,0.6,26.475
01:00.3,1.2,25.32083333
01:00.3,9.8,24.9125
01:00.3,0,26.54166667
01:00.3,0,27.425
01:00.3,12.61,25.88333333
01:00.3,9.8,25.25416667
01:00.3,0,25.42173913
01:00.3,5.2,25.5375
01:00.3,12,24.475
01:00.3,0,26.22083333
01:00.3,0.6,26.11666667
01:00.3,33.2,25.66666667
01:00.3,21.6,26.0125
01:00.3,0,26.47916667
01:00.3,0.41,26.00833333
01:00.3,0,25.875
01:00.3,0,26.125
01:00.3,0,26.6875
01:00.3,1.6,27.24583333
01:00.3,2.8,25.5875
01:00.3,0,26.5875
01:00.3,0,26.3
01:00.3,9.22,23.94166667
01:00.3,0,25.725
01:00.3,15.21,25.9375
01:00.3,10.2,25.29166667
01:00.3,0.2,25.36666667
01:00.3,0,25.13333333
01:00.3,0,25.0875
01:00.3,0,25.475
01:00.3,0,25.85416667
01:00.3,0,25.77916667
01:00.3,0,25.09583333
01:00.3,0,25.175
01:00.3,0,25.33333333
01:00.3,0,25.29166667
01:00.3,0,25.39166667
01:00.3,0,26.19583333
01:00.3,0,26.4
01:00.3,4.4,25.81304348
01:00.3,0,26.54166667
01:00.3,5,25.80833333
01:00.3,8.8,25.6
01:00.3,2.6,26.09166667
01:00.3,0.4,26.85833333
01:00.3,9,26.75416667
01:00.3,1.8,25.8875
01:00.3,0,26.33333333
01:00.3,0,27.43809524
01:00.3,0.2,26.86818182
01:00.3,4.82,25.65416667
01:00.3,3.6,25.56666667
01:00.3,1.01,26.4125
01:00.3,2.4,26.09166667
01:00.3,0,26.66666667
01:00.3,0,26.65
01:00.3,0,26.53333333
01:00.3,13.4,26.23333333
01:00.3,45.2,26.13333333
01:00.3,42.2,25.65416667
01:00.3,8.8,25.88333333
01:00.3,0,26.55416667
01:00.3,0.2,26.52083333
01:00.3,28.6,25.61666667
01:00.3,1.8,26.35833333
01:00.3,24.4,25.54166667
01:00.3,0,26.10833333
01:00.3,0,26.25416667
01:00.3,29.4,26.57916667
01:00.3,0,26.12916667
01:00.3,0,25.88333333
01:00.3,3.6,26.3125
01:00.3,9.2,26.83333333
01:00.3,2.8,26.74583333
01:00.3,0,26.1
01:00.3,0,26.525
01:00.3,0,26.18333333
01:00.3,0,26.2625
01:00.3,40.4,27.22083333
01:00.3,0,26.4375
01:00.3,18.8,26.90833333
01:00.3,4.01,25.24166667
01:00.3,0.6,26.31666667
01:00.3,1.2,25.8375
01:00.3,0,25.39166667
01:00.3,0,26.19166667
01:00.3,0,25.44583333
01:00.3,4.8,24.725
01:00.3,0,24.74166667
01:00.3,0,25.8
01:00.3,0,25.525
01:00.3,5.6,25.77083333
01:00.3,0.4,26.75833333
01:00.3,14.4,25.67916667
01:00.3,0.2,25.175
01:00.3,0,25.35416667
01:00.3,0.4,25.5375
01:00.3,0,25.00416667
01:00.3,0,25.6375
01:00.3,0.8,26.2125
01:00.3,0,26.5375
01:00.3,0.6,26.84583333
01:00.3,0,26.12083333
01:00.3,5.8,24.25
01:00.3,10.6,25.40416667
01:00.3,11.2,25.96666667
01:00.3,13,24.81666667
01:00.3,8,25.03333333
01:00.3,0,24.93333333
01:00.3,0,25.52083333
01:00.3,4.6,25.44583333
01:00.3,4.6,25.05833333
01:00.3,0.21,24.16666667
01:00.3,0.2,24.675
01:00.3,0.6,24.98333333
01:00.3,2,25.975
01:00.3,13.6,26.575
01:00.3,1.6,26.025
01:00.3,10.6,25.6125
01:00.3,6.6,25.88333333
01:00.3,2.6,24.86666667
01:00.3,0,25.375
01:00.3,0,25.50833333
01:00.3,0,25.95833333
01:00.3,0,25.1625
01:00.3,0,24.82916667
01:00.3,0,25.20416667
01:00.3,0.81,25.20833333
01:00.3,0,25.78333333
01:00.3,0,26.05416667
01:00.3,0,26.92916667
01:00.3,0.6,26.55
01:00.3,0,26.61666667
01:00.3,0,27.1875
01:00.3,0,26.975
01:00.3,1.4,26.07916667
01:00.3,0,25.99583333
01:00.3,0,26.84166667
01:00.3,0,26.30833333
01:00.3,0,26.525
01:00.3,0,26.5625
01:00.3,0,26.4625
01:00.3,0.2,27.04166667
01:00.3,0.8,26.87916667
01:00.3,39,25.775
01:00.3,0.2,26.54583333
01:00.3,13.61,24.575
01:00.3,1,25.97916667
01:00.3,0,26.39166667
01:00.3,1.6,26.1
01:00.3,0,26.05
01:00.3,20.6,25.28333333
01:00.3,1.6,25.4
01:00.3,1,24.98333333
01:00.3,0,25.75
01:00.3,9.6,25.29583333
01:00.3,4.6,25.775
01:00.3,44.2,25.2
01:00.3,4,25.0125
01:00.3,5,24.21666667
01:00.3,5.4,24.71666667
01:00.3,22.2,24.75833333
01:00.3,7,24.72916667
01:00.3,3.2,25.07916667
01:00.3,5,25.31666667
01:00.3,1.2,25.07916667
01:00.3,15.6,25.675
01:00.3,15.4,25.62083333
01:00.3,1.8,25.7375
01:00.3,1,26.59583333
01:00.3,25.4,25.12083333
01:00.3,2.6,24.85833333
01:00.3,0,25.66666667
01:00.3,5.8,25.23333333
01:00.3,0,25.50416667
01:00.3,0,25.0875
01:00.3,0,24.55833333
01:00.3,0.2,25.54583333
01:00.3,3.2,26.24166667
01:00.3,6.4,26.18333333
01:00.3,16.61,24.94166667
01:00.3,0,25.66666667
01:00.3,5.2,25.29583333
01:00.3,0,23.4875
01:00.3,0,24.13333333
01:00.3,0,24.8625
01:00.3,0,25.71666667
01:00.3,14.6,24.4875
01:00.3,32.83,22.90416667
01:00.3,0,24.82916667
01:00.3,5.4,25.00416667
01:00.3,11,24.20833333
01:00.3,15.61,24.30833333
01:00.3,0.2,26.10833333
01:00.3,7.6,26.53333333
01:00.3,0,26.72083333
01:00.3,3.4,26.72083333
01:00.3,35.8,25.68333333
01:00.3,0.2,26.04166667
01:00.3,0.8,26.34583333
01:00.3,0.4,24.9
01:00.3,0,25.19583333
01:00.3,0,26.12916667
01:00.3,0,25.33333333
01:00.3,0,26.8375
01:00.3,0,27.25
01:00.3,1.2,26.45416667
01:00.3,0,25.74583333
01:00.3,0,25.72916667
01:00.3,0,26.75833333
01:00.3,1,25.775
01:00.3,0,25.58333333
01:00.3,0,25.72083333
01:00.3,0,26.7625
01:00.3,1.4,26.39166667
01:00.3,3.8,26.43333333
01:00.3,5.81,25.62083333
01:00.3,0.8,25.5125
01:00.3,2,25.09583333
01:00.3,0.81,25.25
01:00.3,0,25.4625
01:00.3,0.2,26.24583333
01:00.3,6.4,26.29583333
01:00.3,2.6,26.0125
01:00.3,13.01,25.575
01:00.3,5.42,25.2125
01:00.3,0,26.66666667
01:00.3,0,26.6625
01:00.3,3.41,25.11666667
01:00.3,0.4,25.14166667
01:00.3,10.2,25.54166667
01:00.3,1.8,25.97083333
01:00.3,0,26.5625
01:00.3,0,26.19166667
01:00.3,31,26.11666667
01:00.3,16,26.00416667
01:00.3,0,25.63333333
01:00.3,3,26.32777778
01:00.3,0,28.24705882
01:00.3,11,27.13333333
01:00.3,10.8,25.0875
01:00.3,0.8,24.975
01:00.3,0,25.70416667
01:00.3,0,25.9375
01:00.3,0,25.84166667
01:00.3,0,25.71666667
01:00.3,0,25.53333333
01:00.3,0,25.2
01:00.3,0,26.31666667
01:00.3,11.81,26.4875
01:00.3,2.2,26.12916667
01:00.3,0.2,25.71666667
01:00.3,1,25.79583333
01:00.3,3,25.95833333
01:00.3,0,25.74166667
01:00.3,0.6,26.25416667
01:00.3,10,25.61666667
01:00.3,1,25.38333333
01:00.3,0,25.07083333
01:00.3,0,25.81666667
01:00.3,0,26.24583333
01:00.3,0,25.8625
01:00.3,0,25.84166667
01:00.3,2.4,26.12916667
01:00.3,32.4,24.67916667
01:00.3,1.6,25.3125
01:00.3,0,26.54583333
01:00.3,3.8,26.425
01:00.3,0.81,25.57083333
01:00.3,11.8,24.10416667
01:00.3,0.2,25.77083333
01:00.3,5.2,26.34583333
01:00.3,0.2,26.27083333
01:00.3,0.4,26.55416667
01:00.3,0,26.91666667
01:00.3,10,24.54166667
01:00.3,2.01,25.31666667
01:00.3,3.62,24.775
01:00.3,0,25.9375
01:00.3,0,26.11666667
01:00.3,0,26.0125
01:00.3,0,26.38333333
01:00.3,0,25.625
01:00.3,0,26.70416667
01:00.3,0,26.4625
01:00.3,3.6,25.19583333
01:00.3,0.2,25.15416667
01:00.3,6,24.70833333
01:00.3,3.41,24.10416667
01:00.3,0,25.1125
01:00.3,0,24.8125
01:00.3,1.4,24.5875
01:00.3,41.4,24.03333333
01:00.3,8.2,24.70416667
01:00.3,7.2,25.44166667
01:00.3,35.8,25.36666667
01:00.3,0.2,25.0625
01:00.3,0.4,25.44583333
01:00.3,0.4,26.1
01:00.3,0,26.21666667
01:00.3,0.8,25.87083333
01:00.3,0,26.00833333
01:00.3,0,25.74583333
01:00.3,16.4,25.5
01:00.3,0,25.14583333
01:00.3,0,24.62916667
01:00.3,8.4,24.1875
01:00.3,25.41,23.95833333
01:00.3,0,24.90833333
01:00.3,2,24.29583333
01:00.3,15.4,24.74583333
01:00.3,4.4,25.2375
01:00.3,0,26.3125
01:00.3,0,26.25
01:00.3,6.6,25.02916667
01:00.3,0,25.42083333
01:00.3,1.2,26.34166667
01:00.3,1.6,25.30833333
01:00.3,1.8,26.24166667
01:00.3,6,26.07916667
01:00.3,0,26.625
01:00.3,0,26.28333333
01:00.3,0,25.99166667
01:00.3,0,25.42083333
01:00.3,23.4,23.94166667
01:00.3,0,25.25833333
01:00.3,5.2,25.525
01:00.3,6.4,24.92083333
01:00.3,0.4,25.02083333
01:00.3,1,25.80833333
01:00.3,5.6,24.9875
01:00.3,7.4,25.53333333
01:00.3,46.61,25.475
01:00.3,0.2,25.65833333
01:00.3,0,26.09583333
01:00.3,0.6,25.47083333
01:00.3,2.8,26.12916667
01:00.3,0,26.7125
01:00.3,0,25.9375
01:00.3,29.4,25.50833333
01:00.3,33,23.79583333
01:00.3,3.6,23.3125
01:00.3,0,25.24166667
01:00.3,0,26.39166667
01:00.3,0,26.50833333
01:00.3,8.4,24.73333333
01:00.3,0.8,25.34583333
01:00.3,5.8,24.41666667
01:00.3,25.8,24.95833333
01:00.3,8,24.7625
01:00.3,5.6,24.725
01:00.3,0,25.97391304
01:00.3,0,26.70833333
01:00.3,24.2,25.85
01:00.3,2.6,25.775
01:00.3,0,24.82083333
01:00.3,0,25.55416667
01:00.3,0,24.14583333
01:00.3,0,25.32916667
01:00.3,1,24.65
01:00.3,7.41,24.48333333
01:00.3,0,25.9125
01:00.3,0,26.55
01:00.3,31.4,26.01666667
01:00.3,67.2,26.17083333
01:00.3,8.8,26.22083333
01:00.3,7.41,25.41666667
01:00.3,26.01,25.27916667
01:00.3,6.6,25.32916667
01:00.3,12.8,25.20833333
01:00.3,23,25.3
01:00.3,1,26.025
01:00.3,17.6,25.40833333
01:00.3,0,26.825
01:00.3,22,27.02916667
01:00.3,18.61,24.86666667
01:00.3,5.6,24.9375
01:00.3,0,26.07916667
01:00.3,0,26.15
01:00.3,19.61,25.29166667
01:00.3,0.2,25.95833333
01:00.3,0,25.21666667
01:00.3,0.2,24.32083333
01:00.3,2,25.1375
01:00.3,2.2,25.82916667
01:00.3,0.4,25.1125
01:00.3,4.8,26.04583333
01:00.3,2.4,25.55833333
01:00.3,1.8,24.3375
01:00.3,2.2,25.325
01:00.3,0.21,25.50416667
01:00.3,0,25.77916667
01:00.3,0,25.2625
01:00.3,0,25.33333333
01:00.3,0,25.38333333
01:00.3,0,25.49583333
01:00.3,0,26.14583333
01:00.3,0,27.4375
01:00.3,8.6,26.36666667
01:00.3,80.6,25.65833333
01:00.3,0,26.3875
01:00.3,0,27.62083333
01:00.3,0.4,26.60833333
01:00.3,37.8,25.9
01:00.3,104.4,25.17916667
01:00.3,0,25.39166667
01:00.3,5.2,24.275
01:00.3,27.8,24.48333333
01:00.3,42,25.80833333
01:00.3,10.81,23.93333333
01:00.3,0,25.6125
01:00.3,0,26.74166667
01:00.3,0.2,26.9625
01:00.3,0,26.35416667
01:00.3,2.4,26.05
01:00.3,0.4,26.5875
01:00.3,0.2,27.22083333
01:00.3,4,26.72083333
01:00.3,46.22,25.075
01:00.3,0.2,25.8375
01:00.3,0,26.58333333
01:00.3,0.6,25.75833333
01:00.3,0,25.88333333
01:00.3,39.4,25.57083333
01:00.3,4.8,25.00416667
01:00.3,0,26.9875
01:00.3,1.8,25.83333333
01:00.3,0,25.30833333
01:00.3,24.2,26.19583333
01:00.3,40,26.275
01:00.3,0,25.97083333
01:00.3,0,26.8
01:00.3,0.4,26.14166667
01:00.3,0,26.89583333
01:00.3,14.4,25.9125
01:00.3,0.2,26.15
01:00.3,3.4,25.15416667
