date,rainfall (mm),temperature ©
41:37.7,9.63,25.49166667
41:37.7,10.64,26.37916667
41:37.7,18.43,25.76666667
41:37.7,100.82,24.80833333
41:37.7,47.2,22.9875
41:37.7,17.43,25.425
41:37.7,33.44,26.14166667
41:37.7,3.8,27.00833333
41:37.7,9.22,26.75416667
41:37.7,4.63,26.41666667
41:37.7,35.81,24.1
41:37.7,23.6,24.6125
41:37.7,8.85,25.25833333
41:37.7,12.01,25.4875
41:37.7,0.02,25.04166667
41:37.7,0.41,24.28333333
41:37.7,0,25.1375
41:37.7,0,26.1625
41:37.7,0,26.03333333
41:37.7,0,25.37916667
41:37.7,0.2,24.83333333
41:37.7,0,26.00833333
41:37.7,13.82,24.57916667
41:37.7,17.42,23.6125
41:37.7,1,24.825
41:37.7,0.02,25.86666667
41:37.7,0.2,25.00833333
41:37.7,24.4,25.52083333
41:37.7,0,26.87916667
41:37.7,1.61,25.99166667
41:37.7,0,26.5875
41:37.7,9.01,25.29583333
41:37.7,2,26.20833333
41:37.7,3.2,26.18333333
41:37.7,1.4,25.69166667
41:37.7,0,25.13333333
41:37.7,2,25.49583333
41:37.7,1.4,26.62083333
41:37.7,0,26.425
41:37.7,0,26.4875
41:37.7,0,26.0625
41:37.7,0,26.72916667
41:37.7,0,26.75833333
41:37.7,0.22,26.36666667
41:37.7,0,26.0625
41:37.7,0.6,25.92916667
41:37.7,0,25.3625
41:37.7,0,25.36666667
41:37.7,0,25.075
41:37.7,0,25.06666667
41:37.7,0,26.68333333
41:37.7,0,26.75833333
41:37.7,0,26.01666667
41:37.7,0,25.70416667
41:37.7,0,25.2875
41:37.7,0,25.075
41:37.7,0,25.55833333
41:37.7,0,26.05
41:37.7,0,26.17916667
41:37.7,0,26.47916667
41:37.7,0,26.5875
41:37.7,0,26.275
41:37.7,0,26.85
41:37.7,2.42,27.13333333
41:37.7,0,27.75833333
41:37.7,0,27.7875
41:37.7,0,26.9875
41:37.7,0,27.0125
41:37.7,0,26.96666667
41:37.7,1.63,26.23333333
41:37.7,15.02,25.4125
41:37.7,13.61,26
41:37.7,3.51,26.84166667
41:37.7,0.03,26.6125
41:37.7,0,27.01666667
41:37.7,0,26.41666667
41:37.7,0,26.1875
41:37.7,0,27.05833333
41:37.7,0,26.88333333
41:37.7,0,27.28333333
41:37.7,0,27.27916667
41:37.7,0,27.66666667
41:37.7,18.6,27.9
41:37.7,36.64,26.875
41:37.7,13.06,26.4625
41:37.7,0.04,26.7875
41:37.7,0.03,27.2
41:37.7,0,27.6
41:37.7,4.2,27.05
41:37.7,26.4,26.52916667
41:37.7,49.21,26.67916667
41:37.7,19.41,26.12916667
41:37.7,0,27.5875
41:37.7,0,27.575
41:37.7,6.81,27.30833333
41:37.7,4.02,26.91666667
41:37.7,0.4,27.95
41:37.7,0.04,27.6375
41:37.7,0,27.975
41:37.7,0,27.94583333
41:37.7,0,27.8625
41:37.7,8,27.675
41:37.7,9.01,26.50416667
41:37.7,0.02,26.78333333
41:37.7,31.42,26.075
41:37.7,0,26.87916667
41:37.7,0,27.60833333
41:37.7,0,27.48333333
41:37.7,0,27.25833333
41:37.7,8.6,26.62916667
41:37.7,0,27.6
41:37.7,0,27.93333333
41:37.7,0,27.875
41:37.7,0.2,27.29166667
41:37.7,0.01,26.83333333
41:37.7,0,27.20416667
41:37.7,0,27.625
41:37.7,0,27.37916667
41:37.7,0,27.8625
41:37.7,0.42,26.87083333
41:37.7,0.04,27.4625
41:37.7,0,27.725
41:37.7,7.6,28.13333333
41:37.7,20.2,27.74583333
41:37.7,6.23,26.79166667
41:37.7,4.42,26.87083333
41:37.7,1.4,27.37916667
41:37.7,0,27.38333333
41:37.7,0,27.5375
41:37.7,0,27.85833333
41:37.7,0,28.26666667
41:37.7,20.42,28.075
41:37.7,0.4,27.76666667
41:37.7,0,28.17916667
41:37.7,0,28.79583333
41:37.7,0,28.59583333
41:37.7,0,28.63333333
41:37.7,0,27.44166667
41:37.7,1.21,27.5
41:37.7,6.82,27.04166667
41:37.7,0.03,27.6875
41:37.7,0.21,27.64583333
41:37.7,0.01,27.55
41:37.7,2,28.2375
41:37.7,25.03,26.07083333
41:37.7,0.61,27.37083333
41:37.7,0,27.5875
41:37.7,0,27.89583333
41:37.7,0,27.825
41:37.7,0.21,27.01666667
41:37.7,0,27.65833333
41:37.7,0,28.175
41:37.7,0,28.5375
41:37.7,0,28.37083333
41:37.7,0,28.64166667
41:37.7,1.21,28.17083333
41:37.7,0,29.00833333
41:37.7,3.41,27.47083333
41:37.7,0,27.775
41:37.7,0,28.3
41:37.7,8.02,27.29166667
41:37.7,29.02,26.02916667
41:37.7,0.25,25.8625
41:37.7,0,27.55416667
41:37.7,0,27.82916667
41:37.7,0,27.68333333
41:37.7,0,27.7625
41:37.7,0.02,26.97916667
41:37.7,0,27.2625
41:37.7,0.2,27.65833333
41:37.7,26.2,26.24166667
41:37.7,0,26.79583333
41:37.7,0,27.80833333
41:37.7,0,27.77916667
41:37.7,14.81,27.45
41:37.7,10.6,26.75
41:37.7,0.4,28.08333333
41:37.7,0,27.44583333
41:37.7,0,27.975
41:37.7,2.8,26.94583333
41:37.7,6.42,26.08333333
41:37.7,0,26.95416667
41:37.7,0.2,27.23333333
41:37.7,0,27.83333333
41:37.7,0,27.30416667
41:37.7,0.2,27.90833333
41:37.7,0,27.7
41:37.7,17.2,27.25416667
41:37.7,1.8,26.40416667
41:37.7,0.2,27.29166667
41:37.7,0,26.95416667
41:37.7,4.8,26.2625
41:37.7,8.24,26.72083333
41:37.7,17.6,27.31666667
41:37.7,63.01,25.4375
41:37.7,0.2,25.425
41:37.7,0,26.8375
41:37.7,0,27.70416667
41:37.7,0,28.44583333
41:37.7,0,27.82083333
41:37.7,0,28.76666667
41:37.7,0,28.42916667
41:37.7,1,28.72916667
41:37.7,0.4,27.66666667
41:37.7,17.4,26.92916667
41:37.7,22.6,26.90416667
41:37.7,0,28.4375
41:37.7,0,28.55
41:37.7,8.22,27.58333333
41:37.7,0,28.85
41:37.7,9.21,26.46086957
41:37.7,73.6,26.6
41:37.7,0,27.575
41:37.7,18.63,26.24583333
41:37.7,41.6,26.35416667
41:37.7,0,27.29583333
41:37.7,23.61,26.2625
41:37.7,12,27.5125
41:37.7,28.8,27.29166667
41:37.7,0,27.63333333
41:37.7,0.2,27.85416667
41:37.7,0,27.43333333
41:37.7,0.2,27.80833333
41:37.7,0,28.30833333
41:37.7,0,27.625
41:37.7,0,27.65
41:37.7,0,27.4375
41:37.7,0.6,27.2
41:37.7,5.8,27.29166667
41:37.7,18.01,26.1125
41:37.7,9.62,25.8875
41:37.7,2.03,26.42916667
41:37.7,4.21,25.84166667
41:37.7,0,27.17916667
41:37.7,0.23,26.71666667
41:37.7,0.02,27.14166667
41:37.7,0,27.12916667
41:37.7,0.02,26.85833333
41:37.7,0,27.10416667
41:37.7,0,27.40833333
41:37.7,10.62,26.63333333
41:37.7,13.67,25.87916667
41:37.7,4.62,26.5125
