date,rainfall (mm),temperature ©
47:58.7,0,27.07083333
47:58.7,0.02,26.75416667
47:58.7,6,26.225
47:58.7,14.24,23.84583333
47:58.7,0,25.45416667
47:58.7,0,27.4875
47:58.7,0,26.35833333
47:58.7,0.02,26.2875
47:58.7,0,28.11666667
47:58.7,0,27.19166667
47:58.7,0,27.05416667
47:58.7,0,27.0875
47:58.7,0,27.37083333
47:58.7,0,27.09583333
47:58.7,0,26.94166667
47:58.7,0,27.05833333
47:58.7,0,27.79583333
47:58.7,0.01,27.9125
47:58.7,0,27.49583333
47:58.7,0,26.96666667
47:58.7,0,27.14583333
47:58.7,0,27.04583333
47:58.7,33.2,26.9375
47:58.7,6.81,26.475
47:58.7,0,27.54583333
47:58.7,0,27.28333333
47:58.7,0,27.57916667
47:58.7,0,27.46666667
47:58.7,9.21,26.58333333
47:58.7,0,26.7125
47:58.7,0,27.34166667
47:58.7,0.02,27.47916667
47:58.7,0,28.25833333
47:58.7,0,28.325
47:58.7,0,28.07916667
47:58.7,0,27.925
47:58.7,0,27.47916667
47:58.7,0,28.05833333
47:58.7,0.02,28.35
47:58.7,7.8,27.39166667
47:58.7,0,27.70416667
47:58.7,38.6,27.38333333
47:58.7,7.83,27.59583333
47:58.7,0,27.88333333
47:58.7,1.2,27.875
47:58.7,0,27.97083333
47:58.7,0,27.62083333
47:58.7,0,27.4125
47:58.7,0,27.94166667
47:58.7,0,27.55833333
47:58.7,0,27.50833333
47:58.7,0,27.8625
47:58.7,0,28.42083333
47:58.7,0,28.00416667
47:58.7,0,28.075
47:58.7,0,28.28333333
47:58.7,1.42,28.14583333
47:58.7,0,28.2125
47:58.7,0,28.93333333
47:58.7,0,27.87083333
47:58.7,0,28.52083333
47:58.7,0,28.425
47:58.7,0,28.625
47:58.7,3.4,28.79583333
47:58.7,0.81,28.99583333
47:58.7,45.61,28.01666667
47:58.7,6.45,25.00833333
47:58.7,0,27.44583333
47:58.7,0,28.525
47:58.7,0,28.65833333
47:58.7,21,27.95416667
47:58.7,0.61,26.74166667
47:58.7,12.42,26.59583333
47:58.7,0.03,27.66666667
47:58.7,0.01,28.68333333
47:58.7,95.64,26.1625
47:58.7,0,27.0625
47:58.7,1.21,27.45833333
47:58.7,3.21,27.32916667
47:58.7,0.61,27.6125
47:58.7,0.01,27.68333333
47:58.7,0,28.85416667
47:58.7,0.02,27.6875
47:58.7,3.66,26.4625
47:58.7,0.42,27.11666667
47:58.7,15.21,27.8125
47:58.7,11.03,25.84583333
47:58.7,0,27.3625
47:58.7,11.83,26.2
47:58.7,0,28.48333333
47:58.7,0,28.8625
47:58.7,0,29.01666667
47:58.7,0,29.2125
47:58.7,0,28.70416667
47:58.7,7.83,27.825
47:58.7,1.25,26.73333333
47:58.7,22.61,27.19583333
47:58.7,8.6,27.84583333
47:58.7,1.62,27.175
47:58.7,17.02,27.1125
47:58.7,0,28.35416667
47:58.7,0,28.4625
47:58.7,0,28.10833333
47:58.7,0.02,27.65416667
47:58.7,0,28.15
47:58.7,8.62,27.0625
47:58.7,0,26.43333333
47:58.7,0,26.9125
47:58.7,0,27.9375
47:58.7,27,27.00416667
47:58.7,12.81,27.39583333
47:58.7,0,27.44166667
47:58.7,44.01,26.63333333
47:58.7,0,27.79583333
47:58.7,0.64,27.5125
47:58.7,27,27.7625
47:58.7,0,27.525
47:58.7,1.6,26.84583333
47:58.7,38.41,26.25833333
47:58.7,0,26.89583333
47:58.7,0.23,27.5125
47:58.7,4.21,27.8375
47:58.7,28.61,27.07916667
47:58.7,2.42,27.39166667
47:58.7,20.83,26.34583333
47:58.7,45.21,26.575
47:58.7,0.01,26.97083333
47:58.7,0.01,28.25
47:58.7,8.82,26.83333333
47:58.7,13.41,27.31666667
47:58.7,0,28.62916667
47:58.7,0,28.57916667
47:58.7,12.4,28.3625
47:58.7,0.2,28.5125
47:58.7,4.4,28.12083333
47:58.7,4.4,28.10833333
47:58.7,0,28.3
47:58.7,2.81,27.40416667
47:58.7,17.67,25.7125
47:58.7,2.83,26.3375
47:58.7,0.21,28.00416667
47:58.7,3.42,26.12916667
47:58.7,0.21,27.325
47:58.7,0,28.1875
47:58.7,0,28.50416667
47:58.7,0,28.48333333
47:58.7,16.41,28.79583333
47:58.7,2.42,26.825
47:58.7,0,28.43333333
47:58.7,6.81,28.36666667
47:58.7,0,29.1125
47:58.7,0,29.04166667
47:58.7,0,28.73333333
47:58.7,0.41,28.825
47:58.7,0.22,28.54166667
47:58.7,0.2,29.2875
47:58.7,11.02,27.95416667
47:58.7,0,28.95416667
47:58.7,0,28.16666667
47:58.7,22.21,27.62083333
47:58.7,25.43,26.6125
47:58.7,2.8,26.9125
47:58.7,0,27.44166667
47:58.7,0,27.3625
47:58.7,0,27.70416667
47:58.7,0,28.075
47:58.7,2.22,27.8875
47:58.7,0.01,27.10416667
47:58.7,0,28.675
47:58.7,1.61,27.775
47:58.7,0,28.14583333
47:58.7,22.44,25.21666667
47:58.7,0,27.52916667
47:58.7,0,28.05416667
47:58.7,0,27.3875
