date,rainfall (mm),temperature ©
53:40.4,9.2,26.15416667
53:40.4,96,23.825
53:40.4,170.2,22.625
53:40.4,28,22.125
53:40.4,0,24.22083333
53:40.4,0,26.14166667
53:40.4,1.42,25.2125
53:40.4,32.02,23.78333333
53:40.4,8.61,25.7
53:40.4,4.2,25.08333333
53:40.4,78.42,23.60416667
53:40.4,11.6,24.29583333
53:40.4,47.02,23.68333333
53:40.4,3.44,23.62916667
53:40.4,0,25.10833333
53:40.4,0,26.34166667
53:40.4,0,26.4375
53:40.4,0,26.36315789
53:40.4,0,25.47083333
53:40.4,0,25.30833333
53:40.4,0,25.30833333
53:40.4,0.8,25.57083333
53:40.4,0,25.8875
53:40.4,0.2,25.27083333
53:40.4,0,26.175
53:40.4,0,26.84166667
53:40.4,0,26.53333333
53:40.4,0,26.07083333
53:40.4,0,26.2875
53:40.4,0,26.16666667
53:40.4,0,26.13333333
53:40.4,0,25.625
53:40.4,0,25.9375
53:40.4,0,26.24583333
53:40.4,0,26.27083333
53:40.4,0,25.94166667
53:40.4,0,26.325
53:40.4,0,27.175
53:40.4,0,27.11666667
53:40.4,0,26.81666667
53:40.4,0,27.01666667
53:40.4,0,27.04166667
53:40.4,0,27.1125
53:40.4,0,27.00416667
53:40.4,0,27.15
53:40.4,0,26.6625
53:40.4,0,26.46666667
53:40.4,0,26.275
53:40.4,0,26.39583333
53:40.4,0,26.07083333
53:40.4,0,26.10833333
53:40.4,0,26.45
53:40.4,0,26.45833333
53:40.4,0,26.32916667
53:40.4,0,26.35416667
53:40.4,0,26.4375
53:40.4,0,27.6125
53:40.4,0,28.675
53:40.4,0,28.4125
53:40.4,12,27.3875
53:40.4,0,27.8125
53:40.4,0,27.625
53:40.4,0,27.8375
53:40.4,0,28.025
53:40.4,0,28.48333333
53:40.4,0,28.27083333
53:40.4,40.6,25.62916667
53:40.4,0.2,26.7875
53:40.4,0,27.325
53:40.4,0,27.1125
53:40.4,0,26.98333333
53:40.4,2.01,25.675
53:40.4,0.2,26.8
53:40.4,0,27.6625
53:40.4,0,27.8125
53:40.4,0.2,27.52083333
53:40.4,51.6,26.58333333
53:40.4,0,27.07916667
53:40.4,0,28.25416667
53:40.4,2.8,27.65
53:40.4,0,27.875
53:40.4,7.6,27.69166667
53:40.4,3.4,26.4875
53:40.4,48.82,24.62916667
53:40.4,1.43,25.12916667
53:40.4,0,27.55416667
53:40.4,6.4,25.7
53:40.4,1,26.64166667
53:40.4,35.6,25.26666667
53:40.4,0.41,27.50416667
53:40.4,31,27.9375
53:40.4,0,29.09166667
53:40.4,0,28.36666667
53:40.4,16,27.9875
53:40.4,18.8,27.225
53:40.4,9.62,25.30416667
53:40.4,0,26.76666667
53:40.4,3.6,27.35416667
53:40.4,0,27.09583333
53:40.4,0,28.225
53:40.4,0,28.41666667
53:40.4,12.21,27.82916667
53:40.4,31.6,26.95416667
53:40.4,0.2,26.95416667
53:40.4,20.6,27.1
53:40.4,0.4,26.27916667
53:40.4,10.81,26.56666667
53:40.4,27.01,24.55416667
53:40.4,0,27.125
53:40.4,0,27.53333333
53:40.4,0,27.74583333
53:40.4,0,27.65
53:40.4,0.03,26.46666667
53:40.4,0,27.15
53:40.4,5.63,25.77916667
53:40.4,8.4,26.94583333
53:40.4,57,26.25833333
53:40.4,82.2,26.33333333
53:40.4,0,26.74166667
53:40.4,38,26.69583333
53:40.4,47.8,26.23333333
53:40.4,0,27.12916667
53:40.4,0,28.6
53:40.4,0,27.98333333
53:40.4,0,28.21666667
53:40.4,0.4,26.53333333
53:40.4,5.61,26.00416667
53:40.4,0,26.87916667
53:40.4,0.6,27.85416667
53:40.4,0.2,27.19166667
53:40.4,0,28.51666667
53:40.4,0,28.3875
53:40.4,111.8,26.24166667
53:40.4,0.8,27.3875
53:40.4,1.6,27.22916667
53:40.4,0,27.65
53:40.4,0.2,27.53333333
53:40.4,7,26.2125
53:40.4,23.41,26.29583333
53:40.4,1.61,26.87916667
53:40.4,0,27.5875
53:40.4,0,27.05416667
53:40.4,0,27.40833333
53:40.4,0,28.12083333
53:40.4,0,28.82916667
53:40.4,0,28.69583333
53:40.4,0,28.18333333
53:40.4,1.41,27.40416667
53:40.4,48.4,27.05416667
53:40.4,4,26.43333333
53:40.4,0,27.88333333
53:40.4,0.61,27.26666667
53:40.4,0,27.6125
53:40.4,4.6,27.54166667
53:40.4,4.41,27.725
53:40.4,8.41,27.41666667
53:40.4,0.2,27.5375
53:40.4,0,28.4125
53:40.4,2.61,26.925
53:40.4,0.02,27.79166667
53:40.4,1.6,26.97083333
53:40.4,6.82,26.68333333
53:40.4,0,27.91666667
53:40.4,0,27.59583333
53:40.4,0.2,27.34583333
53:40.4,1.8,27.85416667
53:40.4,2.81,25.91666667
53:40.4,0,26.825
53:40.4,1.2,26.81666667
53:40.4,0.42,25.09583333
53:40.4,51.6,26.44583333
53:40.4,0.41,26
53:40.4,0.2,27.25416667
53:40.4,11.6,26.9
53:40.4,5,27.325
53:40.4,0.4,28
53:40.4,2,26.8125
53:40.4,0.22,26.4
53:40.4,0.02,26.5375
53:40.4,0,27.9375
53:40.4,0,26.875
53:40.4,0,27.13333333
53:40.4,0,27.80416667
53:40.4,0,27.81666667
53:40.4,0,27.30833333
53:40.4,0,26.00833333
53:40.4,11.61,25.94583333
53:40.4,3.83,26.48333333
53:40.4,0,27.35833333
53:40.4,3.8,27.65
53:40.4,40,26.67916667
53:40.4,2.03,25.16666667
53:40.4,31.4,25.39583333
53:40.4,75.4,25.52083333
53:40.4,4.22,24.22916667
53:40.4,0.47,25.27083333
53:40.4,0,27.5625
53:40.4,0,27.575
53:40.4,0,28.18333333
53:40.4,0.42,26.975
53:40.4,0,27.21666667
53:40.4,0,27.75833333
53:40.4,0,28.14583333
53:40.4,0,28.59166667
53:40.4,70.21,25.81666667
53:40.4,0,27.65416667
53:40.4,0,28.31666667
53:40.4,3.62,27.71666667
53:40.4,0.21,28.04583333
53:40.4,0,28.25833333
53:40.4,0,28.14583333
53:40.4,0,27.10416667
53:40.4,0,27.25
53:40.4,2.6,26.79583333
53:40.4,0,27.675
53:40.4,0,28.425
53:40.4,2.6,26.825
53:40.4,0,28.21666667
53:40.4,17.64,25.575
53:40.4,8.2,26.97083333
53:40.4,24.4,25.74583333
53:40.4,0.22,27.4375
53:40.4,0.2,27.71666667
