date,rainfall (mm),temperature ©
56:37.6,11.42,25.3875
56:37.6,2.88,27.0625
56:37.6,10.08,25.7375
56:37.6,4.88,26.66666667
56:37.6,22.63,25.07083333
56:37.6,25.24,26.20416667
56:37.6,26.67,26.90833333
56:37.6,2.42,27.32916667
56:37.6,0,27.1125
56:37.6,0.21,26.98333333
56:37.6,5.82,25.79166667
56:37.6,1.01,25.8
56:37.6,0.82,26.27916667
56:37.6,5.66,25.375
56:37.6,0.01,25.45416667
56:37.6,0,25.33333333
56:37.6,0,25.89166667
56:37.6,0,26.23333333
56:37.6,0,25.80833333
56:37.6,0,25.4625
56:37.6,0,25.52083333
56:37.6,0,25.75
56:37.6,0,25.86666667
56:37.6,0.61,26.025
56:37.6,0.4,25.70833333
56:37.6,0,26.1
56:37.6,0,25.6375
56:37.6,3.85,25.96666667
56:37.6,3.61,26.74583333
56:37.6,0,25.86666667
56:37.6,0,26.2875
56:37.6,0.82,25.9875
56:37.6,0.21,26.79166667
56:37.6,0,26.55416667
56:37.6,0,25.84166667
56:37.6,0,25.42916667
56:37.6,0.41,26.05833333
56:37.6,3.41,26.725
56:37.6,0,26.2875
56:37.6,0,26.37083333
56:37.6,0,26.28333333
56:37.6,0,26.57083333
56:37.6,0,26.5375
56:37.6,0,27.1125
56:37.6,0,26.77083333
56:37.6,0,26.37083333
56:37.6,0,25.8625
56:37.6,0,25.92083333
56:37.6,0,25.5875
56:37.6,0,25.65
56:37.6,0,26.88333333
56:37.6,0,26.7875
56:37.6,0,26.55833333
56:37.6,0,26.11666667
56:37.6,0,25.6
56:37.6,0,25.62083333
56:37.6,0,26.24166667
56:37.6,0,27.05416667
56:37.6,0,26.47916667
56:37.6,0,26.90416667
56:37.6,0,27.2125
56:37.6,0,27.60833333
56:37.6,0,27.85833333
56:37.6,0.41,28.22916667
56:37.6,0,28.33333333
56:37.6,0.02,28.12916667
56:37.6,0,27.51666667
56:37.6,0,27.0875
56:37.6,0,27.35
56:37.6,0.6,27.07083333
56:37.6,0,27.46666667
56:37.6,0.01,27.70833333
56:37.6,0,27.37916667
56:37.6,0,27.375
56:37.6,0,27.64583333
56:37.6,0,26.9
56:37.6,0,26.8625
56:37.6,0,26.6875
56:37.6,0,27.17916667
56:37.6,0,27.40416667
56:37.6,0,28.43333333
56:37.6,0,28.70416667
56:37.6,3.43,28.57916667
56:37.6,13.43,28.16666667
56:37.6,0.01,28.1625
56:37.6,5.61,28.325
56:37.6,0.6,27.75833333
56:37.6,0,27.85
56:37.6,0,28.26666667
56:37.6,0,28.10833333
56:37.6,15.82,27.725
56:37.6,22.2,28.43333333
56:37.6,0.02,27.925
56:37.6,0,28.3375
56:37.6,0.01,28.56666667
56:37.6,20.46,27.77916667
56:37.6,16.61,28.10416667
56:37.6,5.24,27.63333333
56:37.6,0,27.49583333
56:37.6,0,27.625
56:37.6,0,28.4
56:37.6,1.41,28.41666667
56:37.6,6.02,27.92916667
56:37.6,0,28.07083333
56:37.6,0,27.975
56:37.6,0,28.24583333
56:37.6,0,28.9125
56:37.6,0,28.49166667
56:37.6,0,29.04583333
56:37.6,0,28.39166667
56:37.6,0,28.57083333
56:37.6,0,29.05416667
56:37.6,6.24,28.0125
56:37.6,36.2,27.45833333
56:37.6,5.04,26.9375
56:37.6,1.03,27.39583333
56:37.6,25.4,28.43333333
56:37.6,0.42,27.72916667
56:37.6,0,27.76666667
56:37.6,0,27.35416667
56:37.6,0,28.625
56:37.6,0,28.4375
56:37.6,0,28.97916667
56:37.6,6.2,28.6625
56:37.6,0.04,28.40833333
56:37.6,9.03,27.19166667
56:37.6,21.46,26.78333333
56:37.6,0.6,27.84583333
56:37.6,0.42,28.05833333
56:37.6,0,28.80416667
56:37.6,0,29.1875
56:37.6,17.6,29.38333333
56:37.6,5.63,28.1625
56:37.6,0,28.6875
56:37.6,0,29.4125
56:37.6,4.01,29.475
56:37.6,0.02,29.09166667
56:37.6,0,28.8875
56:37.6,26.21,28.5625
56:37.6,25.43,26.74166667
