date,rainfall (mm),temperature (C)
01:40.9,6.02,26.99166667
01:40.9,22.42,26.40833333
01:40.9,0,26.9625
01:40.9,28.02,26.65416667
01:40.9,3.64,26.09166667
01:40.9,32.42,25.54166667
01:40.9,0.21,26.07916667
01:40.9,11.4,26.80833333
01:40.9,0.83,26.6875
01:40.9,0,27.17916667
01:40.9,0.01,27.48333333
01:40.9,0,26.38333333
01:40.9,0,26.5625
01:40.9,0.22,26.66666667
01:40.9,33.81,25.97083333
01:40.9,29.63,26.29583333
01:40.9,138.61,25.41666667
01:40.9,105.61,22.00833333
01:40.9,20.88,23.5125
01:40.9,0.2,25.7375
01:40.9,5.05,26.4
01:40.9,14.68,25.31666667
01:40.9,1.02,26.70833333
01:40.9,0.41,26.42083333
01:40.9,0,27.23333333
01:40.9,0.05,26.7
01:40.9,0.62,26.70416667
01:40.9,0,26.95
01:40.9,0,27.47916667
01:40.9,5.02,26.24166667
01:40.9,8.41,25.1875
01:40.9,0,25.71666667
01:40.9,0,26.175
01:40.9,0,26.325
01:40.9,11.68,25.50416667
01:40.9,0,26.52083333
01:40.9,1.05,26.19166667
01:40.9,0.01,26.90833333
01:40.9,0,27.22916667
01:40.9,27.82,26.7375
01:40.9,0,26.95416667
01:40.9,0,27.24583333
01:40.9,0.61,27.4
01:40.9,8.82,26.5875
01:40.9,10.02,25.84166667
01:40.9,6.85,25.6875
01:40.9,5.02,24.62083333
01:40.9,0,26.44583333
01:40.9,0,27.025
01:40.9,0,27.1625
01:40.9,0,26.60416667
01:40.9,0.83,26.24166667
01:40.9,0,25.825
01:40.9,0,26.15416667
01:40.9,0,26.34166667
01:40.9,10.83,26.17083333
01:40.9,0,27.07083333
01:40.9,3.25,26.37083333
01:40.9,0.23,26.77916667
01:40.9,0.21,27.1125
01:40.9,39.21,25.54583333
01:40.9,0.02,26.37083333
01:40.9,0,26.78333333
01:40.9,0,27.52916667
01:40.9,0,27.3
01:40.9,0,27.49583333
01:40.9,0,27.1375
01:40.9,0,27.275
01:40.9,0,27.43333333
01:40.9,3.4,26.82083333
01:40.9,0,26.88333333
