date,rainfall (mm),temperature ©
37:54.9,11.23,24.2625
37:54.9,22.41,24.48333333
37:54.9,43.42,23.74583333
37:54.9,52.81,24.425
37:54.9,106.63,23.75833333
37:54.9,143,24.1625
37:54.9,149.8,23.0875
37:54.9,56.64,24.72916667
37:54.9,6.43,25.59166667
37:54.9,9.85,24.98333333
37:54.9,1.23,24.65416667
37:54.9,1.01,24.22083333
37:54.9,2.61,24.1625
37:54.9,0.2,24.65416667
37:54.9,0,25.24583333
37:54.9,0,25.475
37:54.9,0,25.92083333
37:54.9,0,25.975
37:54.9,0,25.10416667
37:54.9,0,24.075
37:54.9,0,25.24166667
37:54.9,0,25.92083333
37:54.9,0,25.34166667
37:54.9,0.82,24.7
37:54.9,1.21,25.85833333
37:54.9,0,26.33333333
37:54.9,0,25.2375
37:54.9,3.01,25.60833333
37:54.9,1,26.25833333
37:54.9,0.2,25.42916667
37:54.9,0.2,25.76666667
37:54.9,13.41,23.6375
37:54.9,0,25.51666667
37:54.9,0,26.175
37:54.9,0,25.1875
37:54.9,0,24.59583333
37:54.9,0.2,25.125
37:54.9,0.2,26.37083333
37:54.9,0,26.25416667
37:54.9,0,26.45833333
37:54.9,0,26.4125
37:54.9,0,27.28333333
37:54.9,0,26.8875
37:54.9,0,27.07083333
37:54.9,0,26.4625
37:54.9,0,26.1
37:54.9,0,25.09166667
37:54.9,0,25.40833333
37:54.9,0,25.14583333
37:54.9,0,24.87916667
37:54.9,0,25.17083333
37:54.9,0,25.44583333
37:54.9,0,26.07916667
37:54.9,0,25.61666667
37:54.9,0,24.9875
37:54.9,0,25.75416667
37:54.9,0,26.4875
37:54.9,0,27.48333333
37:54.9,0,27.09583333
37:54.9,0,27.1125
37:54.9,0,27.77916667
37:54.9,0,27.82916667
37:54.9,0.62,26.57916667
37:54.9,0.61,26.94166667
37:54.9,0,27.6
37:54.9,0.42,26.525
37:54.9,0,27.47916667
37:54.9,0,26.01666667
37:54.9,0,26.36666667
37:54.9,0,26.23333333
37:54.9,0.2,27.3625
37:54.9,6.41,25.77083333
37:54.9,0,27.0875
