date,rainfall (mm),temperature ©
48:49.9,0,26.24166667
48:49.9,5.82,24.37916667
48:49.9,22.4,24.575
48:49.9,48.63,22.99583333
48:49.9,0,24.06666667
48:49.9,0.81,26.08333333
48:49.9,0.62,24.92083333
48:49.9,2.22,24.30833333
48:49.9,17.24,24.85833333
48:49.9,4.03,24.31666667
48:49.9,0,24.65416667
48:49.9,0,25.35416667
48:49.9,0.41,25.0125
48:49.9,0,24.66666667
48:49.9,0,24.60416667
48:49.9,0,25.24166667
48:49.9,0,26.39583333
48:49.9,3.82,25.6625
48:49.9,0,24.6125
48:49.9,0,24.47916667
48:49.9,0,24.85
48:49.9,0,25.625
48:49.9,15.4,25.80833333
48:49.9,16.41,24.34583333
48:49.9,0,25.81666667
48:49.9,4.41,26.59583333
48:49.9,0,26.3375
48:49.9,0,25.35416667
48:49.9,25.81,25.84166667
48:49.9,0,25.41666667
48:49.9,0,25.41666667
48:49.9,0.2,25.29583333
48:49.9,0,25.69166667
48:49.9,0,26.67083333
48:49.9,0,26.40833333
48:49.9,0,25.47083333
48:49.9,0,25.80833333
48:49.9,0,26.9375
48:49.9,0,27.20416667
48:49.9,0,27.01666667
48:49.9,0,26.67916667
48:49.9,3.41,26.80416667
48:49.9,33.42,25.99583333
48:49.9,4.43,25.78333333
48:49.9,2.61,26.12083333
48:49.9,5.81,26.30416667
48:49.9,0,26.01666667
48:49.9,0,25.95416667
48:49.9,0,26.1375
48:49.9,0,25.15833333
48:49.9,0,25.00416667
48:49.9,0,25.71666667
48:49.9,0,26.05833333
48:49.9,0,25.83333333
48:49.9,0,25.84583333
48:49.9,30.8,25.91666667
48:49.9,0,27.22083333
48:49.9,0,27.92916667
48:49.9,0,27.84166667
48:49.9,0,27.85833333
48:49.9,0,27.875
48:49.9,0,27.62916667
48:49.9,0,27.6125
48:49.9,0,27.72916667
48:49.9,0,28.24166667
48:49.9,54.21,27.2625
48:49.9,3.82,25.2375
48:49.9,0,26.875
48:49.9,0,27.32916667
48:49.9,0,27.19166667
48:49.9,0.82,26.2625
48:49.9,0,25.575
48:49.9,0,26.275
48:49.9,0,27.5875
48:49.9,0,28.17916667
48:49.9,6.01,27.39583333
48:49.9,0.4,27.15833333
48:49.9,0,27.85
48:49.9,0,28.2625
48:49.9,17.63,27.79166667
48:49.9,0,28.25833333
48:49.9,2.01,27.39583333
48:49.9,11.01,25.89583333
48:49.9,21.02,24.85
48:49.9,14.64,24.88333333
48:49.9,1.82,26.4
