date,rainfall (mm),temperature ©
39:30.9,9.1,26.04166667
39:30.9,11.11,26.95
39:30.9,5.69,25.97916667
39:30.9,7.48,26.5375
39:30.9,57.06,24.43333333
39:30.9,14.86,26.75833333
39:30.9,8.1,27.26666667
39:30.9,2.44,27.36666667
39:30.9,0,27.46666667
39:30.9,0.45,27.125
39:30.9,4.47,25.99166667
39:30.9,1.07,25.50833333
39:30.9,2.24,26.47916667
39:30.9,0,26.54583333
39:30.9,0.62,25.47916667
39:30.9,0,25.2625
39:30.9,0,25.99166667
39:30.9,0.2,26.775
39:30.9,0,26.57916667
39:30.9,0,26.39583333
39:30.9,0,26.40833333
39:30.9,0,26.45416667
39:30.9,1.22,25.31666667
39:30.9,2.87,24.39583333
39:30.9,2.84,25.34583333
39:30.9,0.22,26.17083333
39:30.9,0,25.70833333
39:30.9,10.65,26.29166667
39:30.9,0,27.1875
39:30.9,0,26.54583333
39:30.9,0,27.14166667
39:30.9,5.07,26.15
39:30.9,1.02,26.70416667
39:30.9,0,26.65833333
39:30.9,0,26.7125
39:30.9,0,25.8625
39:30.9,1.24,25.9125
39:30.9,0.02,27.1125
39:30.9,0,27.025
39:30.9,0,27.59166667
39:30.9,0,26.9625
39:30.9,0,27.77083333
39:30.9,0,27.2875
39:30.9,0,27.76666667
39:30.9,0.02,27.125
39:30.9,0,27.35416667
39:30.9,0,26.14166667
39:30.9,0,26.1625
39:30.9,0,25.85
39:30.9,0,26.45416667
39:30.9,0,27.15416667
39:30.9,2.41,27.07916667
39:30.9,0.41,26.91666667
39:30.9,0,26.325
39:30.9,0,26.0125
39:30.9,0,25.87916667
39:30.9,0,26.59166667
39:30.9,0,27.25
39:30.9,0,27.15833333
39:30.9,0,27.57083333
39:30.9,0,27.52916667
39:30.9,0,27.45
39:30.9,0,27.725
39:30.9,0.42,28.66666667
39:30.9,0,28.6625
39:30.9,0,28.6875
39:30.9,0,27.97916667
39:30.9,0,27.4625
39:30.9,0,28.04583333
39:30.9,6.06,27.01666667
39:30.9,2.02,27.5875
39:30.9,19.65,27.25833333
39:30.9,0,28.45833333
39:30.9,0,27.95
39:30.9,0.02,27.62916667
39:30.9,0,27.38333333
39:30.9,0,27.3375
39:30.9,0,27.67916667
39:30.9,0,27.975
39:30.9,0,28.24583333
39:30.9,0,28.50416667
39:30.9,0,28.85416667
39:30.9,3.25,28.9875
39:30.9,11.27,28.53333333
39:30.9,3.8,28.47916667
39:30.9,0.02,28.7125
39:30.9,0.4,27.97916667
39:30.9,0,27.9
39:30.9,0,27.675
39:30.9,0,28.3375
39:30.9,46.2,27.88333333
39:30.9,0,28.19166667
39:30.9,0,28.44166667
39:30.9,0,28.91666667
39:30.9,0,29.11666667
39:30.9,35.41,27.72916667
39:30.9,55.01,27.03333333
39:30.9,5.21,27.45833333
39:30.9,0,27.8875
39:30.9,0,28.10416667
39:30.9,0,28.775
39:30.9,7.81,28.09583333
39:30.9,0.22,26.825
39:30.9,0,28.02083333
39:30.9,0,27.125
39:30.9,0,28.23333333
39:30.9,0,28.74583333
39:30.9,0,28.92083333
39:30.9,0,28.45833333
39:30.9,1,26.96666667
39:30.9,0,27.93333333
39:30.9,0,27.80416667
39:30.9,0,28.01666667
39:30.9,20.4,28.1375
39:30.9,7.03,26.30833333
39:30.9,0.63,27.8
39:30.9,0.01,27.9625
39:30.9,0,28.27083333
39:30.9,1.61,27.9625
39:30.9,0,27.25
39:30.9,0.62,28.34166667
39:30.9,0.01,28.01666667
39:30.9,0.02,28.92916667
39:30.9,3.81,28.22916667
39:30.9,19.24,27.4
39:30.9,3.84,27.21666667
39:30.9,5.87,27.3375
39:30.9,0.61,27.55416667
39:30.9,0,28.31666667
39:30.9,0,28.85416667
39:30.9,0.81,29.40416667
39:30.9,0,29.25416667
39:30.9,0,27.90416667
39:30.9,0,29.1375
39:30.9,0,29.58333333
39:30.9,0,29.55416667
39:30.9,0,29.3
39:30.9,0,28.66666667
39:30.9,19.21,29.03333333
39:30.9,20.65,27.25
39:30.9,4.03,27.74583333
39:30.9,0.83,27.875
39:30.9,1.02,28.01666667
39:30.9,0,28.875
39:30.9,0,28.00416667
39:30.9,0,28.55416667
39:30.9,0,27.95
39:30.9,5.01,27.26666667
39:30.9,0.21,28.025
39:30.9,0.61,27.55
39:30.9,0,28.27083333
39:30.9,0,28.7875
39:30.9,0.61,28.6125
39:30.9,0,28.41666667
39:30.9,0,29.04583333
39:30.9,2.61,28.25833333
39:30.9,0.04,28.25416667
39:30.9,0,28.22083333
39:30.9,0.02,28.65
39:30.9,0,29.0625
39:30.9,0,27.71666667
39:30.9,0,27.35
39:30.9,0.02,27.80416667
39:30.9,0,28.67083333
39:30.9,0,28.7125
39:30.9,0,28.56666667
39:30.9,0,28.7875
39:30.9,0.03,27.87916667
39:30.9,0,27.925
39:30.9,0,27.9
39:30.9,0.61,27.25
39:30.9,0,28.125
39:30.9,0,28.2375
39:30.9,0,28.40833333
39:30.9,0,28.29583333
39:30.9,0.03,28.51666667
39:30.9,0,28.37083333
39:30.9,0,28.24166667
39:30.9,0,28.29166667
39:30.9,3.21,27.3875
39:30.9,0,27.28333333
39:30.9,0,28.3625
39:30.9,0,28.1
39:30.9,0,29.05416667
39:30.9,44.8,28.68333333
39:30.9,0.43,28.3125
39:30.9,0.02,28.2875
39:30.9,18.84,27.48333333
39:30.9,0.03,27.075
39:30.9,0,27.425
39:30.9,16.4,26.7
39:30.9,1.02,27.23333333
39:30.9,5.3,26.49583333
39:30.9,13.41,28.0625
39:30.9,12.22,26.14583333
39:30.9,0.09,25.92916667
39:30.9,0,27.35
39:30.9,0,28.3625
39:30.9,0,28.99166667
39:30.9,3.83,28.625
39:30.9,0,28.90416667
39:30.9,0,29.10833333
39:30.9,2.63,29.1125
39:30.9,0,28.4625
39:30.9,0.22,27.96666667
39:30.9,0,27.7375
39:30.9,0,28.98333333
39:30.9,0,29.23333333
39:30.9,0.22,27.55833333
39:30.9,1.61,28.6125
39:30.9,8.64,26.625
39:30.9,0,28.42916667
39:30.9,30.21,27.8
39:30.9,0.5,26.40833333
39:30.9,0.22,27.45833333
39:30.9,0,28.0375
39:30.9,0,28.51666667
39:30.9,0,28.41666667
39:30.9,1.6,28.22916667
39:30.9,0,28.825
39:30.9,0.21,29.125
39:30.9,0,28.87083333
39:30.9,10.01,27.6625
39:30.9,6.83,27.975
39:30.9,0,28.27083333
39:30.9,0,28.19583333
39:30.9,0,28.19583333
39:30.9,0,28.2875
39:30.9,0.02,27.25833333
39:30.9,23.02,26.03333333
39:30.9,1.23,26.2125
39:30.9,9.21,26.97916667
39:30.9,5.21,26.44166667
39:30.9,9,27.6875
39:30.9,3.83,27.625
39:30.9,13.24,26.3625
39:30.9,1.24,26.67916667
39:30.9,0,27.4625
39:30.9,0,27.5375
39:30.9,2.63,26.49166667
39:30.9,9.42,26.71666667
39:30.9,0,27.20416667
39:30.9,0,28.2375
39:30.9,28.62,26.7125
39:30.9,0.02,27.10833333
39:30.9,2.66,26.30416667
39:30.9,1.27,26.81666667
39:30.9,0,27.8
39:30.9,0,27.92916667
39:30.9,0,27.8
39:30.9,33.42,27.93333333
39:30.9,4.08,27.50416667
39:30.9,10.01,27.33333333
39:30.9,0.86,26.52916667
39:30.9,0,27.20416667
39:30.9,0,27.80416667
39:30.9,10.03,26.95416667
39:30.9,0.51,26.92916667
39:30.9,6.01,27.61666667
39:30.9,0.24,27.36666667
39:30.9,0,27.62083333
39:30.9,0,28.08333333
39:30.9,0,27.83333333
39:30.9,0,28.05833333
39:30.9,1,27.72083333
39:30.9,0.02,27.09583333
39:30.9,0,27.95833333
39:30.9,0,27.69166667
39:30.9,0,28.3875
39:30.9,1.8,28.25
39:30.9,2.04,27.78333333
39:30.9,0,28.24583333
39:30.9,0.41,28.20416667
39:30.9,1.03,27.36666667
39:30.9,0,28.275
39:30.9,0,27.3375
39:30.9,0,28.45833333
39:30.9,2.61,27.50416667
39:30.9,0.04,27.36666667
39:30.9,16.83,27.39166667
39:30.9,16.42,26.8125
39:30.9,0,27.97083333
39:30.9,0,28.37083333
39:30.9,0,29.2875
39:30.9,0,29.27916667
39:30.9,6.23,28.67916667
39:30.9,0,28.60833333
39:30.9,0.01,28.825
39:30.9,1.21,29.13333333
39:30.9,72.62,26.65416667
39:30.9,0,27.53333333
39:30.9,0,28.06666667
39:30.9,35,28.45
39:30.9,20.21,27.3375
39:30.9,3.22,27.1875
39:30.9,0,27.76666667
39:30.9,9.22,27.2875
39:30.9,0.21,27.8625
39:30.9,0.43,28.0375
39:30.9,0,28.24583333
39:30.9,0,28.2125
39:30.9,0.23,27.15833333
39:30.9,14.21,27.62083333
39:30.9,2.47,27.07916667
39:30.9,0,27.69166667
39:30.9,0,28.05833333
39:30.9,16.06,25.5375
39:30.9,66.87,24.84166667
39:30.9,0.21,26.1625
39:30.9,38.28,25.42083333
39:30.9,0,27.6625
39:30.9,7.85,28.39583333
39:30.9,0.21,27.825
39:30.9,0.62,27.80416667
39:30.9,143.24,24.475
39:30.9,21.63,25.14583333
39:30.9,7.42,26.35833333
39:30.9,51.81,26.10416667
39:30.9,1.65,26.72083333
39:30.9,0.23,27.29583333
39:30.9,0.22,28.07083333
39:30.9,22.43,27.00833333
39:30.9,32.84,26.40416667
39:30.9,28.23,27.325
39:30.9,0.22,28.03333333
39:30.9,0,28.05
39:30.9,1,28.08333333
39:30.9,49.43,26.9
39:30.9,19.89,25.59583333
39:30.9,5.49,25.6125
39:30.9,68.25,24.2875
39:30.9,13.26,26.79583333
39:30.9,31.84,25.02083333
39:30.9,10.64,26
39:30.9,0.83,27.0625
39:30.9,39.81,26.7875
39:30.9,117.82,24.07083333
39:30.9,83.43,24.26666667
39:30.9,51.62,25.2125
39:30.9,0,25.90416667
39:30.9,0,27.05833333
39:30.9,0,27.525
39:30.9,0,28.275
