date,rainfall (mm),temperature ©
50:24.5,44.42,24.97916667
50:24.5,24.45,24.62916667
50:24.5,75.49,24.34583333
50:24.5,213.8,23.04583333
50:24.5,13.08,23.4625
50:24.5,84.24,25.47083333
50:24.5,112.86,23.74166667
50:24.5,51.88,25.57916667
50:24.5,35.1,25.74166667
50:24.5,25.25,25.0625
50:24.5,6.55,24.2125
50:24.5,12.47,24.1625
50:24.5,14.9,24.125
50:24.5,9.41,24.59583333
50:24.5,0,24.88333333
50:24.5,0,24.75
50:24.5,0,25.82083333
50:24.5,0.82,25.88333333
50:24.5,0.64,24.62916667
50:24.5,0.21,24.51666667
50:24.5,0,25.25
50:24.5,0,26.07916667
50:24.5,2.65,25.40416667
50:24.5,31.69,23.59166667
50:24.5,0,25.49583333
50:24.5,0,26.2375
50:24.5,0,25.33333333
50:24.5,13.24,24.74166667
50:24.5,2.08,26.04583333
50:24.5,4.42,25.075
50:24.5,0,25.82916667
50:24.5,2.64,25.0875
50:24.5,0.86,25.50833333
50:24.5,1.44,26.06666667
50:24.5,0,25.74583333
50:24.5,0,25.45833333
50:24.5,0.22,25.53333333
50:24.5,4.21,26.5625
50:24.5,0,26.5375
50:24.5,6.21,25.8125
50:24.5,0,26.34166667
50:24.5,0,26.81666667
50:24.5,0,27.19583333
50:24.5,2.86,25.57916667
50:24.5,0,26.43333333
50:24.5,0,26.4625
50:24.5,0,25.78333333
50:24.5,0,25.7625
50:24.5,0,25.81666667
50:24.5,0,25.5125
50:24.5,0,25.175
50:24.5,0,25.49166667
50:24.5,0,25.65416667
50:24.5,0,25.74583333
50:24.5,0,25.56666667
50:24.5,0,25.95416667
50:24.5,0,26.70416667
50:24.5,0,26.95833333
50:24.5,0,27.89583333
50:24.5,0,27.2625
50:24.5,0,27.45833333
50:24.5,0,26.95416667
50:24.5,0,27.275
50:24.5,2.63,27.40416667
50:24.5,0.02,27.3375
50:24.5,0,27.20833333
50:24.5,0,27.4
50:24.5,0,26.775
50:24.5,0,26.64583333
50:24.5,0,26.63333333
50:24.5,5.07,26.0625
50:24.5,44.03,24.19583333
50:24.5,6.61,25.19583333
50:24.5,0,26.4375
50:24.5,0,27.4375
50:24.5,0,26.925
50:24.5,0,27.275
50:24.5,0,28.1
50:24.5,0,28.00833333
50:24.5,0,28.17916667
50:24.5,0,28.77083333
50:24.5,3.23,28.1375
50:24.5,267.6,24.48333333
50:24.5,105.01,24.725
50:24.5,203.08,24.42916667
50:24.5,0.42,26.97916667
50:24.5,8.8,26.8875
50:24.5,0,27.55
50:24.5,0,27.79583333
50:24.5,25.02,27.2125
50:24.5,17.82,26.97083333
50:24.5,16.86,26.95833333
50:24.5,29.81,26.79166667
50:24.5,10.05,27.25833333
50:24.5,34.44,27.20416667
50:24.5,7.24,26.37916667
50:24.5,0,27.575
50:24.5,0,27.75
50:24.5,0.62,27.51666667
50:24.5,0,28.3
50:24.5,0,28.37083333
50:24.5,0,28.12916667
50:24.5,21.21,27.77083333
50:24.5,0,28.15
50:24.5,1.41,26.94166667
50:24.5,0,27.54583333
50:24.5,0.22,28.36666667
50:24.5,7.22,26.97916667
50:24.5,0,27.575
50:24.5,14.21,26.72916667
50:24.5,0.42,27.32916667
50:24.5,16.24,27.49583333
50:24.5,29.25,27.24583333
50:24.5,1.82,27.3875
50:24.5,43.23,26.14166667
50:24.5,2.4,28.1625
50:24.5,25.66,26.64166667
50:24.5,0,27.2875
50:24.5,0,27.9
50:24.5,0.42,27.47083333
50:24.5,0,27.55833333
50:24.5,0,27.59583333
50:24.5,4.22,28.38333333
50:24.5,0,28.38333333
50:24.5,1.66,26.67083333
50:24.5,1.43,26.68333333
50:24.5,35.02,26.66666667
50:24.5,0.43,27.24583333
50:24.5,0,28.07083333
50:24.5,0,28.35416667
50:24.5,0,28.92916667
50:24.5,1.24,28.3375
50:24.5,46.24,27.17083333
50:24.5,0,28.07083333
50:24.5,0,28.29583333
50:24.5,57.62,28.29166667
50:24.5,4.47,28.2125
50:24.5,0,27.7375
50:24.5,0.02,27.30416667
50:24.5,8.07,26.5125
50:24.5,0,27.98333333
50:24.5,0,27.69166667
50:24.5,0,28.35
50:24.5,0,28.88333333
50:24.5,11.82,28.50416667
50:24.5,4.63,28.2875
50:24.5,0.02,28.18333333
50:24.5,0.62,27.90416667
50:24.5,0.01,28.09166667
50:24.5,4.03,27.725
50:24.5,0,28.33333333
50:24.5,0,29.41666667
50:24.5,0.02,28.125
50:24.5,0,28.60416667
50:24.5,3.81,28.71666667
50:24.5,0,29.1875
50:24.5,0,29.34166667
50:24.5,14.43,28.3625
50:24.5,0,28.34166667
50:24.5,0,27.88333333
50:24.5,17.61,27.2625
50:24.5,48.4,26.64583333
50:24.5,1.81,25.95
50:24.5,2.44,27.69166667
50:24.5,1.61,27.23333333
50:24.5,4.82,27.34583333
50:24.5,0,26.88333333
50:24.5,0,27.5375
50:24.5,6.42,27.5375
50:24.5,0.01,27.73333333
50:24.5,0,28.10833333
50:24.5,0,26.7875
50:24.5,0,28.01666667
50:24.5,0,28.36666667
50:24.5,0,27.7625
50:24.5,0.23,27.475
50:24.5,30.01,27.26666667
50:24.5,1.43,26.91666667
50:24.5,0.62,27.4875
50:24.5,3.22,27.88333333
50:24.5,24.41,26.85416667
50:24.5,0.41,27.5375
50:24.5,4.02,27.825
50:24.5,0,28.4875
50:24.5,69.04,26.65
50:24.5,0,27.9
50:24.5,0,27.95833333
50:24.5,1.43,27.1125
50:24.5,0,27.45833333
50:24.5,0,28.09583333
50:24.5,0,28.175
50:24.5,58.01,26.45833333
50:24.5,15.8,25.42083333
50:24.5,5.6,26.67083333
50:24.5,0.2,26.6
50:24.5,0,26.35833333
50:24.5,0,27.75416667
50:24.5,0,28.45833333
50:24.5,0,29.275
50:24.5,0,28.70833333
50:24.5,0,28.575
50:24.5,0,28.025
50:24.5,0,29.15833333
50:24.5,0,29.41666667
50:24.5,0,28.6125
50:24.5,0,29.0375
50:24.5,0,29.15416667
50:24.5,35.81,28.50416667
50:24.5,0,27.8875
50:24.5,0,29.05
50:24.5,0,28.01666667
50:24.5,0,28.575
50:24.5,0,28.29166667
50:24.5,0,28.3875
50:24.5,41.61,27.70416667
50:24.5,0.43,27.52916667
50:24.5,0,27.18333333
50:24.5,0,28.85833333
50:24.5,1.41,28.30833333
50:24.5,27.61,28.2
50:24.5,36.26,26.64583333
50:24.5,0.41,27.8875
