date,rainfall (mm),temperature ©
56:00.5,9.83,26.10416667
56:00.5,6,26.025
56:00.5,39.22,26.225
56:00.5,35.62,26.0125
56:00.5,11.21,25.64583333
56:00.5,1.25,25.47083333
56:00.5,13.41,27.32083333
56:00.5,8.04,25.48333333
56:00.5,8.04,25.65
56:00.5,0.21,27.05833333
56:00.5,24.85,25.64166667
56:00.5,10.65,25.40416667
56:00.5,187.22,24.675
56:00.5,157.81,24.76666667
56:00.5,72.26,24.6875
56:00.5,22.84,25.275
56:00.5,11.82,25.32916667
56:00.5,2.62,25.98333333
56:00.5,0.03,26.45
56:00.5,0.21,26.6
56:00.5,5.83,25.65833333
56:00.5,0.04,26.975
56:00.5,0.02,27.01666667
56:00.5,0,26.97916667
56:00.5,0,26.9875
56:00.5,14.24,26.8
56:00.5,66.01,25.75
56:00.5,10.04,25.05833333
56:00.5,18.81,25.72916667
56:00.5,80.8,23.92916667
56:00.5,49.47,24.84583333
56:00.5,30.61,25.83333333
56:00.5,8.07,25.3125
56:00.5,2.61,26.42916667
56:00.5,18.48,25.9875
56:00.5,153.23,24.025
56:00.5,86.42,25.09166667
56:00.5,3.25,25.07916667
56:00.5,9.64,25.14583333
56:00.5,17.02,25.4375
56:00.5,0.21,26.25416667
56:00.5,0,27
56:00.5,0,27.43333333
56:00.5,0.22,26.41666667
56:00.5,0.41,26.8
56:00.5,0.02,26.69166667
56:00.5,0,26.27916667
56:00.5,0,26.03333333
56:00.5,0,26.66666667
56:00.5,31.02,25.85833333
56:00.5,251.22,24.525
56:00.5,2.64,26.22083333
56:00.5,0.42,26.20416667
56:00.5,19.05,24.725
56:00.5,1.05,26.35
56:00.5,0,26.45
56:00.5,0,26.1375
56:00.5,0,26.84166667
56:00.5,0,27.26666667
56:00.5,0,27.42916667
56:00.5,0,27.45833333
56:00.5,0,28.10416667
56:00.5,1.6,27.95
56:00.5,61.8,24.99166667
56:00.5,0.01,27.0875
56:00.5,4.01,25.8375
56:00.5,52.02,25.02083333
56:00.5,27.63,25.42083333
56:00.5,13.65,25.42083333
56:00.5,2.01,26.71666667
56:00.5,0,26.0875
56:00.5,61.63,25.6375
56:00.5,7.82,25.74583333
56:00.5,12.63,26.31666667
56:00.5,0.45,26.86666667
56:00.5,1.02,27.55416667
56:00.5,2.2,27.3875
56:00.5,68.6,24.575
56:00.5,0,26.77916667
56:00.5,0.01,27.14166667
56:00.5,23.23,26.6625
56:00.5,14.81,26.1375
56:00.5,15,27.29166667
56:00.5,26.44,26.1375
56:00.5,6.85,25.70416667
56:00.5,5.43,26.54583333
56:00.5,10.86,25.78333333
56:00.5,0,27.99583333
56:00.5,1.21,27.1
56:00.5,5.23,26.39583333
56:00.5,0,27.26666667
56:00.5,5.81,26.56666667
56:00.5,0,27.675
56:00.5,0,27.80833333
56:00.5,0,27.75833333
56:00.5,0.01,27.98333333
56:00.5,0.01,28.19583333
56:00.5,0,27.30833333
56:00.5,0,28.08333333
56:00.5,0,27.92916667
56:00.5,0.21,27.59583333
56:00.5,20.03,26.02083333
56:00.5,4.23,25.6125
56:00.5,1.65,26.12083333
56:00.5,0.2,25.9875
56:00.5,0,27.1375
