date,rainfall (mm),temperature (C)
01:58.5,4.2,26.09166667
01:58.5,70.23,24.63333333
01:58.5,19.03,24.96666667
01:58.5,23.23,25.4625
01:58.5,6.23,26.03333333
01:58.5,13.84,25.04583333
01:58.5,14.45,25.0375
01:58.5,11.82,25.66666667
01:58.5,6.44,25.87083333
01:58.5,16.02,26.5625
01:58.5,32.44,26.05416667
01:58.5,382,23.8875
01:58.5,24.66,25.1125
01:58.5,29.63,24.80416667
01:58.5,42.61,24.52083333
01:58.5,3.62,25.025
01:58.5,11.81,25.8625
01:58.5,92.6,22.62916667
01:58.5,3.86,24.60416667
01:58.5,18.45,24.37083333
01:58.5,3.61,24.9875
01:58.5,1.63,25.21666667
01:58.5,0,26.04166667
01:58.5,0.2,25.92916667
01:58.5,0,26.24583333
01:58.5,0,25.8625
01:58.5,0.4,26.79166667
01:58.5,0,27.40416667
01:58.5,0,26.99583333
01:58.5,3.24,27.00416667
01:58.5,31.64,26.175
01:58.5,0.01,27.17083333
01:58.5,0.4,27.13333333
01:58.5,1.44,26.975
01:58.5,24.26,25.7875
01:58.5,2.42,27.35
01:58.5,33.01,26.78333333
01:58.5,30.85,25.70416667
01:58.5,21.8,26.3875
01:58.5,0.8,27.0875
01:58.5,0,26.4125
01:58.5,0,26.74583333
01:58.5,10.43,25.875
01:58.5,35.85,25.39166667
01:58.5,5.24,25.88333333
01:58.5,0.21,26.34583333
01:58.5,0,25.75
01:58.5,0,25.85
01:58.5,7.22,26.0625
01:58.5,0,26.8375
01:58.5,3.21,26.45
01:58.5,0.41,26.79583333
01:58.5,0,26.5875
01:58.5,1.82,25.675
01:58.5,0,26.05
01:58.5,26.4,25.825
01:58.5,0,26.45
01:58.5,0,26.1875
01:58.5,0,26.75
01:58.5,0,27.9
01:58.5,0,27.5625
01:58.5,0.41,27.15
01:58.5,0,27.67083333
01:58.5,0,28.27916667
01:58.5,0,28.125
01:58.5,0,28.14583333
01:58.5,0,28.28333333
01:58.5,39.62,26.58333333
01:58.5,0,27.63333333
01:58.5,9.41,27.10833333
01:58.5,29.6,26.45416667
01:58.5,6.81,25.875
01:58.5,0,26.30416667
01:58.5,0,26.73333333
01:58.5,0,26.95416667
01:58.5,0,26.81666667
01:58.5,0,27.225
01:58.5,0,27.26666667
01:58.5,0,27.79583333
01:58.5,0,28.55833333
01:58.5,1.4,28.52083333
01:58.5,21.02,26.6875
01:58.5,0.2,28.0125
01:58.5,11.83,26.87916667
01:58.5,57.01,25.59583333
01:58.5,2.81,26.86666667
01:58.5,18.41,27.48333333
01:58.5,0,27.7
01:58.5,0,27.69166667
01:58.5,0,27.34166667
01:58.5,11.41,27.3625
01:58.5,0,27.41666667
01:58.5,21.61,26.27916667
01:58.5,0,27.62916667
01:58.5,0,28.925
01:58.5,0,28.81666667
01:58.5,0,28.81666667
01:58.5,0,28.91666667
01:58.5,0,27.8125
01:58.5,0.4,27.51666667
01:58.5,4.42,26.6625
01:58.5,0,27.94166667
01:58.5,0,27.25833333
01:58.5,0,27.62916667
01:58.5,0,27.625
01:58.5,0,27.1875
01:58.5,0,27.2
01:58.5,0,27.4875
01:58.5,2.6,27.95416667
01:58.5,0,27.80833333
01:58.5,0,28.2375
01:58.5,0,27.93333333
01:58.5,0,28.25833333
01:58.5,0,28.525
01:58.5,0,28.09166667
01:58.5,0,28.175
01:58.5,14.6,26.775
01:58.5,3.4,27.08333333
01:58.5,0.21,27.60416667
01:58.5,1,27.19583333
01:58.5,0,28.27916667
01:58.5,0,28.91666667
01:58.5,0,28.65
01:58.5,6.81,27.14166667
01:58.5,0,28.95416667
01:58.5,24.8,27.975
01:58.5,21.62,27.26666667
01:58.5,2.4,27.13333333
01:58.5,9.62,27.05416667
01:58.5,0.01,27.12083333
01:58.5,0,27.52083333
01:58.5,2.41,28.05
01:58.5,4.6,28.77083333
01:58.5,0.6,29.09166667
01:58.5,0,29.12916667
01:58.5,4.01,27.27083333
01:58.5,0,27.94166667
01:58.5,3.42,28.07083333
01:58.5,0,28.225
01:58.5,5.61,27.27916667
01:58.5,1.41,26.8375
01:58.5,0,26.86666667
01:58.5,0,28.02916667
01:58.5,0,28
01:58.5,6.81,27.75416667
01:58.5,0,27.25
01:58.5,0,27.94166667
01:58.5,0,28.20833333
01:58.5,0.41,29.14583333
