date,rainfall (mm),temperature (C)
00:29.2,16.4,27.20833333
00:29.2,15.22,26.7
00:29.2,0.02,27.40833333
00:29.2,14.81,26.88333333
00:29.2,13.02,26.34583333
00:29.2,5.01,26.21666667
00:29.2,0,27.15
00:29.2,0,28.27083333
00:29.2,0,28.07916667
00:29.2,20.2,27.8
00:29.2,1.22,27.4
00:29.2,30.64,25.5375
00:29.2,0,26.72083333
00:29.2,0,27.65416667
00:29.2,24.44,25.99583333
00:29.2,15.62,26.34166667
00:29.2,23.06,24.5625
00:29.2,25.26,23.775
00:29.2,84.65,24.09166667
00:29.2,28.6,25.775
00:29.2,6.25,26.49166667
00:29.2,13.85,25.17916667
00:29.2,0.2,25.99166667
00:29.2,0.02,26.4125
00:29.2,0.2,26.85
00:29.2,0.42,26.9625
00:29.2,0,27.31666667
00:29.2,10.42,27.25833333
00:29.2,5.62,27.7125
00:29.2,0,27.97083333
00:29.2,0.02,27.19583333
00:29.2,0,27.6375
00:29.2,1.42,27.27916667
00:29.2,18.44,26.80833333
00:29.2,7.66,26.5625
00:29.2,13.61,27.12916667
00:29.2,0.03,27.1375
00:29.2,0.02,27.42916667
00:29.2,0,27.7125
00:29.2,33.63,26.85416667
00:29.2,0,26.70833333
00:29.2,0,27.29583333
00:29.2,2.03,26.62916667
00:29.2,14.01,26.3875
00:29.2,23.03,25.80416667
00:29.2,18.06,24.5375
00:29.2,4.82,24.6
00:29.2,0,26.20833333
00:29.2,0,26.74166667
00:29.2,15.41,26.32916667
00:29.2,0,26.92916667
00:29.2,0,26.75
00:29.2,0,26.5625
00:29.2,0,25.74166667
00:29.2,0,25.97083333
00:29.2,0.2,26.06666667
00:29.2,0,26.225
00:29.2,0.4,26.49583333
00:29.2,4.43,26.92083333
00:29.2,10.02,26.96666667
00:29.2,0.41,26.97916667
00:29.2,0,27.37916667
00:29.2,0,27.99583333
00:29.2,0,28.00833333
00:29.2,0,27.425
00:29.2,0,27.54583333
00:29.2,0,27.75416667
00:29.2,0,27.80833333
00:29.2,28.4,27.29166667
00:29.2,0.01,26.89166667
00:29.2,1.44,27.20416667
00:29.2,4.6,27.25
00:29.2,1.41,26.5
00:29.2,0,26.92083333
00:29.2,0,27.2375
