date,rainfall (mm),temperature ©
44:15.6,0,28.65416667
44:15.6,0,28.20833333
44:15.6,1.02,27.6125
44:15.6,1.21,27.44166667
44:15.6,1.62,27.575
44:15.6,0.04,28.50833333
44:15.6,0.3,27.775
44:15.6,0,29.34166667
44:15.6,0,29.02083333
44:15.6,0,28.82916667
44:15.6,0.41,27.56666667
44:15.6,0,27.70833333
44:15.6,0,28.32083333
44:15.6,0,27.3375
44:15.6,0,27.72916667
44:15.6,0,28.1
44:15.6,0,28.6875
44:15.6,0,28.7625
44:15.6,0,28.975
44:15.6,0,28.32916667
44:15.6,0,27.7875
44:15.6,0,27.52916667
44:15.6,0,28.12083333
44:15.6,0,27.925
44:15.6,0.02,28.1375
44:15.6,0,29.22916667
44:15.6,0,29.1625
44:15.6,0.82,28.50416667
44:15.6,0,29.3625
44:15.6,0,29.2
44:15.6,0,28.9625
44:15.6,0,28.7375
44:15.6,0,29.25
44:15.6,0,28.95416667
44:15.6,0,28.92083333
44:15.6,0,29.06666667
44:15.6,0,29.975
44:15.6,0,29.43333333
44:15.6,0,29.5125
44:15.6,0,29.99166667
44:15.6,0,28.7125
44:15.6,0,29.20416667
44:15.6,0,29.58333333
44:15.6,0,29.74166667
44:15.6,0,29.67083333
44:15.6,0,29.975
44:15.6,0,29.4875
44:15.6,0,28.69166667
44:15.6,0,29.35833333
44:15.6,0,29.2875
44:15.6,0,29.11666667
44:15.6,0,29.62083333
44:15.6,0,29.25
44:15.6,0,28.83333333
44:15.6,0,28.22083333
44:15.6,0,27.80416667
44:15.6,0,27.67916667
44:15.6,0,27.3
44:15.6,0,27.22916667
44:15.6,0,26.72083333
44:15.6,0,29.14583333
44:15.6,0,29.68333333
44:15.6,0,29.35416667
44:15.6,17.43,28.58333333
44:15.6,0,29.675
44:15.6,0.03,28.8625
44:15.6,0,29.14583333
44:15.6,0,29.02916667
44:15.6,0,30.29166667
44:15.6,0,30.11666667
44:15.6,0,30.52916667
44:15.6,11.43,28.7375
44:15.6,0,28.52083333
44:15.6,0,29.58333333
44:15.6,0,29.8375
44:15.6,0,29.475
44:15.6,0,29.20833333
44:15.6,0,28.8375
44:15.6,0,28.54166667
44:15.6,0,28.66666667
44:15.6,0,29.37916667
44:15.6,0,30.3125
44:15.6,3.23,29.49583333
44:15.6,5.43,28.1875
44:15.6,0,29.62916667
44:15.6,10.82,28.99583333
44:15.6,0.81,29.7375
44:15.6,22.01,27.49166667
44:15.6,0,28.74166667
44:15.6,0,29.13333333
44:15.6,0,29.28333333
44:15.6,0,29.45
44:15.6,16.02,28.29166667
44:15.6,1.2,29.56666667
44:15.6,0.42,29.45
44:15.6,0,29.34583333
44:15.6,10.4,28.15416667
44:15.6,0,28.5125
44:15.6,0,29.39166667
44:15.6,0,29.64166667
44:15.6,10.82,29.50416667
44:15.6,4.8,28.32916667
44:15.6,0.01,28.7625
44:15.6,0.01,28.9
44:15.6,0.21,28.52916667
44:15.6,17.43,28.38333333
44:15.6,0.03,28.25833333
44:15.6,0,28.71666667
44:15.6,0,28.8375
44:15.6,0.84,28.25416667
44:15.6,9.44,27.57083333
44:15.6,0,28.76666667
44:15.6,7.81,27.72083333
44:15.6,25.66,26.40833333
44:15.6,17.22,27.24166667
44:15.6,0.24,28.4125
44:15.6,5.02,28.14583333
44:15.6,7.61,27.76666667
44:15.6,11.62,27.55416667
44:15.6,42.03,27.28333333
44:15.6,55.2,28.0875
44:15.6,21.82,27.89166667
44:15.6,8.23,28.64583333
44:15.6,14.03,28.78333333
44:15.6,17.62,28.2875
44:15.6,14.42,27.75416667
44:15.6,1.64,27.3375
44:15.6,0,29.40833333
44:15.6,11.21,28.87083333
44:15.6,0.02,29.60833333
44:15.6,0,29.7
44:15.6,31.02,29.08333333
44:15.6,2.21,28.525
44:15.6,19.41,28.03333333
44:15.6,3.81,28.7625
44:15.6,2.22,29.10833333
44:15.6,0.02,28.94166667
