date,rainfall (mm),temperature (C)
00:06.9,37,26.53333333
00:06.9,31.03,25.72083333
00:06.9,11.4,26.49166667
00:06.9,3.05,25.67916667
00:06.9,59,25.10416667
00:06.9,24.42,25.22083333
00:06.9,1.2,26.06666667
00:06.9,14.82,26.22083333
00:06.9,0,26.55416667
00:06.9,58.21,26.35833333
00:06.9,0.03,26.36666667
00:06.9,85.6,25.04166667
00:06.9,66.42,25.8625
00:06.9,40.4,26.54166667
00:06.9,19.01,25.72916667
00:06.9,5.43,25.92916667
00:06.9,24.65,24.67916667
00:06.9,6.82,23.82916667
00:06.9,117.22,23.8125
00:06.9,1.01,25.10833333
00:06.9,10.6,26.04583333
00:06.9,0.43,24.6
00:06.9,13.61,24.5125
00:06.9,4.24,25.025
00:06.9,0.2,26.6125
00:06.9,3.2,27.03333333
00:06.9,20.8,26.39166667
00:06.9,19.41,26.84166667
00:06.9,19.01,26.99583333
00:06.9,37,27.375
00:06.9,0.02,27.1
00:06.9,0,26.99166667
00:06.9,1.21,27.0625
00:06.9,6.81,26.7625
00:06.9,27,26.7875
00:06.9,16.03,26.84583333
00:06.9,29.41,26.40416667
00:06.9,3.62,27.22916667
00:06.9,3.21,27.12916667
00:06.9,91.81,24.82916667
00:06.9,2,26.27083333
00:06.9,0,27.00416667
00:06.9,0.01,26.53333333
00:06.9,0,27.04583333
00:06.9,213.61,24.925
00:06.9,1.81,25.23333333
00:06.9,1.61,25.3625
00:06.9,0,26.25416667
00:06.9,8.4,26.4
00:06.9,53.22,25.62916667
00:06.9,12.81,26.425
00:06.9,2.81,26.3625
00:06.9,0,25.73333333
00:06.9,0,25.1875
00:06.9,0,25.6375
00:06.9,0,26.07916667
00:06.9,0,26.74166667
00:06.9,1.4,26.17916667
00:06.9,1.4,27.06666667
00:06.9,18.42,25.775
00:06.9,4.21,26.10416667
00:06.9,0,27.27083333
00:06.9,0,27.82083333
00:06.9,17.2,26.65833333
00:06.9,0,26.30833333
00:06.9,0,27.6875
00:06.9,0,27.73333333
00:06.9,0.41,26.51666667
00:06.9,11.8,25.6125
00:06.9,3.41,26.34583333
00:06.9,0,26.65833333
00:06.9,10.42,26.05833333
00:06.9,29,24.75
00:06.9,10.22,25.17083333
00:06.9,0,26.59583333
00:06.9,0,26.55833333
00:06.9,15.4,27.43333333
00:06.9,4.61,26.80833333
00:06.9,6.62,26.89166667
00:06.9,0,27.28333333
00:06.9,1.4,27.77916667
00:06.9,6.21,26.7125
00:06.9,0,26.6
00:06.9,0,27.59583333
00:06.9,22.22,26.55833333
00:06.9,5.21,26.41666667
00:06.9,15.81,26.30416667
00:06.9,0,26.475
00:06.9,16.61,26.85
00:06.9,0,27.27916667
00:06.9,0,26.19583333
00:06.9,0,27.31666667
00:06.9,0,27.72083333
00:06.9,0,28.09166667
00:06.9,0.41,27.6875
00:06.9,43.62,25.20416667
00:06.9,1.2,27.18333333
00:06.9,0.01,26.0875
00:06.9,0.81,26.2
00:06.9,0,27.44166667
00:06.9,0,27.75416667
00:06.9,30.01,26.05
00:06.9,0.22,27.19583333
00:06.9,0,27.61666667
00:06.9,14,25.74583333
00:06.9,1.02,25.86666667
00:06.9,0,27.13333333
00:06.9,7.6,26.50833333
00:06.9,0.41,25.83333333
00:06.9,0,26.775
00:06.9,0,27.18333333
00:06.9,0,27.58333333
00:06.9,0,27.70833333
00:06.9,0,27.81666667
00:06.9,0.22,28.04583333
00:06.9,1.21,27.4375
00:06.9,0,28.2375
00:06.9,0.04,26.8125
00:06.9,10.61,26.74166667
00:06.9,1.61,26.36666667
00:06.9,0,27.67916667
00:06.9,16.8,27.03333333
00:06.9,4.41,27.3125
00:06.9,7.6,27.7625
00:06.9,3.01,28.61666667
00:06.9,4.22,28.10833333
00:06.9,97.61,26.275
00:06.9,7.23,26.15416667
00:06.9,0,27.03333333
00:06.9,89.62,25.7875
00:06.9,0,27.66666667
00:06.9,0,28.06666667
00:06.9,0,29.03333333
00:06.9,30.21,27.95833333
00:06.9,29.81,27.6125
00:06.9,62.82,26.57083333
00:06.9,0.41,29.07083333
00:06.9,3.81,27.95833333
00:06.9,1.62,26.8625
00:06.9,64.61,26.45
00:06.9,5.41,27.8625
00:06.9,6.84,27.13333333
00:06.9,11.61,26.62916667
00:06.9,0,26.39166667
00:06.9,0,28.36666667
00:06.9,0,28.45416667
00:06.9,0,28.49166667
00:06.9,1.6,28.45416667
00:06.9,7.02,27.08333333
00:06.9,0.23,27.14583333
00:06.9,0,27.84583333
00:06.9,0,28.2625
00:06.9,0.4,28.24166667
00:06.9,0,28.64583333
00:06.9,0,28.875
00:06.9,0,29.50833333
00:06.9,5.22,28.1375
00:06.9,15.01,27.53333333
00:06.9,0,28.5625
00:06.9,28.05,25.3375
00:06.9,0,26.84583333
00:06.9,0,27.84166667
00:06.9,0.8,26.21666667
00:06.9,0.03,27.625
00:06.9,0.21,26.85416667
00:06.9,0,28.075
00:06.9,0,27.85416667
00:06.9,7.42,27.67083333
00:06.9,0,27.12083333
00:06.9,20.04,26.4875
00:06.9,0.4,27.55833333
00:06.9,0,27.63333333
00:06.9,0,27.28333333
00:06.9,0.41,27.29583333
00:06.9,0.02,28.01666667
00:06.9,1.02,27.50416667
00:06.9,0,27.89166667
00:06.9,0.81,26.97083333
00:06.9,12.2,26.5125
00:06.9,60.82,25.33333333
00:06.9,0,26.72916667
00:06.9,5.81,26.575
00:06.9,89.42,25.69166667
00:06.9,0.03,26.40416667
00:06.9,0.02,26.475
00:06.9,0,27.4125
00:06.9,1.42,27.74583333
00:06.9,13.02,26.70833333
00:06.9,0.81,27.82083333
00:06.9,25.23,27.40833333
00:06.9,0.83,26.90416667
00:06.9,5.83,26.7
00:06.9,64.21,27.4125
00:06.9,3.04,26.8875
00:06.9,9,26.77083333
00:06.9,50.61,26.44583333
00:06.9,10.4,25.95416667
00:06.9,0,27.7125
00:06.9,0,27.73333333
00:06.9,1.41,26.52916667
00:06.9,0.02,27.02083333
00:06.9,2.4,27.48333333
00:06.9,0,28.20416667
00:06.9,0,27.76666667
00:06.9,0,28.30416667
00:06.9,0,28.3625
00:06.9,0.02,28.91666667
00:06.9,0,28.6375
00:06.9,0,28.70416667
00:06.9,6.02,28.4375
00:06.9,0.41,27.9625
