date,rainfall (mm),temperature ©
42:59.2,0,27.0125
42:59.2,0,26.89583333
42:59.2,0,25.9125
42:59.2,66.01,23.76666667
42:59.2,3.24,24.64166667
42:59.2,5,25.00833333
42:59.2,8.83,24.175
42:59.2,13.2,25.60833333
42:59.2,0.2,26.70833333
42:59.2,0,26.5125
42:59.2,0,26.90833333
42:59.2,0,27.1125
42:59.2,0,26.59166667
42:59.2,0,26.67083333
42:59.2,39.8,26.55833333
42:59.2,1,26.74583333
42:59.2,0,26.9625
42:59.2,0.2,27.19583333
42:59.2,0,26.85416667
42:59.2,0,25.75
42:59.2,0,26.34583333
42:59.2,0.2,26.725
42:59.2,0.6,25.9875
42:59.2,2.04,25.13333333
42:59.2,3.4,26.72083333
42:59.2,21.8,26.7625
42:59.2,0,27.25
42:59.2,51.4,25.50833333
42:59.2,17.4,25.90416667
42:59.2,0,26.65833333
42:59.2,0,26.35
42:59.2,0,26.41666667
42:59.2,0,27.79166667
42:59.2,0,27.79166667
42:59.2,0,27.90416667
42:59.2,0,27.84583333
42:59.2,0,27.3875
42:59.2,0,28.02083333
42:59.2,1,28.7625
42:59.2,0.4,28.0125
42:59.2,0,28.02916667
42:59.2,0,27.5625
42:59.2,0,26.89166667
42:59.2,0,26.98333333
42:59.2,0,27.44583333
42:59.2,0,28.40833333
42:59.2,0,28.42083333
42:59.2,0,27.69583333
42:59.2,0,27.675
42:59.2,0,28.3625
42:59.2,0,28.42916667
42:59.2,0,28.34583333
42:59.2,0,27.96666667
42:59.2,0,28.65
42:59.2,0,28.4
42:59.2,0,27.65416667
42:59.2,0,27.21666667
42:59.2,0,26.72083333
42:59.2,0,26.79583333
42:59.2,0,27.1125
42:59.2,0,28.59166667
42:59.2,14.01,27.60416667
42:59.2,0,26.60833333
42:59.2,0,27.45833333
42:59.2,0.01,27.5625
42:59.2,0.22,25.82916667
42:59.2,0,26.79583333
42:59.2,0,27.62083333
42:59.2,0,28.575
42:59.2,0,28.7625
42:59.2,3.01,28.275
42:59.2,24,26.24583333
42:59.2,0,26.25
42:59.2,0,27.55416667
42:59.2,0.02,28.64166667
42:59.2,0,27.6375
42:59.2,0,27.39166667
42:59.2,0,28.45
42:59.2,0.41,27.8375
42:59.2,0,27.8875
42:59.2,0,28.71666667
42:59.2,2.61,28.6875
42:59.2,2.62,26.25416667
42:59.2,7.05,25.57083333
42:59.2,15.8,26.1375
42:59.2,4.83,26.6
42:59.2,0.82,27.37916667
42:59.2,0,27.68333333
42:59.2,0.03,27.7625
42:59.2,0,28.18333333
42:59.2,0.09,27.77916667
42:59.2,0,28.54166667
42:59.2,0,28.8125
42:59.2,0.03,27.99583333
42:59.2,0.06,28.0875
42:59.2,0,28.2625
42:59.2,3.02,26.6625
42:59.2,28.62,25.44166667
42:59.2,1.02,26.675
42:59.2,0.21,28.22916667
42:59.2,0,27.9375
42:59.2,0.21,27.3
42:59.2,1.61,26.9875
42:59.2,0.02,26.13333333
42:59.2,8.02,25.89583333
42:59.2,0.82,26.04583333
42:59.2,0,27.26666667
42:59.2,1.01,27.64166667
42:59.2,0.02,27.13333333
42:59.2,0,27.5875
42:59.2,0.01,27.3375
42:59.2,0,27.30833333
42:59.2,11.23,25.86666667
42:59.2,0,27.6625
42:59.2,0,28.06666667
42:59.2,0,28.36666667
42:59.2,6.01,26.70833333
42:59.2,0.8,26.67916667
42:59.2,53.83,26.85
42:59.2,22.01,25.24166667
42:59.2,6.02,26.41666667
42:59.2,57.44,26.76666667
42:59.2,5.83,26.46666667
42:59.2,29.01,27.67083333
42:59.2,10.02,26.80416667
42:59.2,63.41,26.44166667
42:59.2,2.03,25.9625
42:59.2,0.02,27
42:59.2,0.22,26.70416667
42:59.2,0.81,27.5125
42:59.2,0.2,27.93333333
42:59.2,0.24,26.82083333
42:59.2,13.41,27.07083333
42:59.2,0.01,27.6375
42:59.2,23.42,28.00416667
42:59.2,12.43,27.60833333
42:59.2,15.41,27.64583333
42:59.2,2.4,26.42916667
42:59.2,0,27.40416667
42:59.2,2.01,27.7125
42:59.2,7.22,26.5
42:59.2,49.41,25.16666667
42:59.2,0,26.75416667
42:59.2,0,27.675
42:59.2,0,28.22083333
42:59.2,18.61,27.17916667
42:59.2,9.03,26.375
42:59.2,4.62,25.64166667
42:59.2,0,27.81666667
42:59.2,0,28.40416667
42:59.2,14.23,27.77916667
42:59.2,0,27.82083333
42:59.2,0,28.15
42:59.2,0,27.6875
42:59.2,4.61,27.10833333
42:59.2,4.03,27.7375
42:59.2,74.61,26.6125
42:59.2,0.02,26.20833333
42:59.2,4.21,26.62916667
42:59.2,0,27.72916667
42:59.2,2.8,27.03333333
42:59.2,1.04,25.59583333
42:59.2,0,27.14583333
42:59.2,0,27.8875
42:59.2,0.02,27.48333333
42:59.2,0.04,26.62083333
42:59.2,4.03,25.63333333
42:59.2,0.22,27.55
42:59.2,13.81,26.35
42:59.2,0.01,26.52916667
42:59.2,4.01,26.10833333
42:59.2,4.61,25.25416667
42:59.2,0.02,26.25
42:59.2,0,27.04166667
42:59.2,6.81,27.35416667
42:59.2,0.21,27.21666667
42:59.2,0.41,26.2125
42:59.2,0,27.40833333
42:59.2,0.82,27.34583333
42:59.2,21.81,25.75
42:59.2,5.21,24.70416667
42:59.2,0.21,26.45416667
42:59.2,0.24,26.87083333
42:59.2,3.82,26.97916667
42:59.2,3.62,25.98333333
42:59.2,1.82,26.85
42:59.2,0.41,26.37916667
42:59.2,1.61,25.81666667
42:59.2,0,27.60416667
42:59.2,3.01,27.12083333
42:59.2,43.82,25.75416667
42:59.2,3.81,25.97916667
42:59.2,9.42,25.14166667
42:59.2,0.22,26.81666667
42:59.2,2.64,25.5125
42:59.2,0.22,25.01666667
42:59.2,0,26.4
42:59.2,0,27.85833333
42:59.2,0,27.8125
42:59.2,0,27.46666667
42:59.2,0,27.25
42:59.2,0,27.525
42:59.2,0,28.625
42:59.2,0,28.40833333
42:59.2,0,28.05416667
42:59.2,0,27.74166667
42:59.2,0,28.20416667
42:59.2,0,28.49166667
42:59.2,0,28.29166667
42:59.2,0,28.575
42:59.2,0,27.90416667
42:59.2,1.02,27.41666667
42:59.2,0,27.2875
42:59.2,0.21,27.20833333
42:59.2,0,27.70833333
42:59.2,0,28.62916667
42:59.2,0.2,27.72083333
42:59.2,0,28.54166667
42:59.2,0,28.46666667
42:59.2,0,28.04583333
42:59.2,10.61,27.27916667
42:59.2,0.23,27.30833333
42:59.2,0.22,27.28333333
42:59.2,12.24,26.4875
42:59.2,0,27.89583333
42:59.2,18.23,27.05
42:59.2,0.21,26.55833333
42:59.2,12.42,25.875
42:59.2,23.63,25.2875
42:59.2,29.4,24.9125
42:59.2,5.03,25.12083333
42:59.2,7.64,25.36666667
42:59.2,5.25,25.0375
42:59.2,0.85,26.46666667
42:59.2,36.21,26.13333333
42:59.2,0.6,26.58333333
42:59.2,6.24,24.32083333
42:59.2,15.61,25.16666667
42:59.2,0.2,26.21666667
42:59.2,0,26.21666667
42:59.2,0,25.99166667
42:59.2,0.42,26.69583333
42:59.2,2.62,25.99583333
42:59.2,0,26.41666667
42:59.2,0,26.30833333
42:59.2,11.23,24.65
42:59.2,0.83,25.93333333
42:59.2,0,26.15416667
42:59.2,0,27.2375
42:59.2,0,27.57083333
42:59.2,0,26.375
42:59.2,3.02,25.76666667
42:59.2,0.61,27.4625
42:59.2,0,27.5375
42:59.2,0.02,26.57916667
42:59.2,29.81,25.32916667
42:59.2,15.61,25.64583333
42:59.2,0,26.56666667
42:59.2,0,27.58333333
42:59.2,0,27.8125
42:59.2,7.23,27.0125
42:59.2,32.45,25.8
42:59.2,12.4,25.73333333
42:59.2,7.82,26.05833333
42:59.2,0,26.85
42:59.2,39.01,25.43333333
42:59.2,0.22,26.67916667
42:59.2,0,26.75833333
42:59.2,0,27.22083333
42:59.2,24,26.92916667
42:59.2,37.43,26.1875
42:59.2,15.03,26.27916667
42:59.2,4.66,25.5875
42:59.2,0,27.19166667
42:59.2,0.02,27.38333333
42:59.2,0.03,26.7
42:59.2,0.02,27.25
42:59.2,2.61,26.24583333
42:59.2,0.61,26.29583333
42:59.2,13.21,25.08333333
42:59.2,12.61,25.58333333
42:59.2,1.01,27.42916667
42:59.2,0,27.06666667
42:59.2,0,27.85833333
42:59.2,0,27.37916667
42:59.2,0,27.44583333
42:59.2,0,28.7125
42:59.2,0,28.3375
