date,rainfall (mm),temperature ©
51:01.6,0,27.12083333
51:01.6,0.43,25.35833333
51:01.6,12.25,24.70416667
51:01.6,0.63,24.00416667
51:01.6,0,25.19166667
51:01.6,10.01,26.82916667
51:01.6,0.04,26.19583333
51:01.6,0.05,25.17083333
51:01.6,2.8,26.25833333
51:01.6,0,25.69583333
51:01.6,0,25.49166667
51:01.6,0,26.12083333
51:01.6,0.2,25.76666667
51:01.6,0,25.39583333
51:01.6,0,25.8375
51:01.6,0,26.525
51:01.6,0,27.62083333
51:01.6,0,27.35416667
51:01.6,0,25.95833333
51:01.6,0,26.20833333
51:01.6,0,26.12916667
51:01.6,1.21,26.15833333
51:01.6,1.8,26.30416667
51:01.6,22.4,25.65416667
51:01.6,0,27.0375
51:01.6,0,27.12916667
51:01.6,0,27.48333333
51:01.6,0,26.6
51:01.6,16,26.70416667
51:01.6,0,26.7625
51:01.6,0,26.725
51:01.6,0.4,26.67083333
51:01.6,0.2,26.975
51:01.6,0,27.7875
51:01.6,0,27.49583333
51:01.6,0,26.60416667
51:01.6,0,27.4875
51:01.6,0,27.97916667
51:01.6,0,28.2
51:01.6,0,28.21666667
51:01.6,0,28.04583333
51:01.6,12.8,27.35
51:01.6,0,28.0875
51:01.6,0,27.6625
51:01.6,1,27.375
51:01.6,0,27.63333333
51:01.6,0,27.1625
51:01.6,0,27.34166667
51:01.6,0,27.27916667
51:01.6,0,26.96666667
51:01.6,0,26.37916667
51:01.6,0,27.025
51:01.6,0,27.1375
51:01.6,0,26.95416667
51:01.6,0,27.31666667
51:01.6,0,27.24166667
51:01.6,0,28
51:01.6,0,28.18333333
51:01.6,0,28.2375
51:01.6,0,28.41666667
51:01.6,0,28.83333333
51:01.6,0,28.54583333
51:01.6,0,28.3625
51:01.6,0,28.8625
51:01.6,0,29.33333333
51:01.6,93,27.74166667
51:01.6,9.42,25.00833333
51:01.6,0,27.50833333
51:01.6,0,28.275
51:01.6,0,28.34166667
51:01.6,0,27.9625
51:01.6,0.21,26.65833333
51:01.6,0.41,27.55833333
51:01.6,0,28.36666667
51:01.6,24,28.52916667
51:01.6,0,27.60833333
51:01.6,37.6,27.40416667
51:01.6,0.41,27.7
51:01.6,0,28.32083333
51:01.6,6.2,28.3375
51:01.6,0,28.34583333
51:01.6,2.41,28.3
51:01.6,2.03,26.98333333
51:01.6,1.48,25.70833333
51:01.6,3,26.075
51:01.6,0.41,27.15416667
51:01.6,30.61,25.86666667
51:01.6,0,26.83333333
51:01.6,75.61,26.85
51:01.6,28.2,28.27916667
51:01.6,7.01,28.04166667
51:01.6,0,28.97916667
51:01.6,0,28.80833333
51:01.6,0,28.23333333
51:01.6,10.81,28.23333333
51:01.6,7.02,26
51:01.6,0,27.8
51:01.6,16.02,27.99166667
51:01.6,7.03,26.75833333
51:01.6,4.03,27.12916667
51:01.6,0,28.17916667
51:01.6,0,27.98333333
51:01.6,0.02,27.81666667
51:01.6,0,27.80416667
51:01.6,0,27.82083333
51:01.6,23.41,26.50416667
51:01.6,13.41,27.07083333
51:01.6,0,26.65833333
51:01.6,0,27.3
51:01.6,0,27.21666667
51:01.6,0,27.8625
51:01.6,0.21,26.89583333
51:01.6,17,27.05833333
51:01.6,0,27.975
51:01.6,1.81,27.63333333
51:01.6,0,28.34583333
51:01.6,11.21,27.2625
51:01.6,0,27.15833333
51:01.6,0.4,27.3125
51:01.6,0,27.7125
51:01.6,6.61,26.575
51:01.6,27.22,26.49166667
51:01.6,25.81,26.50416667
51:01.6,0.2,27.27083333
51:01.6,1,27.11666667
51:01.6,4.01,27.12083333
51:01.6,1.63,26.8375
51:01.6,0,27.625
51:01.6,0,27.54583333
51:01.6,0,27.43333333
51:01.6,0,28.78333333
51:01.6,0.21,28.5375
51:01.6,13.61,27.3875
51:01.6,0,28.31666667
51:01.6,10.2,28.14166667
51:01.6,21.41,27.59583333
51:01.6,0,28.125
51:01.6,102.81,26.625
51:01.6,40.41,27.2
51:01.6,0,27.55833333
51:01.6,0,27.76666667
51:01.6,0.02,26.92083333
51:01.6,0,27.54166667
51:01.6,0,27.68333333
51:01.6,0,28.31666667
