date,rainfall (mm),temperature ©
54:18.5,46.8,27.04166667
54:18.5,91.84,26.225
54:18.5,74.4,24.83913043
54:18.5,148.8,22.05416667
54:18.5,1.61,23.85416667
54:18.5,0.82,25.81666667
54:18.5,12.8,23.8125
54:18.5,100.81,23.82916667
54:18.5,0.2,27.15
54:18.5,4.23,26.39583333
54:18.5,41.2,25.10833333
54:18.5,9.01,25.52083333
54:18.5,14.42,25.05833333
54:18.5,4.42,25.27916667
54:18.5,0,25.99166667
54:18.5,0,26.65833333
54:18.5,0,26.55416667
54:18.5,0,26.6625
54:18.5,0,26.18333333
54:18.5,0,26.12083333
54:18.5,0,26.01666667
54:18.5,0,26.4875
54:18.5,0,26.5125
54:18.5,0,24.87916667
54:18.5,0,25.74583333
54:18.5,0,27.20833333
54:18.5,0,26.82083333
54:18.5,4.4,26.03333333
54:18.5,0.8,26.60416667
54:18.5,0,26.82083333
54:18.5,0,26.5875
54:18.5,5.41,26.44583333
54:18.5,0.2,26.78333333
54:18.5,0,26.9625
54:18.5,0,26.62916667
54:18.5,0,26.47916667
54:18.5,0,26.4375
54:18.5,0,27.3375
54:18.5,0,27.27916667
54:18.5,0,27.1625
54:18.5,0,27.26666667
54:18.5,0,27.22083333
54:18.5,0,27.37916667
54:18.5,0,27.5375
54:18.5,0,27.47083333
54:18.5,0.41,26.77916667
54:18.5,0,27.02083333
54:18.5,0,26.6125
54:18.5,0,26.72916667
54:18.5,0,26.55833333
54:18.5,0,26.78333333
54:18.5,0,26.93333333
54:18.5,0,26.825
54:18.5,0,26.64166667
54:18.5,0,26.29583333
54:18.5,0,26.10833333
54:18.5,0,26.52916667
54:18.5,0,26.45416667
54:18.5,0,27.0375
54:18.5,0,27.2875
54:18.5,0,27.7875
54:18.5,0,27.71666667
54:18.5,0,27.72083333
54:18.5,0,28.30833333
54:18.5,0,28.55
54:18.5,0,28.875
54:18.5,0,27.75416667
54:18.5,0,26.80416667
54:18.5,0,28.14166667
54:18.5,0,27.69166667
54:18.5,0.4,28.00416667
54:18.5,35.61,26.40416667
54:18.5,1.2,26.9375
54:18.5,0,28.12916667
54:18.5,0,28.4
54:18.5,0,28.02916667
54:18.5,0,27.45
54:18.5,0,28.52083333
54:18.5,0,27.57083333
54:18.5,0,27.525
54:18.5,0,27.77083333
54:18.5,0.6,28.02916667
54:18.5,19.6,26.89166667
54:18.5,29.41,25.37916667
54:18.5,8.82,26.175
54:18.5,0,27.73333333
54:18.5,0.4,27.45833333
54:18.5,0,27.10833333
54:18.5,17.4,26.05416667
54:18.5,4.8,26.6
54:18.5,9.41,26.59583333
54:18.5,10.8,27.36666667
54:18.5,0.6,27.54166667
54:18.5,0.2,27.45
54:18.5,6.42,27.375
54:18.5,14.22,26.15
54:18.5,0,27.54583333
54:18.5,0,28.925
54:18.5,0,28
54:18.5,33.2,27.55833333
54:18.5,0,28.90833333
54:18.5,0,28.0875
54:18.5,25.4,27.69583333
54:18.5,38.2,26.54166667
54:18.5,0,27.0125
54:18.5,0,26.47083333
54:18.5,0,26.65416667
54:18.5,16.9,25.25416667
54:18.5,0,26.375
54:18.5,7.6,27.03333333
54:18.5,0,26.875
54:18.5,0,27.07916667
54:18.5,0,26.41666667
54:18.5,0,28.15833333
54:18.5,0,26.39583333
54:18.5,0,27.6125
54:18.5,1.2,26.5375
54:18.5,0,26.76666667
54:18.5,0,27.3
54:18.5,0,27.5875
54:18.5,0,27.0875
54:18.5,0,27.55
54:18.5,3.8,28.34583333
54:18.5,11.2,27.7125
54:18.5,6.2,27.69166667
54:18.5,12.21,26.74166667
54:18.5,10.41,26.98333333
54:18.5,14.2,25.66666667
54:18.5,0.41,26.70416667
54:18.5,6.6,26.74583333
54:18.5,2.6,27.1875
54:18.5,1,28.05416667
54:18.5,0,26.74166667
54:18.5,0,27.69166667
54:18.5,24,27.52916667
54:18.5,0,28.72916667
54:18.5,0,28.075
54:18.5,33.2,26.3125
54:18.5,30.6,26.75
54:18.5,1,26.5875
54:18.5,0.2,27.37916667
54:18.5,7.4,26.5125
54:18.5,0,27.8625
54:18.5,0,28.11666667
54:18.5,12.2,28.01666667
54:18.5,0,27.67083333
54:18.5,0,27.99166667
54:18.5,0,28.25
54:18.5,0,27.42916667
54:18.5,0,26.87916667
54:18.5,0,27.77083333
54:18.5,12.81,26.77083333
54:18.5,1.4,27.075
54:18.5,24,26.85833333
54:18.5,11.22,27.65833333
54:18.5,0,28.42916667
54:18.5,0,27.79166667
54:18.5,21.2,27.29583333
54:18.5,1.61,27.29166667
54:18.5,1.6,27.39583333
54:18.5,8.2,27.0375
54:18.5,18.61,26.46666667
54:18.5,0.6,27.41666667
54:18.5,2.8,27.72083333
54:18.5,0,26.86666667
54:18.5,0,27.46666667
54:18.5,0,26.92916667
