date,rainfall (mm),temperature (C)
59:21.1,17.6,26.87916667
59:21.1,0.64,26.575
59:21.1,0,27.16666667
59:21.1,7.02,26.58333333
59:21.1,2.03,26.18333333
59:21.1,13.62,25.85833333
59:21.1,0.2,26.50833333
59:21.1,9.81,27.025
59:21.1,3.41,26.57916667
59:21.1,7.4,26.68333333
59:21.1,0.6,26.89166667
59:21.1,2.43,26.17916667
59:21.1,8.01,26.15
59:21.1,14.22,26.4375
59:21.1,8.25,26.00416667
59:21.1,17.05,25.95
59:21.1,46.21,24.6
59:21.1,1.44,24.975
59:21.1,10.22,25.35833333
59:21.1,36.42,25.81666667
59:21.1,19.23,25.7125
59:21.1,24.44,25.11666667
59:21.1,2.2,24.85
59:21.1,0,25.9875
59:21.1,0,27.01666667
59:21.1,0,27.15833333
59:21.1,3.81,26.66666667
59:21.1,6.21,26.34166667
59:21.1,11.42,26.11666667
59:21.1,35.41,27.0375
59:21.1,0,27.5
59:21.1,1.21,27.23333333
59:21.1,7.04,26.65416667
59:21.1,0.64,26.39166667
59:21.1,0.01,26.35833333
59:21.1,22.63,26.20833333
59:21.1,0.01,26.8
59:21.1,3.22,26.75833333
59:21.1,0.4,26.80416667
59:21.1,25.02,26.03333333
59:21.1,0,26.77083333
59:21.1,0,27.225
59:21.1,0,27.22083333
59:21.1,1.81,26.42916667
59:21.1,32.04,25.3625
59:21.1,0,26.1875
59:21.1,0,25.84583333
59:21.1,0,26.4
59:21.1,26.21,25.975
59:21.1,22.43,24.89583333
59:21.1,2.82,26.05
59:21.1,0,26.02916667
59:21.1,0,26.175
59:21.1,0,25.7625
59:21.1,0,26.27083333
59:21.1,0,26.35
59:21.1,0,26.875
59:21.1,0,26.12916667
59:21.1,0.4,26.975
59:21.1,0.21,25.79583333
59:21.1,0,27.08333333
59:21.1,2.6,27.35
59:21.1,0,27.55
59:21.1,0.01,26.9
59:21.1,0,27.14583333
59:21.1,0,27.5375
59:21.1,0,27.81666667
59:21.1,0,26.07916667
59:21.1,0,26.44166667
59:21.1,0,26.48333333
59:21.1,0,27.0125
59:21.1,0.21,26.6
59:21.1,0,26.57916667
59:21.1,0,26.74583333
59:21.1,0,27.0125
59:21.1,0,27.53333333
59:21.1,0.42,27.30833333
59:21.1,8.81,27.14583333
59:21.1,1.61,27.2375
59:21.1,0.62,27.52916667
59:21.1,8.8,27.175
59:21.1,87.05,25.78333333
59:21.1,1.81,26.60416667
59:21.1,0.2,27.06666667
59:21.1,6.82,26.63333333
59:21.1,0.4,26.9
59:21.1,0.2,27.32916667
59:21.1,0,27.51666667
59:21.1,0,27.2
59:21.1,0,27.62083333
59:21.1,0,27.57916667
59:21.1,0,28.10833333
59:21.1,0,27.71666667
59:21.1,1.01,27.80833333
59:21.1,3,27.94166667
59:21.1,12.82,25.77916667
59:21.1,0.64,26.87916667
59:21.1,11.6,26.7375
59:21.1,0,27.475
59:21.1,0,27.66666667
59:21.1,0,27.91666667
59:21.1,0,27.54166667
59:21.1,0,27.40833333
59:21.1,0,27.71666667
59:21.1,0,26.95
59:21.1,0,26.79166667
59:21.1,0,27.63333333
59:21.1,10.22,27.325
59:21.1,0.41,26.4625
59:21.1,0,27.19166667
59:21.1,0,27.06666667
59:21.1,0,26.9875
59:21.1,0,27.36666667
59:21.1,0,28.2
59:21.1,0,28.525
59:21.1,0,28.0375
59:21.1,0,27.85833333
59:21.1,2.2,28.05
59:21.1,0.4,27.26666667
59:21.1,0,28.0125
59:21.1,1.01,27.74583333
59:21.1,2.22,27.85416667
59:21.1,3.02,28.22083333
59:21.1,0.23,27.9875
59:21.1,0.82,28.33333333
59:21.1,17.01,27.0875
59:21.1,28.22,26.58333333
59:21.1,4.8,26.09166667
59:21.1,0,27.95833333
59:21.1,3.21,26.61666667
59:21.1,0,27.85416667
59:21.1,0,28.59583333
59:21.1,0,28.94166667
59:21.1,0,28.98333333
59:21.1,0,28.8875
59:21.1,0.81,27.15
59:21.1,0,28.75
59:21.1,3.4,28.09166667
59:21.1,0,27.3625
59:21.1,32.22,26.12083333
59:21.1,30.41,27.24166667
59:21.1,0,27.88333333
59:21.1,0,28.50416667
59:21.1,44.22,26.61666667
59:21.1,0,29.025
59:21.1,0,28.66666667
59:21.1,0,28.79166667
59:21.1,0,29.06666667
59:21.1,48,26.8125
59:21.1,2.61,26.95416667
59:21.1,0,27.9875
59:21.1,0,28.52916667
59:21.1,0,28.36666667
59:21.1,0,28.69166667
59:21.1,6.4,28.6875
59:21.1,11,29.125
59:21.1,2.62,27.62083333
59:21.1,88.81,26.17083333
59:21.1,0,28.05
59:21.1,30.61,26.65416667
59:21.1,0,27.77083333
59:21.1,0,28.5625
59:21.1,63.83,25.15
59:21.1,2.8,26.96666667
59:21.1,6.81,27.23333333
59:21.1,0,28.35
59:21.1,0,29.12916667
59:21.1,8,28.275
59:21.1,0.21,27.24166667
59:21.1,2.23,26.475
59:21.1,1.81,27.125
59:21.1,0.61,27.39583333
59:21.1,0,27.1125
59:21.1,0,27.47083333
59:21.1,0,28.21666667
59:21.1,0,27.95
59:21.1,0,28.00833333
59:21.1,0.81,27.50416667
59:21.1,31.21,26.62916667
59:21.1,13.81,26.525
59:21.1,2.01,27.20833333
59:21.1,0.82,27.6875
59:21.1,15.25,26.11666667
59:21.1,0,27.04166667
59:21.1,0,27.35833333
59:21.1,0,27.65833333
59:21.1,18.8,28.07916667
59:21.1,0.02,27.91666667
59:21.1,41.41,27.44583333
59:21.1,12.81,26.62083333
59:21.1,42.4,27.0375
59:21.1,0.8,27.9
59:21.1,0.81,28.43333333
59:21.1,40.61,27.02083333
59:21.1,0.21,26.69583333
59:21.1,79.81,26.02083333
59:21.1,2.61,25.94583333
59:21.1,0,27.3875
59:21.1,0,27.57916667
59:21.1,0,27.85833333
59:21.1,0,28.575
59:21.1,1.4,28.3
59:21.1,0,28.27083333
59:21.1,10.41,27.4625
59:21.1,0,28.03333333
59:21.1,0.2,28.45
59:21.1,0,29.39583333
59:21.1,0,29.2
59:21.1,0,28.59583333
59:21.1,0,29.57083333
59:21.1,26.4,29.15416667
59:21.1,0,28.225
59:21.1,0,28.24166667
59:21.1,0,29.14166667
59:21.1,30.82,25.93333333
59:21.1,0,27.9875
59:21.1,0,29.175
59:21.1,0,27.49166667
59:21.1,0,28.55
59:21.1,0,28.52916667
59:21.1,0.62,27.84583333
59:21.1,0,29.01666667
59:21.1,0.02,27.86666667
59:21.1,3.01,28.32083333
59:21.1,18.02,27.72083333
59:21.1,11.61,27.07083333
59:21.1,8.41,26.55
