date,rainfall (mm),temperature ©
47:22.9,33.8,25.73333333
47:22.9,61.83,24.35833333
47:22.9,164.84,23.89583333
47:22.9,187.4,22.29166667
47:22.9,2.46,23.75
47:22.9,0.2,26.04166667
47:22.9,23.04,24.65833333
47:22.9,91.22,24.64583333
47:22.9,18.46,25.8625
47:22.9,16.83,24.95
47:22.9,6.04,24.44166667
47:22.9,4.26,24
47:22.9,6.61,24.69583333
47:22.9,11.03,24.68333333
47:22.9,0,25.65833333
47:22.9,0,24.77916667
47:22.9,0,25.99583333
47:22.9,0,26.25833333
47:22.9,0,25.275
47:22.9,0,25.1
47:22.9,0,25.2625
47:22.9,0,25.8125
47:22.9,0,25.6125
47:22.9,7.43,23.95416667
47:22.9,0,25.04166667
47:22.9,0,26.29583333
47:22.9,0,25.83333333
47:22.9,2,24.2625
47:22.9,4.83,25.42916667
47:22.9,0.2,25.75416667
47:22.9,1.8,26.05833333
47:22.9,7.4,25.85833333
47:22.9,1.21,26.1125
47:22.9,0,26.62083333
47:22.9,0,26.35416667
47:22.9,0,26.21666667
47:22.9,0,25.79583333
47:22.9,0,26.80416667
47:22.9,0,27.04583333
47:22.9,0,26.57083333
47:22.9,0,26.63333333
47:22.9,0,26.675
47:22.9,0,27.18333333
47:22.9,0,26.7875
47:22.9,0,26.7
47:22.9,0,26.5625
47:22.9,0,26.45
47:22.9,0,25.925
47:22.9,0,26.0875
47:22.9,0,25.74583333
47:22.9,0,25.7375
47:22.9,0,25.87083333
47:22.9,0,26.0875
47:22.9,0,25.87916667
47:22.9,0,25.52083333
47:22.9,0,25.825
47:22.9,0,26.99166667
47:22.9,0,27.2875
47:22.9,0,27.70833333
47:22.9,0,27.75833333
47:22.9,0,27.30416667
47:22.9,0,27.10833333
47:22.9,0,26.91666667
47:22.9,0,27.37916667
47:22.9,0,28.1625
47:22.9,0,28.05
47:22.9,0.8,26.6375
47:22.9,0,26.7375
47:22.9,0,27.60833333
47:22.9,0,26.8875
47:22.9,0,26.65
47:22.9,9.42,24.675
47:22.9,3.82,25.12916667
47:22.9,0,26.88333333
47:22.9,0,27.64583333
47:22.9,0,27.30833333
47:22.9,0,27.10833333
47:22.9,0,28.07083333
47:22.9,0,28.575
47:22.9,0,28.24166667
47:22.9,0,28.5
47:22.9,1.4,27.93333333
47:22.9,40.23,24.92916667
47:22.9,92.42,24.5625
47:22.9,28.22,24.94583333
47:22.9,0,26.72916667
47:22.9,21.81,25.56666667
47:22.9,0,26.87916667
47:22.9,22.22,26.9
47:22.9,1.4,27.75833333
47:22.9,1,27.3375
47:22.9,0,28.35416667
47:22.9,26.2,27.3375
47:22.9,0,27.06666667
47:22.9,2.2,27.86666667
47:22.9,23.2,26.20416667
47:22.9,0,27.1125
47:22.9,0.4,28.37916667
47:22.9,29.4,26.28333333
47:22.9,0.2,27.5625
47:22.9,0,27.75
47:22.9,0,27.8375
47:22.9,0,27.6625
47:22.9,0,26.92083333
47:22.9,0,26.975
47:22.9,0,26.45416667
47:22.9,0,27.15833333
47:22.9,21.2,25.5
47:22.9,0,27.15416667
47:22.9,0,27.25416667
47:22.9,38.6,26.49166667
47:22.9,0.2,26.85833333
47:22.9,16.4,26.8625
47:22.9,0,27.35416667
47:22.9,0,27.59166667
47:22.9,0,28.0375
47:22.9,0,26.87083333
47:22.9,36.2,26.40833333
47:22.9,0.2,26.96521739
47:22.9,10.2,27.81176471
47:22.9,9,25.92083333
47:22.9,0,27.175
47:22.9,0.2,28.42916667
47:22.9,2.41,27.54166667
47:22.9,7.4,27.82916667
47:22.9,16.2,26.00833333
47:22.9,2.6,26.14166667
47:22.9,0,26.88333333
47:22.9,0,27.29166667
47:22.9,4.01,26.97916667
47:22.9,0,28.375
47:22.9,18.8,27.61666667
47:22.9,3.2,26.69583333
47:22.9,1,27.60416667
47:22.9,0.4,28.10833333
47:22.9,0.2,28.57916667
47:22.9,21.8,28.375
47:22.9,0.21,27.52916667
47:22.9,20.6,26.95416667
47:22.9,0.6,26.72916667
47:22.9,0,28.0875
47:22.9,6.2,26.57916667
47:22.9,0,27.55416667
47:22.9,0,28.64166667
47:22.9,0,28.72083333
47:22.9,0,28.85
47:22.9,0,28.22916667
47:22.9,20.61,27.3625
47:22.9,0,27.15416667
47:22.9,0,26.95
47:22.9,2.6,27.60833333
47:22.9,0,28.42083333
47:22.9,0,28.1125
47:22.9,0,27.63333333
47:22.9,4.4,27.04166667
47:22.9,0.6,27.86666667
47:22.9,0,27.85833333
47:22.9,29.2,26.77916667
47:22.9,0,27.6125
47:22.9,3.6,27.24166667
47:22.9,0.81,26.58333333
47:22.9,1.6,26.5125
47:22.9,0,26.89583333
47:22.9,0,27.47083333
47:22.9,0,26.99583333
47:22.9,7.2,27.1125
47:22.9,57.2,26.11666667
47:22.9,0,26.10416667
47:22.9,18.4,26.4375
47:22.9,0.2,26.59583333
47:22.9,0,27.49583333
47:22.9,1.2,25.3375
47:22.9,0.2,26.87916667
47:22.9,0,26.71666667
47:22.9,0,27.31666667
47:22.9,0,27.75833333
47:22.9,11.4,27.84166667
47:22.9,0.2,26.73333333
47:22.9,0,26.925
47:22.9,9.4,27.18333333
47:22.9,0,26.37083333
47:22.9,0,27.4875
47:22.9,1.6,26.9125
47:22.9,0,27.55833333
47:22.9,17.2,26.625
47:22.9,0.2,27.03333333
47:22.9,0.2,26.34583333
47:22.9,0,26.95833333
47:22.9,0.4,26.19583333
47:22.9,32.8,26.75833333
47:22.9,0,26.8875
47:22.9,14.61,26.10416667
47:22.9,7.2,25.55416667
47:22.9,60.6,26.67083333
47:22.9,13.62,24.4875
47:22.9,0,25.75833333
47:22.9,0,27.62083333
47:22.9,0,27.775
47:22.9,0,28.25
47:22.9,0,27.6375
47:22.9,0.8,26.18333333
47:22.9,0,27.42916667
47:22.9,0,28.07916667
47:22.9,0,28.16666667
47:22.9,0,27.7125
47:22.9,0,27.76666667
47:22.9,0,28.06666667
47:22.9,0,27.25
47:22.9,0,27.27916667
47:22.9,0,27.8875
47:22.9,0,27.35
47:22.9,0,28.07916667
47:22.9,0,28.525
47:22.9,7.6,27.13333333
47:22.9,0,27.97083333
