date,rainfall (mm),temperature (C)
59:39.6,5.61,26.15833333
59:39.6,3.21,26.0125
59:39.6,5.4,26.82083333
59:39.6,1.21,26.28333333
59:39.6,4.61,25.725
59:39.6,21.21,25.09166667
59:39.6,3.41,25.30833333
59:39.6,16.6,26.4375
59:39.6,35.2,26.86666667
59:39.6,43.8,26.66666667
59:39.6,15,26.69583333
59:39.6,0.2,26.50833333
59:39.6,0.4,26.95
59:39.6,37.01,26.43333333
59:39.6,7.26,25.50833333
59:39.6,31.82,25.9375
59:39.6,8.85,24.95
59:39.6,0.89,24.44583333
59:39.6,13.83,24.3125
59:39.6,1.42,25.23333333
59:39.6,38.82,26.15
59:39.6,13.06,24.95833333
59:39.6,31.41,24.80416667
59:39.6,2.81,25.69583333
59:39.6,1.8,27.00416667
59:39.6,5.2,26.82083333
59:39.6,8.61,25.97916667
59:39.6,0.22,26.00833333
59:39.6,0.24,25.70833333
59:39.6,0.6,27.0625
59:39.6,10.8,26.775
59:39.6,1.61,26.2625
59:39.6,84.02,25.59583333
59:39.6,40.4,25.425
59:39.6,61.21,25.79583333
59:39.6,20.22,26.36666667
59:39.6,26.2,25.74166667
59:39.6,16.8,27.06666667
59:39.6,12.6,26.0625
59:39.6,6.6,25.60416667
59:39.6,0,27.0875
59:39.6,5.01,27.20416667
59:39.6,29,26.60416667
59:39.6,17.2,26.75833333
59:39.6,85.01,24.39166667
59:39.6,0,25.56666667
59:39.6,0,26.77916667
59:39.6,0,27.4
59:39.6,0,27.08333333
59:39.6,0,26.5875
59:39.6,0,27.06666667
59:39.6,0,26.02083333
59:39.6,0.6,26.52916667
59:39.6,0,25.8375
59:39.6,0,26.92083333
59:39.6,0,27.34166667
59:39.6,0,27.94583333
59:39.6,0,26.26666667
59:39.6,1.2,27.12083333
59:39.6,20.81,25.4625
59:39.6,1.8,27.30416667
59:39.6,0,27.56666667
59:39.6,25.01,26.79166667
59:39.6,9,25.97083333
59:39.6,1.8,26.6125
59:39.6,0.01,27.77083333
59:39.6,7.4,27.64583333
59:39.6,1.03,25.95
59:39.6,114.02,25.82083333
59:39.6,2,26.37916667
59:39.6,42.01,26.47916667
59:39.6,72.42,26.69166667
59:39.6,2.03,24.70416667
59:39.6,0,26.175
59:39.6,0,27.20833333
59:39.6,16.6,27.0125
59:39.6,54.6,27.1
59:39.6,48.81,27.70909091
59:39.6,16.6,28.43636364
59:39.6,0.83,29.13636364
59:39.6,20,28.7
59:39.6,19.61,28.08181818
59:39.6,0,27.37272727
59:39.6,8.4,29.71818182
59:39.6,20.8,28.32727273
59:39.6,6.21,27.33333333
59:39.6,19.03,26.16666667
59:39.6,5.61,26.53333333
59:39.6,12.41,25.80833333
59:39.6,5.6,26.4625
59:39.6,4.2,26.54166667
59:39.6,0,27.14166667
59:39.6,0,27.35833333
59:39.6,1.2,26.61666667
59:39.6,4.2,26.78333333
59:39.6,58.2,25.08333333
59:39.6,41.8,25.30833333
59:39.6,1.2,26.1875
59:39.6,11.6,26.225
59:39.6,0.4,27.22916667
59:39.6,0,27.00833333
59:39.6,4.61,26.09583333
59:39.6,1.8,26.60416667
59:39.6,0,27.2125
59:39.6,5.2,26.25
59:39.6,5.81,25.675
59:39.6,0,26.8375
59:39.6,6,26.275
59:39.6,9.62,24.55833333
59:39.6,0,26.13333333
59:39.6,4.82,26.1
59:39.6,0,26.49166667
59:39.6,0,26.6125
59:39.6,0,27.40833333
59:39.6,3,27.80833333
59:39.6,0,27.875
59:39.6,0,27.4625
59:39.6,2.01,26.21666667
59:39.6,0.41,26.15416667
59:39.6,0,27.20416667
59:39.6,15.41,26.67916667
59:39.6,27.21,25.79583333
59:39.6,9.41,25.975
59:39.6,19.4,26.75
59:39.6,5.2,27.5
59:39.6,40,26.9
59:39.6,76.01,25.79166667
