date,rainfall (mm),temperature ©
46:37.6,12.8,27.3875
46:37.6,0.21,27.32916667
46:37.6,7.8,27.06666667
46:37.6,43.8,23.99166667
46:37.6,0.4,25.97083333
46:37.6,0.6,27.6
46:37.6,0.2,26.925
46:37.6,0.2,27.49583333
46:37.6,0,28.37083333
46:37.6,0,27.61666667
46:37.6,0,28.11666667
46:37.6,0,28.2625
46:37.6,0,28.1125
46:37.6,0,27.92916667
46:37.6,0.21,28.20416667
46:37.6,0,28.6
46:37.6,0,29.67916667
46:37.6,16.6,28.4375
46:37.6,0,27.7125
46:37.6,0,27.2875
46:37.6,0,27.625
46:37.6,0,27.725
46:37.6,10.2,26.9125
46:37.6,2,26.60833333
46:37.6,15.4,27.37916667
46:37.6,4.4,27.23333333
46:37.6,0,28.35833333
46:37.6,12.2,27.70833333
46:37.6,26,26.9625
46:37.6,0,28.04166667
46:37.6,0,28.59166667
46:37.6,45.6,27.87083333
46:37.6,0.8,28.14583333
46:37.6,0,29.29583333
46:37.6,0,28.92916667
46:37.6,0,28.875
46:37.6,0,29.17916667
46:37.6,16.2,29.04583333
46:37.6,41,28.3125
46:37.6,0.2,27.99166667
46:37.6,0.2,29.12916667
46:37.6,0,29.06666667
46:37.6,1.4,29.23333333
46:37.6,1.4,28.40833333
46:37.6,0.8,28.41666667
46:37.6,0,29.35416667
46:37.6,0,29.46666667
46:37.6,1.4,28.5
46:37.6,27.6,28.38333333
46:37.6,0,28.62083333
46:37.6,0,28.39583333
46:37.6,0,28.64583333
46:37.6,0,29.23333333
46:37.6,1.2,29.24583333
46:37.6,0,29.5875
46:37.6,0,29.94166667
46:37.6,0,29.975
46:37.6,0,29.72173913
46:37.6,0,29.6875
46:37.6,11.4,29.01666667
46:37.6,1.8,29.23333333
46:37.6,65.6,28.17916667
46:37.6,30.8,28.14166667
46:37.6,0,29.62083333
46:37.6,0,30.41666667
46:37.6,21.8,28.3
46:37.6,5.8,25.95833333
46:37.6,11.4,28.21666667
46:37.6,0.2,29.73333333
46:37.6,0,30.25833333
46:37.6,41.2,28.65833333
46:37.6,0,27.1875
46:37.6,1,27.78333333
46:37.6,0,28.575
46:37.6,30.8,28.90833333
46:37.6,45.8,27.33333333
46:37.6,15.4,27.3
46:37.6,0.6,27.65
46:37.6,0.2,28.42083333
46:37.6,52.4,27.5625
46:37.6,0,28.66666667
46:37.6,0,29.975
46:37.6,0,28.62916667
46:37.6,0.2,27.95833333
46:37.6,15.8,27.38333333
46:37.6,3,28.44166667
46:37.6,4.4,27.86666667
46:37.6,0,29.10833333
46:37.6,48.8,27.69166667
46:37.6,10.2,29.9625
46:37.6,0.4,29.72083333
46:37.6,0,30.94583333
46:37.6,13.6,29.61666667
46:37.6,0,29.62083333
46:37.6,1.8,29.77083333
46:37.6,36.4,28.3875
46:37.6,12.2,28.1125
46:37.6,24.8,27.9125
46:37.6,2.6,28.425
46:37.6,4.8,28.79166667
46:37.6,17,28.81666667
46:37.6,8.6,28.8375
46:37.6,68.4,27.94166667
46:37.6,38.6,27.39583333
46:37.6,3.6,27.4875
46:37.6,44.6,26.7625
46:37.6,2,26.17916667
46:37.6,2,27.36666667
46:37.6,0.2,28.6
46:37.6,0.2,28.15833333
46:37.6,0,27.76470588
46:37.6,9.6,28.74166667
46:37.6,3,28.0625
46:37.6,0,28.93333333
46:37.6,0,29.01666667
46:37.6,0,29.93333333
46:37.6,0.2,28.35833333
46:37.6,10.8,27.24166667
46:37.6,4.2,27.55416667
46:37.6,0,28.24583333
46:37.6,23.2,27.4375
46:37.6,11.8,28.49583333
46:37.6,1.6,28.89166667
46:37.6,17,28.85833333
46:37.6,17.8,27.77916667
46:37.6,46.8,27.22916667
46:37.6,0,27.26666667
46:37.6,1,28.74166667
46:37.6,4.2,28
46:37.6,34,27.96666667
46:37.6,23.4,28.6125
46:37.6,0.2,29.325
46:37.6,51.2,28.38333333
46:37.6,14,27.98333333
46:37.6,17.6,28.39583333
46:37.6,0,29.55
46:37.6,27.2,28.74583333
46:37.6,21.6,27.225
46:37.6,34.2,26.30416667
46:37.6,27,26.65833333
46:37.6,5,28.025
46:37.6,0.2,28.7125
46:37.6,0.4,29.02083333
46:37.6,0,30.51666667
46:37.6,0,30.04166667
46:37.6,0,29.5625
46:37.6,14.6,29.125
46:37.6,2.4,26.68333333
46:37.6,2,29.2875
46:37.6,0.2,29.7875
46:37.6,0,30.65
46:37.6,0,30.7375
46:37.6,0,30.6375
46:37.6,0,30.125
46:37.6,2.2,29.65416667
46:37.6,0,30.4
46:37.6,9.6,29.28333333
46:37.6,0,28.99583333
46:37.6,8.4,28.04166667
46:37.6,0,29.6625
46:37.6,0.2,28.8375
46:37.6,0,28.37083333
46:37.6,0,28.83333333
46:37.6,10.4,27.89166667
46:37.6,0.2,28.40833333
46:37.6,5.4,28.00416667
46:37.6,0.4,28.55833333
46:37.6,1.2,27.7375
46:37.6,2.6,27.87916667
46:37.6,1,28.35833333
46:37.6,14.6,27.95833333
46:37.6,26.8,25.94583333
46:37.6,0.2,28.54166667
46:37.6,5,29.0875
46:37.6,0,29.275
46:37.6,0,30.25416667
46:37.6,0,29.82916667
46:37.6,102,28
46:37.6,23.8,26.975
46:37.6,47.8,26.9875
46:37.6,0.6,26.37083333
46:37.6,0,28.59583333
46:37.6,0,28.80416667
46:37.6,0,28.925
46:37.6,1.8,28.4875
46:37.6,0,27.425
46:37.6,2.6,26.8625
46:37.6,0.2,27.50833333
46:37.6,0,29.15
46:37.6,15.2,27.825
46:37.6,0,28.34166667
46:37.6,54,27.10416667
46:37.6,25.6,26.74583333
46:37.6,9,27.325
46:37.6,0.2,27.29583333
46:37.6,0,27.89166667
46:37.6,0,29.82083333
46:37.6,0,30.18333333
46:37.6,0,30.41666667
46:37.6,0,29.69166667
46:37.6,0,30.36666667
46:37.6,0,29.94166667
46:37.6,0,30.2875
46:37.6,8,30.3375
46:37.6,3.4,29.58333333
46:37.6,0,29.97916667
46:37.6,11,29.85833333
46:37.6,10.6,29.00416667
46:37.6,0,29.22083333
46:37.6,0,29.675
46:37.6,0,29.19166667
46:37.6,24,27.9625
46:37.6,0,29.175
46:37.6,9.4,28.1
46:37.6,0,29.9625
46:37.6,0,29.84583333
46:37.6,0,28.45
46:37.6,4.6,28.67916667
46:37.6,0,29.44166667
46:37.6,0.2,29.95
46:37.6,5,27.82916667
46:37.6,0,28.81666667
46:37.6,1.4,28.76666667
46:37.6,13.2,28.05
46:37.6,0.2,29.125
46:37.6,0,29.6125
46:37.6,19.6,28.23333333
46:37.6,20,26.99166667
46:37.6,8,26.21666667
46:37.6,4.8,26.15416667
46:37.6,47.4,25.1125
46:37.6,0.2,26.79583333
46:37.6,34.2,26.30833333
46:37.6,0,28.3
46:37.6,11,27.09583333
46:37.6,0,28.2
46:37.6,0,26.73684211
46:37.6,0.2,26.9625
46:37.6,0,28.525
46:37.6,0,29.07916667
46:37.6,9.4,28.575
46:37.6,13.2,27.17916667
46:37.6,0,29.0375
46:37.6,13.4,27.37916667
46:37.6,1.2,27.94583333
46:37.6,0,27.68333333
46:37.6,1.6,27.65416667
46:37.6,0,28.41666667
46:37.6,2,28.24583333
46:37.6,4.6,27.2375
46:37.6,0.2,29.09583333
46:37.6,0,29.05416667
46:37.6,3.2,28.55
46:37.6,1.2,28.87083333
46:37.6,0,29.87916667
46:37.6,0,29.225
46:37.6,50.4,26.99166667
46:37.6,0,28.92083333
46:37.6,4.6,28.14166667
46:37.6,0,28.99166667
46:37.6,0.8,29.3625
46:37.6,3.4,27.20416667
46:37.6,42.8,26.2875
46:37.6,5.4,28.24166667
46:37.6,0,29.4625
46:37.6,21.2,28.0125
46:37.6,0,29.6125
46:37.6,0,29.5625
46:37.6,7.4,29.09166667
46:37.6,46.6,27.62083333
46:37.6,9,27.43333333
46:37.6,6.6,27.25833333
46:37.6,15.8,26.3125
46:37.6,0,27.1625
46:37.6,0,28.5
46:37.6,0.2,28.06666667
46:37.6,0,29.5125
46:37.6,0,29.24583333
46:37.6,1.2,28.5375
46:37.6,2.4,28.24583333
46:37.6,0.2,28.68333333
46:37.6,0,30.38333333
46:37.6,0,30.4375
46:37.6,0,29.99583333
46:37.6,0,30.5125
46:37.6,0,30.725
46:37.6,6.4,30.50833333
46:37.6,0,30.1
46:37.6,0,30.91666667
46:37.6,0,30.85416667
46:37.6,6.8,28.03333333
46:37.6,7,27.99583333
