date,rainfall (mm),temperature (C)
01:17.6,0,24.19166667
01:17.6,0,23.19166667
01:17.6,7.21,23.19583333
01:17.6,83.01,23.31666667
01:17.6,7.24,23.075
01:17.6,20.43,23.04166667
01:17.6,3.23,22.32083333
01:17.6,0.42,23.42083333
01:17.6,10.02,24
01:17.6,0.21,24.2125
01:17.6,2.63,24.35833333
01:17.6,14.43,22.4875
01:17.6,1.25,22.50416667
01:17.6,4.84,22.93333333
01:17.6,1.61,23.42916667
01:17.6,2.22,23.40416667
01:17.6,8.81,23.83333333
01:17.6,16.24,20.875
01:17.6,39.45,22.17083333
01:17.6,8.42,22.7375
01:17.6,13.4,23.5
01:17.6,4.02,22.67916667
01:17.6,4.2,23.4
01:17.6,4.61,23.60833333
01:17.6,0.21,23.875
01:17.6,0,23.74583333
01:17.6,0,24.11666667
01:17.6,0,24.05
01:17.6,0,23.45
01:17.6,34.44,22.1375
01:17.6,8.63,22.4
01:17.6,8.51,22.46666667
01:17.6,6.26,22.425
01:17.6,4.64,22.88333333
01:17.6,41.03,22.62916667
01:17.6,43.62,23.77083333
01:17.6,20.23,21.69583333
01:17.6,14.24,22.92083333
01:17.6,0.62,24.4
01:17.6,0,24.53333333
01:17.6,4.62,24.47916667
01:17.6,0,25.12083333
01:17.6,0,24.9
01:17.6,0,24.52083333
01:17.6,0.21,24.1
01:17.6,0,23.77083333
01:17.6,0,23.44166667
01:17.6,0.83,24.52083333
01:17.6,0,24.23333333
01:17.6,0.02,23.425
01:17.6,2.41,21.52083333
01:17.6,4.62,22.24583333
01:17.6,0,23.3625
01:17.6,0,23.6125
01:17.6,0,24.35
01:17.6,0,24.03333333
01:17.6,18.8,24.85833333
01:17.6,42.63,24.09583333
01:17.6,26.45,24.76666667
01:17.6,2.63,25.025
01:17.6,2.24,23.79583333
01:17.6,0.02,23.91666667
01:17.6,0,24.1625
01:17.6,26.44,23.7125
01:17.6,0,24.475
01:17.6,0,24.55416667
01:17.6,5.81,23.86666667
01:17.6,0,23.675
01:17.6,0,24.12083333
01:17.6,1.01,24.17916667
01:17.6,0,23.0625
01:17.6,0.02,23.84166667
01:17.6,0.21,24.19583333
01:17.6,0.41,24.2
01:17.6,0.03,24.81666667
01:17.6,3.82,24.0125
01:17.6,0.01,25.29583333
01:17.6,1.82,25.55
01:17.6,0,25.7
01:17.6,0,25.58333333
01:17.6,0,24.72083333
01:17.6,1.25,23.85833333
01:17.6,6.82,24.43333333
01:17.6,9.41,24.28333333
01:17.6,11.82,22.7875
01:17.6,0,25.0625
01:17.6,12.43,24.9875
01:17.6,0,25.25833333
01:17.6,0,25.65
01:17.6,0.82,25.66666667
01:17.6,0.22,24.8
01:17.6,4.03,23.77916667
01:17.6,14.41,24.3125
01:17.6,17.01,24.85416667
