date,rainfall (mm),temperature ©
55:21.8,0.21,26.67916667
55:21.8,111.82,23.74166667
55:21.8,177.42,22.80833333
55:21.8,10.46,23.52083333
55:21.8,0,25.175
55:21.8,0.41,26.775
55:21.8,0.21,26.25
55:21.8,2.07,24.05
55:21.8,11.64,25.51666667
55:21.8,34.62,25.15
55:21.8,117.4,23.81666667
55:21.8,6.92,24.9625
55:21.8,24.43,24.84583333
55:21.8,2.91,24.32916667
55:21.8,0.2,25.31666667
55:21.8,0.02,26.48333333
55:21.8,0,26.66666667
55:21.8,0,27.025
55:21.8,0,25.95416667
55:21.8,0,26.20416667
55:21.8,0,26.11666667
55:21.8,0,26.00833333
55:21.8,2.01,25.6375
55:21.8,0.01,26.3375
55:21.8,0,26.36666667
55:21.8,0.21,27.08333333
55:21.8,0,27.1625
55:21.8,0,26.33333333
55:21.8,0.41,26.025
55:21.8,0,26.6875
55:21.8,0,26.6
55:21.8,11.41,25.82083333
55:21.8,0,26.20833333
55:21.8,0.61,26.425
55:21.8,0,26.675
55:21.8,0,26.2875
55:21.8,0,26.5125
55:21.8,0,27.375
55:21.8,0,27.5875
55:21.8,0,27.2125
55:21.8,0,27.575
55:21.8,0,27.04583333
55:21.8,0.82,27.57083333
55:21.8,26.82,26.97916667
55:21.8,0.02,26.97916667
55:21.8,0,26.54166667
55:21.8,0,26.42916667
55:21.8,0,26.20416667
55:21.8,0,26.3875
55:21.8,0,26.7125
55:21.8,0,26.35416667
55:21.8,0,26.72916667
55:21.8,0,26.56666667
55:21.8,0,26.73333333
55:21.8,0,26.54166667
55:21.8,0,26.55833333
55:21.8,0.02,27.725
55:21.8,0,27.99583333
55:21.8,0,28.23333333
55:21.8,44.01,26.8125
55:21.8,1.01,26.9625
55:21.8,0,27.625
55:21.8,0,27.72083333
55:21.8,0,27.72083333
55:21.8,0,28.08333333
55:21.8,0,28.34583333
55:21.8,8.41,25.89583333
55:21.8,0,27.24166667
55:21.8,0,27.28333333
55:21.8,0,27.25833333
55:21.8,0,27.38333333
55:21.8,8.44,25.85833333
55:21.8,3.42,26.50833333
55:21.8,0.81,27.10833333
55:21.8,0.02,26.88333333
55:21.8,0,27.19583333
55:21.8,2.8,26.4375
55:21.8,0.02,27.19166667
55:21.8,0,28.40833333
55:21.8,0,27.6625
55:21.8,1.81,27.59583333
55:21.8,0.83,27.7375
55:21.8,25.65,26.33333333
55:21.8,17.85,25.22083333
55:21.8,0.93,25.5
55:21.8,0,27.35
55:21.8,18.62,25.5875
55:21.8,4.02,26.98333333
55:21.8,45.21,25.96666667
55:21.8,4.83,26.81666667
55:21.8,0,28.51666667
55:21.8,0,28.85
55:21.8,3.61,28.58333333
55:21.8,0.41,27.51666667
55:21.8,9.62,27.48333333
55:21.8,3.63,26.3375
55:21.8,1.02,26.9375
55:21.8,7.81,27.51666667
55:21.8,0.21,27.5
55:21.8,0,28.07916667
55:21.8,0,28.50833333
55:21.8,0,28.39583333
55:21.8,29.22,27.575
55:21.8,3.81,26.30833333
55:21.8,73.84,27.04583333
55:21.8,86.82,25.55
55:21.8,12.21,26.30833333
55:21.8,26.44,24.8
55:21.8,0,27.19583333
55:21.8,0,26.99166667
55:21.8,12.6,26.7875
55:21.8,12.61,26.65
55:21.8,3.43,26.01666667
55:21.8,0.21,27.9375
55:21.8,0.41,26.05
55:21.8,0,27.4875
55:21.8,0.82,26.47083333
55:21.8,0,26.65833333
55:21.8,16,27.19166667
55:21.8,11.4,26.6
55:21.8,0.02,26.42083333
55:21.8,0.2,27.3875
55:21.8,0,28.4875
55:21.8,0,28.43333333
55:21.8,0,27.8875
55:21.8,2.43,26.5375
55:21.8,0.8,26.93333333
55:21.8,0,27.56666667
55:21.8,0.83,28.05
55:21.8,0.41,27.20833333
55:21.8,0.01,27.92083333
55:21.8,42.03,27.425
55:21.8,5.03,26.5125
55:21.8,6.4,27.07083333
55:21.8,3.02,27.39583333
55:21.8,46.21,27.73333333
55:21.8,28.42,27.5375
55:21.8,2.62,27.525
55:21.8,16.42,26.26666667
55:21.8,0.21,27.35833333
55:21.8,0,28.01666667
55:21.8,2.02,26.81666667
55:21.8,0,27.29166667
55:21.8,0,28.59166667
55:21.8,0,28.6875
55:21.8,15.81,28.54166667
55:21.8,0,28.10833333
55:21.8,12.22,27.7625
55:21.8,0.4,27.4375
55:21.8,0,27.75
55:21.8,3.41,27.525
55:21.8,1.01,27.49583333
55:21.8,9.82,26.7875
55:21.8,22.43,26.34166667
55:21.8,0.01,28.65416667
55:21.8,3.82,28.0625
55:21.8,0.02,27.8
55:21.8,0,28.92083333
55:21.8,4.24,27.19583333
55:21.8,0,28.04583333
55:21.8,13.03,26.54583333
55:21.8,6.62,26.0875
55:21.8,0.02,27.59166667
55:21.8,1.24,27.47083333
55:21.8,0,27.72916667
55:21.8,0,27.13333333
55:21.8,36.41,25.81666667
55:21.8,0,26.97916667
55:21.8,76.8,26.73333333
55:21.8,3.82,25.3375
55:21.8,0.02,26.81666667
55:21.8,19.61,26.42916667
55:21.8,0.01,27.74583333
55:21.8,2.61,27.58333333
55:21.8,0,28.00416667
55:21.8,0.02,27.73333333
55:21.8,0,27.23333333
55:21.8,0.01,27.0625
55:21.8,0,26.60833333
55:21.8,0.02,27.8625
55:21.8,5.21,26.9
55:21.8,0,27.4625
55:21.8,0.02,28.375
55:21.8,15.61,27.14166667
55:21.8,0,27.525
55:21.8,12.23,26.05
55:21.8,1.01,26.55
55:21.8,0,26.7875
55:21.8,25,26.74166667
55:21.8,16.02,27.3375
55:21.8,16.83,26.94583333
55:21.8,4.82,24.94166667
55:21.8,8.43,25.3875
55:21.8,8.63,26.32083333
55:21.8,9.44,24.42916667
55:21.8,1.66,25.60416667
