date,rainfall (mm),temperature (C)
58:31.3,3.03,26.35
58:31.3,0.41,26.62916667
58:31.3,21.03,26.25833333
58:31.3,8.21,26.10833333
58:31.3,3.03,26.45416667
58:31.3,18.21,25.67083333
58:31.3,4.42,26.20833333
58:31.3,140.82,25.88333333
58:31.3,3.22,26.19166667
58:31.3,15.83,25.97916667
58:31.3,70.21,26.87083333
58:31.3,16.23,25.1375
58:31.3,0.62,25.38333333
58:31.3,13.62,26.10833333
58:31.3,20.02,24.91666667
58:31.3,3.62,25.28333333
58:31.3,14.2,25.50833333
58:31.3,0,25.8375
58:31.3,3.66,25.1375
58:31.3,16.63,25.30416667
58:31.3,45.46,24.70833333
58:31.3,8.84,25.9125
58:31.3,5.6,25.4
58:31.3,0,26.03333333
58:31.3,0,26.7
58:31.3,0.21,27.2125
58:31.3,14.03,25.55
58:31.3,26.83,24.85416667
58:31.3,10.63,25.22916667
58:31.3,10.42,25.09166667
58:31.3,57.44,25.30416667
58:31.3,5.43,26.32916667
58:31.3,1.84,25.67916667
58:31.3,2.81,26.0625
58:31.3,43.47,24.475
58:31.3,1.22,25.7
58:31.3,17.83,25.725
58:31.3,9.43,26.09583333
58:31.3,41.46,25.3875
58:31.3,0.6,26.10833333
58:31.3,3.01,26.68333333
58:31.3,0,27.65
58:31.3,0,27.075
58:31.3,2,26.50833333
58:31.3,4.02,25.6125
58:31.3,0,25.85
58:31.3,0,26.02083333
58:31.3,0,26.65416667
58:31.3,0.21,26.08333333
58:31.3,1.62,25.7375
58:31.3,17.44,24.9375
58:31.3,0,26.10416667
58:31.3,0,25.24583333
58:31.3,2.2,25.69166667
58:31.3,0,25.94166667
58:31.3,0,26.09166667
58:31.3,0,26.27916667
58:31.3,0,26.275
58:31.3,0,27.36666667
58:31.3,0,27.18333333
58:31.3,0.4,26.975
58:31.3,0,27.4125
58:31.3,2.02,26.99166667
58:31.3,4,26.80833333
58:31.3,1.6,26.69583333
58:31.3,43.01,26.3875
58:31.3,13.22,25.97916667
58:31.3,25.01,24.5
58:31.3,4.5,24.34166667
58:31.3,3.84,25.60416667
58:31.3,4.44,26.54166667
58:31.3,6.22,25.93333333
58:31.3,0,25.90833333
58:31.3,28.41,25.10416667
58:31.3,0,27.12083333
58:31.3,0,27.1375
58:31.3,0.4,26.99583333
58:31.3,9.23,25.09583333
58:31.3,0.02,27.20416667
58:31.3,0,27.18333333
58:31.3,14.02,26.20833333
58:31.3,5.03,26.41666667
58:31.3,37.84,26.34166667
58:31.3,16.61,26.4125
58:31.3,45.61,26.0125
58:31.3,6.44,27.075
58:31.3,12.25,26.6375
58:31.3,0.21,27.25416667
58:31.3,2.01,26
58:31.3,1,26.59583333
58:31.3,0,27.90833333
58:31.3,0,28.025
58:31.3,0,27.76666667
58:31.3,0,28.0375
58:31.3,0,28.15833333
58:31.3,24.83,26.0375
58:31.3,0.01,27.51666667
58:31.3,3.81,25.5125
58:31.3,0,26.33333333
58:31.3,0,27.72083333
58:31.3,1.6,27.30833333
58:31.3,0.84,26.21666667
58:31.3,4.03,26.86666667
58:31.3,0,27.08333333
58:31.3,27.83,26.76666667
58:31.3,0,26.67083333
58:31.3,0,27.14166667
58:31.3,7.22,25.78333333
58:31.3,13.82,25.3125
58:31.3,0,27.5125
58:31.3,0,27.3875
58:31.3,0,27.89583333
58:31.3,0,27.20416667
58:31.3,0,28.49583333
58:31.3,0,27.90416667
58:31.3,0,27.5
58:31.3,0,28.3125
58:31.3,17.81,26.13333333
58:31.3,4.22,26.5375
58:31.3,11.64,26.99166667
58:31.3,9.84,26.33333333
58:31.3,0.61,27.44583333
58:31.3,41.2,26.60416667
58:31.3,0.81,27.94583333
58:31.3,14.64,27.87083333
58:31.3,38.02,26.05
58:31.3,19.63,26.51666667
58:31.3,0.21,26.32083333
58:31.3,1.22,27.85833333
58:31.3,19.41,25.08333333
58:31.3,0,27.23333333
58:31.3,0,27.90416667
58:31.3,47.23,28.55
58:31.3,0,28.37916667
58:31.3,5.01,28.93333333
58:31.3,2.22,26.64583333
58:31.3,44.81,27.2
58:31.3,13.42,26.8375
58:31.3,22.01,26.45833333
58:31.3,2.62,25.82083333
58:31.3,0.85,27.05833333
58:31.3,0,27.4125
58:31.3,0,28.21666667
58:31.3,27.03,25.97083333
58:31.3,0,28.64166667
58:31.3,0,28.7375
58:31.3,0,28.72916667
58:31.3,35.82,28.45833333
58:31.3,0.21,26.55833333
58:31.3,2.82,26.25416667
58:31.3,0,27.79583333
58:31.3,0.61,28.23333333
58:31.3,0,27.80416667
58:31.3,0,28.58333333
58:31.3,0,29.4125
58:31.3,0,28.5
58:31.3,30.21,27.10833333
58:31.3,30.2,25.80833333
58:31.3,0,27.8
58:31.3,1.4,26.49166667
58:31.3,0,27.97916667
58:31.3,1.01,26.39166667
58:31.3,11.02,24.74166667
58:31.3,0,26.7125
58:31.3,0,28.25416667
58:31.3,0,28.6
58:31.3,0,27.2625
58:31.3,13,28.29583333
58:31.3,4.63,26.79583333
58:31.3,0.24,26.8
58:31.3,26.4,26.58333333
58:31.3,3.83,25.31666667
58:31.3,0.24,27.00416667
58:31.3,0,27.58333333
58:31.3,0,27.475
58:31.3,52.41,25.25
58:31.3,0,27.27083333
58:31.3,0,28.36666667
58:31.3,36.86,26.43333333
58:31.3,0.41,26.95416667
58:31.3,42.22,24.95
58:31.3,0,27.27083333
58:31.3,4.03,25.72916667
58:31.3,0,26.32083333
58:31.3,0,27.68333333
58:31.3,0,27.75
58:31.3,0,28.49166667
58:31.3,0,27.92916667
58:31.3,16.62,25.62083333
58:31.3,0.41,26.84583333
58:31.3,0,27.55416667
58:31.3,3.21,27.62916667
58:31.3,3.22,26.94166667
58:31.3,16.63,25.31666667
58:31.3,13.01,26.375
58:31.3,22.82,24.48333333
58:31.3,0.2,26.20833333
58:31.3,0,26.6125
58:31.3,0,27.9
58:31.3,0,28.275
58:31.3,0,28.41666667
58:31.3,0,27.53333333
58:31.3,3.8,28.30416667
58:31.3,5.61,27.34583333
58:31.3,0,28.84583333
58:31.3,0,29.26666667
58:31.3,0,29.375
58:31.3,0,28.1375
58:31.3,0,27.8875
58:31.3,0,29.1625
58:31.3,0,29.0125
58:31.3,0,27.16666667
58:31.3,0,28.05
58:31.3,25.02,27.125
58:31.3,15.01,25.7875
