date,rainfall (mm),temperature ©
42:17.6,0.6,27.2375
42:17.6,27.83,26.41666667
42:17.6,0,26.75
42:17.6,55.8,23.95416667
42:17.6,0.46,25.31666667
42:17.6,0,27.15416667
42:17.6,1.09,24.85416667
42:17.6,3.25,26.63333333
42:17.6,48.84,26.925
42:17.6,0.63,26.0125
42:17.6,27.2,25.99166667
42:17.6,18.22,26.45
42:17.6,3.02,26.68333333
42:17.6,0.23,25.61666667
42:17.6,0.04,26.85833333
42:17.6,0,27.1875
42:17.6,0,28.3125
42:17.6,0,27.60416667
42:17.6,0,27.68333333
42:17.6,0,26.3125
42:17.6,0,26.49583333
42:17.6,0,26.64583333
42:17.6,16.24,25.74166667
42:17.6,7.61,26.29583333
42:17.6,20.23,27.6
42:17.6,0.84,27.55833333
42:17.6,0.41,27.45416667
42:17.6,0.01,27.2375
42:17.6,1.03,26.72083333
42:17.6,0.02,26.5125
42:17.6,0,27.02916667
42:17.6,0,27.01666667
42:17.6,0,27.68333333
42:17.6,1.03,27.57916667
42:17.6,0.61,28.21666667
42:17.6,16.81,28.01666667
42:17.6,0.01,27.62916667
42:17.6,0,28.3
42:17.6,26.01,28.19166667
42:17.6,0,28.29166667
42:17.6,0,27.875
42:17.6,2.6,27.94166667
42:17.6,10.23,27.41666667
42:17.6,7.01,27.125
42:17.6,0,28.02916667
42:17.6,0,28.35416667
42:17.6,0,28.29583333
42:17.6,0,27.6875
42:17.6,0,27.14166667
42:17.6,0,27.22916667
42:17.6,0,27.44166667
42:17.6,0,26.69166667
42:17.6,0,27.15833333
42:17.6,0,27.92083333
42:17.6,0,27.85416667
42:17.6,0,28.00416667
42:17.6,0,28.42083333
42:17.6,0,27.55416667
42:17.6,0,28.02083333
42:17.6,0,27.94583333
42:17.6,0,28.8375
42:17.6,0.02,28.4375
42:17.6,0.22,27.62083333
42:17.6,0,28.55416667
42:17.6,4.83,27.66666667
42:17.6,4.21,27.19166667
42:17.6,0.21,26.83333333
42:17.6,0,27.90416667
42:17.6,0,28.70416667
42:17.6,0,29.21666667
42:17.6,0,28.55
42:17.6,21.62,25.7875
42:17.6,0.2,26.99166667
42:17.6,0,28.40833333
42:17.6,0,28.63333333
42:17.6,3.41,27.825
42:17.6,0,27.80416667
42:17.6,0.02,28.50416667
42:17.6,0,28.62916667
42:17.6,0,28.55416667
42:17.6,0,29.01666667
42:17.6,21.2,28.5875
42:17.6,21.44,26.7
42:17.6,1.28,26.5875
42:17.6,2.25,26.89166667
42:17.6,36.62,26.92916667
42:17.6,2.23,27.44166667
42:17.6,0.01,28.39166667
42:17.6,13.01,27.775
42:17.6,0,28.7
42:17.6,115.04,27.41666667
42:17.6,0,28.78333333
42:17.6,0,29.30416667
42:17.6,0,29.525
42:17.6,0.66,28.55416667
42:17.6,0,29.07916667
42:17.6,0,28.09166667
42:17.6,0,27.07083333
42:17.6,0,27.87916667
42:17.6,4.64,28.9
42:17.6,0,28.9
42:17.6,0,28.30833333
42:17.6,0,27.99583333
42:17.6,3.25,27.69583333
42:17.6,0,27.52916667
42:17.6,0,28.1375
42:17.6,1.42,27.09583333
42:17.6,0,28.18333333
42:17.6,0,27.74166667
42:17.6,0,28.99583333
42:17.6,0.02,28.54166667
42:17.6,0,28.85416667
42:17.6,0.03,27.97916667
42:17.6,17.23,27.975
42:17.6,14.82,27.98333333
42:17.6,0,28.52916667
42:17.6,0.43,28.25
42:17.6,0.01,27.80833333
42:17.6,23.65,27.19583333
42:17.6,2.45,26.32083333
42:17.6,4.22,27.20833333
42:17.6,5.8,28.225
42:17.6,5.01,27.6875
42:17.6,1.02,28.35416667
42:17.6,10.82,27.3875
42:17.6,2.84,27.0875
42:17.6,0.24,27.63333333
42:17.6,48.02,27.57916667
42:17.6,0.23,26.69166667
42:17.6,0,28.23333333
42:17.6,0,28.95
42:17.6,0,28.11666667
42:17.6,0,28.30833333
42:17.6,0.22,28.85416667
42:17.6,9.81,28.32916667
42:17.6,0,28.75416667
42:17.6,0,28.8125
42:17.6,24.43,26.59583333
42:17.6,0,28.04583333
