date,rainfall (mm),temperature ©
56:38.1,0.6,26.98333333
56:38.1,0.6,26.01666667
56:38.1,0.01,26.6
56:38.1,0,26.89583333
56:38.1,12.6,26.04583333
56:38.1,0,26.17083333
56:38.1,0,27.05416667
56:38.1,0,26.1875
56:38.1,0,26.65833333
56:38.1,0,27.3875
56:38.1,0,27.03333333
56:38.1,0.03,25.07916667
56:38.1,0,26.08333333
56:38.1,0.02,25.24166667
56:38.1,0.67,24.09583333
56:38.1,1.62,24.99583333
56:38.1,0,25.3125
56:38.1,1.6,25.175
56:38.1,0,25.49583333
56:38.1,0,25.87916667
56:38.1,0.6,25.8875
56:38.1,0,26.07916667
56:38.1,23,26.46666667
56:38.1,0,26.39166667
56:38.1,0,26.5125
56:38.1,1,27.37083333
56:38.1,24.2,25.55
56:38.1,9.41,25.16666667
56:38.1,12.63,25.3375
56:38.1,3,25.29166667
56:38.1,9.41,25.49583333
56:38.1,0.8,26.17916667
56:38.1,41.24,25.075
56:38.1,1,26.39583333
56:38.1,1.61,24.575
56:38.1,23.42,24.67083333
56:38.1,6.8,25.225
56:38.1,9,25.65833333
56:38.1,36.61,25.55
56:38.1,1.41,25.85833333
56:38.1,0,26.30833333
56:38.1,0.4,27.19583333
56:38.1,0,27.4625
56:38.1,0,26.4375
56:38.1,17.41,25.30833333
56:38.1,0,25.8
56:38.1,0,25.55833333
56:38.1,0,25.68333333
56:38.1,0,26.25833333
56:38.1,0,26.32083333
56:38.1,0,26.02916667
56:38.1,0,25.98333333
56:38.1,0,26.22083333
56:38.1,0,25.9125
56:38.1,0,25.82083333
56:38.1,0,26.15
56:38.1,0,26.07916667
56:38.1,0,26.22083333
56:38.1,0.21,26.9125
56:38.1,6,26.34166667
56:38.1,23.6,25.55
56:38.1,0,26.7875
56:38.1,0,26.79166667
56:38.1,0,26.0625
56:38.1,0,26.80416667
56:38.1,12.6,26.36666667
56:38.1,2,25.775
56:38.1,1.81,25.06666667
56:38.1,2.42,24.9
56:38.1,0,27.00416667
56:38.1,0.6,26.525
56:38.1,6.6,26.25
56:38.1,0,26.37083333
56:38.1,19,26.5125
56:38.1,7.6,26.52083333
56:38.1,0,26.7375
56:38.1,1,27.41666667
56:38.1,12.41,24.79166667
56:38.1,17,26.79583333
56:38.1,10.6,26.2125
56:38.1,0,26.28333333
56:38.1,1,26.28333333
56:38.1,0.4,26.80833333
56:38.1,39.8,26.02083333
56:38.1,120.01,24.9125
56:38.1,3.2,26.7125
56:38.1,19.02,25.275
56:38.1,0,27.575
56:38.1,15.4,26.35833333
56:38.1,4,26.70833333
56:38.1,0,27.37083333
56:38.1,0,27.375
56:38.1,0,27.225
56:38.1,0,26.78333333
56:38.1,0,27.16666667
56:38.1,22.81,26.03333333
56:38.1,0,27.17916667
56:38.1,8.61,25.79166667
56:38.1,0,26.7375
56:38.1,0,27.0875
56:38.1,0,26.46666667
56:38.1,0.03,25.625
56:38.1,60.4,26.42083333
56:38.1,5,26.19583333
56:38.1,1.2,26.62083333
56:38.1,0,27.1375
56:38.1,5.81,25.99166667
56:38.1,42.21,26.025
56:38.1,54.41,24
56:38.1,0.61,26.075
56:38.1,1.81,26.37083333
56:38.1,0,27.675
56:38.1,9.62,26.14166667
56:38.1,1,27.54166667
56:38.1,6.4,28.29166667
56:38.1,7.2,26.53333333
56:38.1,0,28.14583333
56:38.1,6.8,25.89583333
56:38.1,0,26.56666667
56:38.1,0,26.87916667
56:38.1,31.82,25.28695652
56:38.1,0,26.57272727
56:38.1,0,27.09583333
56:38.1,16.6,27.18333333
56:38.1,7,27.03333333
56:38.1,38.4,26.22083333
56:38.1,30.02,26.12083333
56:38.1,9.6,25.86666667
56:38.1,0,27.4375
56:38.1,0,26.4625
56:38.1,2.6,27.375
56:38.1,0.61,26.90416667
56:38.1,0,28.55
56:38.1,98.2,27.2625
56:38.1,0,28
56:38.1,0,27.52083333
56:38.1,15.6,27.04583333
56:38.1,0,26.47083333
56:38.1,0,26.94166667
56:38.1,3.6,26.65833333
56:38.1,0.4,27.69583333
56:38.1,0,26.95833333
56:38.1,0,28.20833333
56:38.1,0,27.475
56:38.1,0,28.58333333
56:38.1,6.4,27.4125
56:38.1,0.6,28.28333333
56:38.1,27.8,27.625
56:38.1,0.81,25.85
56:38.1,46.6,25.35
56:38.1,0,27.05416667
56:38.1,0,27.77083333
56:38.1,0,27.45416667
56:38.1,0,28.00416667
56:38.1,0.6,28.76666667
56:38.1,10.8,28.25
56:38.1,9.8,26.6625
56:38.1,58.2,25.25416667
56:38.1,0,27.33333333
56:38.1,0,27.62916667
56:38.1,5.2,28.2375
56:38.1,13.6,26.64583333
56:38.1,22.2,25.45833333
56:38.1,0,26.175
56:38.1,17.4,27.50416667
56:38.1,0.8,27.25
56:38.1,0.2,25.52916667
56:38.1,0.2,26.92083333
56:38.1,5,26.29166667
56:38.1,0,26.47916667
56:38.1,0.2,26.35416667
56:38.1,3.2,26.07916667
56:38.1,0.6,26.95833333
56:38.1,0,27.67916667
56:38.1,30.61,25.875
56:38.1,30.01,25.1625
56:38.1,0,26.76666667
56:38.1,1.8,27.4
56:38.1,64.01,25.57083333
56:38.1,0.8,26.42916667
56:38.1,17.01,25.6125
56:38.1,0,26.8375
56:38.1,9.6,25.45416667
56:38.1,2.61,25.43333333
56:38.1,0,26.52083333
56:38.1,0,27.19583333
56:38.1,0,27.4625
56:38.1,0,27.45
56:38.1,0,26.07916667
56:38.1,0.2,27.15
56:38.1,0,27.50416667
56:38.1,1.4,27.85
56:38.1,0,27.61176471
56:38.1,33.61,25.34583333
56:38.1,4,26.16666667
56:38.1,40.81,23.82916667
56:38.1,0,25.30833333
56:38.1,0.4,27.2375
56:38.1,0,27.7625
56:38.1,0,27.87916667
56:38.1,0,28.18333333
56:38.1,0,28.06666667
56:38.1,0,28.07916667
56:38.1,0,27.74583333
56:38.1,0,28.07083333
56:38.1,0,28.62083333
56:38.1,0,28.47083333
56:38.1,0,28.12083333
56:38.1,24.8,28.09166667
56:38.1,4.2,27.35416667
56:38.1,3.2,28.09166667
56:38.1,3.6,25.83333333
56:38.1,0,26.80416667
56:38.1,8.6,25.87916667
56:38.1,8.4,26.05416667
56:38.1,0,27.60416667
56:38.1,17.01,26.43333333
56:38.1,0,27
56:38.1,0,28.37916667
56:38.1,0,28.32083333
56:38.1,8.8,24.48333333
56:38.1,0,26.86666667
56:38.1,0,27.39583333
56:38.1,0,27.89166667
56:38.1,12.2,25.50833333
56:38.1,8.2,25.275
56:38.1,19.4,25.84166667
56:38.1,1.4,25.80833333
56:38.1,0.2,25.79583333
56:38.1,7.4,25.8125
56:38.1,24.21,24.97083333
56:38.1,7.2,25.67083333
56:38.1,6.81,25.77916667
56:38.1,1.81,25.57916667
56:38.1,12.21,24.85416667
56:38.1,13,25.87916667
