date,rainfall (mm),temperature ©
45:58.0,3.41,27.25416667
45:58.0,0.04,27.05
45:58.0,4.22,26.5375
45:58.0,43.01,23.59166667
45:58.0,0.62,25.6875
45:58.0,1.41,27.31666667
45:58.0,0.2,26.1625
45:58.0,0.61,27.02083333
45:58.0,2.41,27.85833333
45:58.0,0.2,26.93333333
45:58.0,0,27.5625
45:58.0,0,27.64166667
45:58.0,0,27.82083333
45:58.0,0,27.275
45:58.0,1.22,27.30416667
45:58.0,6.8,27.46666667
45:58.0,0,28.37916667
45:58.0,0,28.6625
45:58.0,0,27.70416667
45:58.0,1.21,26.81666667
45:58.0,0,26.95
45:58.0,0,27.44583333
45:58.0,0.01,26.97083333
45:58.0,0,27.14166667
45:58.0,8.22,27.35416667
45:58.0,17.41,27.21666667
45:58.0,38.8,27.48333333
45:58.0,31.81,26.62083333
45:58.0,81.21,26.25416667
45:58.0,0.21,27.46666667
45:58.0,0,27.81666667
45:58.0,58.21,27.19583333
45:58.0,0,27.52916667
45:58.0,0,28.75
45:58.0,0.81,27.90416667
45:58.0,0,28.29166667
45:58.0,0,27.99166667
45:58.0,0.41,28.5
45:58.0,0,28.72083333
45:58.0,3.4,27.67916667
45:58.0,0,28.64583333
45:58.0,0,28.44583333
45:58.0,3,28.98333333
45:58.0,0,28.75833333
45:58.0,0,28.97916667
45:58.0,0,29.375
45:58.0,0,29.7625
45:58.0,0,28.925
45:58.0,7.82,28.275
45:58.0,0,28.4
45:58.0,0,27.65416667
45:58.0,0,28.12916667
45:58.0,0,29.02916667
45:58.0,0,28.97083333
45:58.0,0,29.0875
45:58.0,0,29.35833333
45:58.0,0,29.45833333
45:58.0,0,28.75833333
45:58.0,0,29.2125
45:58.0,0.2,28.69166667
45:58.0,0,29.06666667
45:58.0,47,27.80833333
45:58.0,3.8,27.84583333
45:58.0,0.02,28.95833333
45:58.0,0.01,29.65833333
45:58.0,6.61,28.44583333
45:58.0,31.83,25.69166667
45:58.0,0,28.26666667
45:58.0,0,29.20416667
45:58.0,0,29.5375
