date,rainfall (mm),temperature (C)
02:18.0,4.21,26.1375
02:18.0,0.02,25.5125
02:18.0,0,26.2375
02:18.0,0,26.875
02:18.0,0.07,25.4125
02:18.0,0.2,26.475
02:18.0,2.42,24.7125
02:18.0,0,25.42916667
02:18.0,0,26.0625
02:18.0,0,26.1625
02:18.0,17.8,26.54166667
02:18.0,26.01,25.74166667
02:18.0,0,26.025
02:18.0,0,26.7375
02:18.0,0.03,25.93333333
02:18.0,0,25.95833333
02:18.0,27.03,25.58333333
02:18.0,4.48,24.85416667
02:18.0,5.42,25.7875
02:18.0,0.2,26.00416667
02:18.0,0,26.3875
02:18.0,37.22,25.1875
02:18.0,0,26.62916667
02:18.0,4.24,25.56666667
02:18.0,0,25.91666667
02:18.0,0,26.02916667
02:18.0,0,26.41666667
02:18.0,0,27.175
02:18.0,0.25,26.66666667
02:18.0,9.6,26.13333333
02:18.0,15.84,25.43333333
02:18.0,12.03,24.95416667
02:18.0,0.03,26.00416667
02:18.0,4.42,25.69583333
02:18.0,0.8,26.19166667
02:18.0,0,26.64583333
02:18.0,2.81,25.65416667
02:18.0,0.4,26.14166667
02:18.0,0,26.34583333
02:18.0,0,26.97916667
02:18.0,3.43,27.38333333
02:18.0,0,27.17083333
02:18.0,1.63,25.77083333
02:18.0,0,26.575
02:18.0,9.24,25.62916667
02:18.0,3.81,25.90416667
02:18.0,0,26.40416667
02:18.0,0,26.80416667
02:18.0,9.01,27.0625
02:18.0,0,26.92916667
02:18.0,0,26.6125
02:18.0,0,26.675
02:18.0,0.01,26.09583333
02:18.0,0,27.07916667
02:18.0,0,26.78333333
02:18.0,32.21,26.625
02:18.0,0.01,26.29583333
02:18.0,0,27.16666667
02:18.0,0,26.94166667
02:18.0,0,26.87916667
02:18.0,0,26.69166667
02:18.0,0,26.87083333
02:18.0,1.8,26.925
02:18.0,5.02,26.52083333
02:18.0,0.01,26.47916667
02:18.0,23.41,26.75833333
02:18.0,0,26.7625
02:18.0,8.61,26.1
02:18.0,0,26.27083333
02:18.0,0,27.12083333
02:18.0,0.02,26.475
02:18.0,10.01,26.85833333
02:18.0,0,26.34166667
