date,rainfall (mm),temperature ©
49:32.1,0.8,26.7125
49:32.1,29.4,24.81666667
49:32.1,30.8,25.25
49:32.1,117.4,23.2125
49:32.1,2.62,24.34166667
49:32.1,38.8,26.71666667
49:32.1,27.23,24.37083333
49:32.1,4.02,25.1375
49:32.1,11.22,25.5125
49:32.1,5.02,24.81666667
49:32.1,0.4,25.70833333
49:32.1,0,25.61304348
49:32.1,0.6,25.84166667
49:32.1,0.21,25.85416667
49:32.1,0,25.74583333
49:32.1,0,25.92916667
49:32.1,0,26.80833333
49:32.1,4.8,26.63333333
49:32.1,0,25.35416667
49:32.1,0,25.12916667
49:32.1,0,25.95
49:32.1,3.4,26.46666667
49:32.1,1.6,26.12083333
49:32.1,7.61,24.97916667
49:32.1,0,26.70416667
49:32.1,0.2,27.31666667
49:32.1,0,27.1375
49:32.1,17.8,25.34166667
49:32.1,3.61,25.99166667
49:32.1,0.2,26.075
49:32.1,0,26.45416667
49:32.1,15.8,25.68333333
49:32.1,4,25.7875
49:32.1,0,26.92916667
49:32.1,0,26.9125
49:32.1,0,26.8
49:32.1,0,26.76666667
49:32.1,0,28.00833333
49:32.1,1.2,27.90833333
49:32.1,0,27.70416667
49:32.1,0,27.72083333
49:32.1,15.4,27.76666667
49:32.1,61.4,27.07083333
49:32.1,5.4,26.61666667
49:32.1,0.2,27.19583333
49:32.1,7.4,27.3875
49:32.1,0,27.32083333
49:32.1,0,26.94583333
49:32.1,0,26.79583333
49:32.1,0,25.75
49:32.1,0,25.84583333
49:32.1,0,26.66666667
49:32.1,0,26.925
49:32.1,0,26.42083333
49:32.1,0,26.40833333
49:32.1,0,27.34583333
49:32.1,0,28.04166667
49:32.1,0,28.39583333
49:32.1,0,28.75833333
49:32.1,0,28.75
49:32.1,0,28.8375
49:32.1,0,28.21666667
49:32.1,0,28.59166667
49:32.1,5.8,27.90416667
49:32.1,0,28.525
49:32.1,0,28.51666667
49:32.1,1.6,27.35416667
49:32.1,0.2,27.67916667
49:32.1,0,27.99166667
49:32.1,0,27.775
49:32.1,0.2,27.16666667
49:32.1,5.62,24.86666667
49:32.1,0,26.6625
49:32.1,0,28.14583333
49:32.1,0,28.42083333
49:32.1,0,28.6
49:32.1,0,28.575
49:32.1,0,29.24583333
49:32.1,0,29.2375
49:32.1,0,29.21666667
49:32.1,0,30.12916667
49:32.1,0.8,28.29166667
49:32.1,18.83,25.22083333
49:32.1,12.02,25.2625
49:32.1,4.82,25.5875
49:32.1,11.6,26.2625
49:32.1,3.4,26.2875
49:32.1,0,27.59583333
49:32.1,1.2,28.5875
49:32.1,13.4,28.06666667
49:32.1,2.6,27.09166667
49:32.1,0,29.20416667
49:32.1,1.8,29.0625
49:32.1,0.4,27.96666667
49:32.1,26.6,28.12083333
49:32.1,2.21,26.98333333
49:32.1,0,27.4875
49:32.1,2,28.075
49:32.1,0,27.56666667
49:32.1,0,29.09583333
49:32.1,0,28.4375
49:32.1,0,28.09166667
49:32.1,0,28.10833333
49:32.1,0,28.3375
49:32.1,2.2,26.7375
49:32.1,3.8,27.325
49:32.1,9.6,27.72916667
49:32.1,0,28.0625
49:32.1,38.4,28.025
49:32.1,0,27.15
49:32.1,22.8,27.37916667
49:32.1,0,28.02916667
49:32.1,35,26.6375
49:32.1,0.2,27.525
49:32.1,0,27.4875
49:32.1,3,26.95416667
49:32.1,10.6,27.41666667
49:32.1,9.2,27.00833333
49:32.1,10.6,27.4625
49:32.1,7.6,27.71666667
49:32.1,56,26.47916667
49:32.1,9,26.34166667
49:32.1,2.21,27.1625
49:32.1,10.2,26.47083333
49:32.1,0.6,27.05
49:32.1,11.8,26.14166667
49:32.1,0,26.80416667
49:32.1,0,27.23333333
49:32.1,0,28.1875
49:32.1,0,29.13333333
49:32.1,0,29.725
49:32.1,5.41,28.19583333
49:32.1,3.8,27.5375
49:32.1,2.6,28.025
49:32.1,2.21,27.92083333
49:32.1,0,29.31666667
49:32.1,13,28.12916667
49:32.1,0,27.5375
49:32.1,6.4,26.65833333
49:32.1,5.6,26.2
49:32.1,0.2,27.65416667
49:32.1,34.01,26.43333333
49:32.1,0,27.875
49:32.1,0,28.99583333
49:32.1,0,29.075
49:32.1,0,29.35
49:32.1,0.6,28.12083333
49:32.1,0.2,27.2
49:32.1,0,28.20833333
49:32.1,0,28.97083333
49:32.1,0,28.79166667
49:32.1,0,27.99583333
49:32.1,0,28.80416667
49:32.1,4.8,29.1125
49:32.1,0,28.6625
49:32.1,0.4,29.56666667
49:32.1,0,28.875
49:32.1,0,28.03333333
49:32.1,17.6,26.8875
49:32.1,0,28.39166667
49:32.1,0.02,27.41666667
49:32.1,0.2,27.09583333
49:32.1,0,26.02916667
49:32.1,28,26.925
49:32.1,0.6,26.37083333
49:32.1,1,26.77083333
49:32.1,15.6,26.72916667
49:32.1,0.2,26.575
49:32.1,0.4,26.65
49:32.1,0.2,26.87083333
49:32.1,42.4,27.5375
49:32.1,0.4,25.3
49:32.1,0,27.15416667
49:32.1,0,27.72083333
49:32.1,0,27.0625
49:32.1,1.2,28.45416667
49:32.1,0.2,27.45
49:32.1,1.4,27.23333333
49:32.1,0,27.62916667
49:32.1,1.4,27.60833333
49:32.1,0,27.00833333
49:32.1,0,27.9625
49:32.1,0,27.98333333
49:32.1,8.2,28.57083333
49:32.1,7.41,26.57083333
49:32.1,0,26.9
49:32.1,34.2,26.47083333
49:32.1,8.2,26.35
49:32.1,0,27.31666667
49:32.1,0,27.30833333
49:32.1,0.6,27.9625
49:32.1,9.02,27.05
49:32.1,5.4,26.17916667
49:32.1,43.2,26.62083333
49:32.1,1.4,25.9
49:32.1,0,26.16666667
49:32.1,0,28.49166667
49:32.1,0,28.48333333
49:32.1,0,28.875
49:32.1,0,27.825
49:32.1,0,28.32916667
49:32.1,0,27.52083333
49:32.1,0,28.70416667
49:32.1,0,29.11666667
49:32.1,0,29.35833333
49:32.1,0,28.3125
49:32.1,0,28.15416667
49:32.1,0.2,28.25833333
49:32.1,0,27.89583333
49:32.1,0,28.4125
49:32.1,0,27.52916667
49:32.1,0,27.8375
49:32.1,0,28.45
49:32.1,0,28.57916667
49:32.1,2.2,27.75
49:32.1,47.2,27.05416667
49:32.1,0,26.82916667
49:32.1,0,28.14583333
49:32.1,0,28.18333333
49:32.1,15.4,28.9875
49:32.1,8.6,27.25416667
49:32.1,0,27.89583333
49:32.1,4.8,28.10416667
49:32.1,0,27.98333333
49:32.1,0,28.61666667
49:32.1,0,28.83333333
49:32.1,0,28.30416667
49:32.1,54.8,26.88333333
49:32.1,22.4,26.5125
49:32.1,1.41,25.90416667
49:32.1,0.2,26.52083333
49:32.1,6.4,26.76666667
49:32.1,1,25.79166667
49:32.1,0.2,27.5375
49:32.1,0,27.525
49:32.1,0,28.225
49:32.1,0,27.275
49:32.1,0,26.52916667
49:32.1,0,27.60833333
49:32.1,0,28.65
49:32.1,3,28.66666667
49:32.1,6.82,25.89166667
49:32.1,0.01,27.15
49:32.1,6.41,26.85416667
49:32.1,0.2,27.65416667
49:32.1,0,26.275
49:32.1,0.2,27.75
49:32.1,0,27.6
49:32.1,0,28.1875
49:32.1,0,27.46666667
49:32.1,0,28.6875
49:32.1,0.6,28.39583333
49:32.1,0.2,29.17083333
49:32.1,0,27.80416667
49:32.1,0,28.86666667
49:32.1,3.4,27.38333333
49:32.1,5.23,26.45833333
49:32.1,0,27.8125
49:32.1,0.8,27.09583333
49:32.1,10,27.94583333
