state,district,lat,lon
Johor,Batu Pahat,1.8472584,102.9346697
Johor,Johor Bahru,1.4581986,103.7649059
Johor,Kluang,2.0322421,103.3190922
Johor,Kota Tinggi,1.7336743,103.9006975
Johor,Kulai,1.656937,103.605879
Johor,Mersing,2.4298532,103.835494
Johor,Muar,2.0425046,102.5658852
Johor,Pontian,1.4867387,103.3884296
Johor,Segamat,2.5124036,102.8137391
Johor,Tangkak,2.266995,102.5399606
Kedah,Baling,5.673531,100.9177907
Kedah,Bandar Baharu,5.13131,100.4973023
Kedah,Kota Setar,6.111350,100.294106
Kedah,Kuala Muda,6.3553784,99.7186457
Kedah,Kubang Pasu,6.28203965,100.41974210000001
Kedah,Kulim,5.3663769,100.5525705
Kedah,Langkawi,6.3621284,99.802427
Kedah,Padang Terap,6.297838,100.66323
Kedah,Pendang,5.992427,100.4776159
Kedah,Pokok Sena,6.1685074,100.5185454
Kedah,Sik,5.8188544,100.7442773
Kedah,Yan,5.7953119,100.372302
Kelantan,Bachok,6.0616322,102.4008505
Kelantan,Gua Musang,4.8792724,101.9652332
Kelantan,Jeli,5.6955226,101.8449367
Kelantan,Kota Bharu,6.1247911,102.2378065
Kelantan,Kuala Krai,5.5311582,102.1993666
Kelantan,Machang,5.7641131,102.214217
Kelantan,Pasir Mas,6.0416128,102.1429248
Kelantan,Pasir Puteh,5.8355343,102.4050452
Kelantan,Tanah Merah,5.8097754,102.1484103
Kelantan,Tumpat,6.2002519,102.1706651
Melaka,Alor Gajah,2.3861261,102.2149996
Melaka,Jasin,2.3081946,102.4303382
Melaka,Melaka Tengah,2.23015,102.24531
Negeri Sembilan,Jelebu,2.9738104,102.0604321
Negeri Sembilan,Jempol,2.897376,102.4059228
Negeri Sembilan,Kuala Pilah,2.738649,102.2470576
Negeri Sembilan,Port Dickson,2.5262491,101.8106156
Negeri Sembilan,Rembau,2.5888688,102.0943404
Negeri Sembilan,Seremban,2.723099,101.9400601
Negeri Sembilan,Tampin,2.4721537,102.2323504
Pahang,Bentong,3.5196355,101.9133469
Pahang,Bera,3.272831,102.4522698
Pahang,Cameron Highlands,4.4724267,101.3778646
Pahang,Jerantut,3.9366586,102.3719554
Pahang,Kuantan,3.7985637,103.32199
Pahang,Lipis,4.1869878,102.0544343
Pahang,Maran,3.5822609,102.7747424
Pahang,Pekan,3.4895509,103.390396
Pahang,Raub,3.7950465,101.8560075
Pahang,Rompin,2.8049348,103.4391905
Pahang,Temerloh,3.4505423,102.4189
Perak,Bagan Datuk,3.9905891,100.7864404
Perak,Batang Padang,4.1055897,101.2948867
Perak,Hilir Perak,4.00000,101.00000
Perak,Hulu Perak,5.44797,101.29715
Perak,Kampar,4.30066,101.1614462
Perak,Kerian,5.1142167,100.4880253
